topology,seed,norm,lambda2,h_cog,h_cont,mean_v,std_v,frac_bin0,u_mean
BA m=3,17,degree_linear,1.3346860164471637,0.6343095546405662,2.846244613103563,-1.2990562835681891,0.17014691123951955,0.84,0.2845364331124043
BA m=3,256,uniform,1.3862848540411232,-0.0,3.2439594843632764,-2.01072713907777,0.2804677174660958,1.0,0.9886212817961189
BA m=3,256,degree_linear,1.3862848540411232,0.6362113373725784,2.8869307088292735,-1.3104241221134756,0.25413597853785147,0.86,0.32375495216475797
BA m=3,1337,uniform,1.3646343580782165,-0.0,3.253227995373419,-2.0452397290214397,0.28436392806320887,1.0,0.9947889323517667
BA m=3,1337,degree_linear,1.3646343580782165,0.7219280948873623,3.4553443430260553,-1.4173058892156314,0.37314871050614834,0.8,0.4464788938241429
BA m=3,99,uniform,1.4004077533311368,-0.0,3.2985856701236904,-2.0692956755459795,0.2835619306222277,1.0,0.991877549316736
BA m=3,99,degree_linear,1.4004077533311368,0.584238811642856,2.927048649990772,-1.3138149563727908,0.21280994441400286,0.86,0.2999969284191707
BA m=3,314,uniform,1.3783053612269245,-0.0,3.2139805774806525,-2.009683841551251,0.27853706639260495,1.0,0.9843447858173923
BA m=3,314,degree_linear,1.3783053612269245,0.7014714598838974,2.9821922407306727,-1.299194580138511,0.1697214067053599,0.81,0.2726397706217899
BA m=4,42,uniform,2.2110890381592316,-0.0,3.0878247818063924,-2.1523006443362434,0.2484460795664692,1.0,0.9998884294892796
BA m=4,42,degree_linear,2.2110890381592316,0.7219280948873623,3.2897944281983533,-1.3492707462868434,0.3013527823912069,0.8,0.40718365276511753
BA m=4,123,uniform,2.288322807971658,-0.0,3.0099117826500525,-2.143134591630562,0.2513412758982614,1.0,0.9997696157508775
BA m=4,123,degree_linear,2.288322807971658,0.5293608652873644,4.457055897312038,-1.5175280768307406,0.4592306009086046,0.88,0.7232766357215992
BA m=4,777,uniform,2.2787697335174792,-0.0,2.8862587176740706,-2.15379716930165,0.2404597148856131,1.0,0.9998858472412638
BA m=4,777,degree_linear,2.2787697335174792,0.499915958164528,3.809154628923029,-1.49871331447702,0.4749674926392563,0.89,0.6173034245240825
BA m=4,17,uniform,2.188160672592141,-0.0,3.0699907558173525,-2.1337680245672583,0.26325682332063954,1.0,0.9995769089233986
BA m=4,17,degree_linear,2.188160672592141,0.4689955935892812,3.2336552866026533,-1.3575878248545834,0.33499950112431676,0.9,0.43955027442097966
BA m=4,256,uniform,2.1747441588975462,-0.0,2.9899779809519784,-2.1614659453486236,0.2505344409617467,1.0,0.9997761497260421
BA m=4,256,degree_linear,2.1747441588975462,0.6362113373725784,3.979659785525609,-1.4391498018958846,0.435947802587162,0.86,0.6053471414717209
BA m=4,1337,uniform,2.126775924686309,-0.0,3.0427684279397957,-2.1026293064625485,0.26368053018023563,1.0,0.999602340893371
BA m=4,1337,degree_linear,2.126775924686309,0.7219280948873623,2.9570768581364444,-1.3128776282260455,0.20482165390584042,0.8,0.36257762924889375
BA m=4,99,uniform,2.199390778221422,-0.0,2.887156713576393,-2.150376578593229,0.25757437850832093,1.0,0.9998286253477312
BA m=4,99,degree_linear,2.199390778221422,0.4689955935892812,2.9601480087442367,-1.3127098271135937,0.20799157186855147,0.9,0.36341024292579616
BA m=4,314,uniform,2.2714607154080713,-0.0,3.0428009607416846,-2.145379269830396,0.2514697242974731,1.0,0.9999526636828455
BA m=4,314,degree_linear,2.2714607154080713,0.7414827399312737,3.2645903158072134,-1.3389632154745779,0.2812470013585581,0.79,0.40700539962858484
BA m=5,42,uniform,2.9899370080027543,-0.0,3.067049376935495,-2.218956434508242,0.23700916199946354,1.0,0.9999901181646479
BA m=5,42,degree_linear,2.9899370080027543,0.1943918578315762,3.8771677349246407,-1.6043643141109154,0.5008504848197725,0.97,0.8215917886343472
BA m=5,123,uniform,3.1133575092353136,-0.0,2.9441380458365765,-2.2234979341384284,0.23628352278758755,1.0,0.9998967038957569
BA m=5,123,degree_linear,3.1133575092353136,-0.0,2.788082569111209,-2.0303125500703683,0.29928762679980453,1.0,0.9668486070926409
BA m=5,777,uniform,3.2030420232686403,-0.0,2.5602948796802174,-2.2343189603282596,0.23094693935087032,1.0,0.9999903525756048
BA m=5,777,degree_linear,3.2030420232686403,-0.0,2.9321570079521515,-2.013577692272822,0.4075118130382207,1.0,0.9283452173992468
BA m=5,17,uniform,3.2030820403487628,-0.0,2.8836452250798352,-2.2356681890019963,0.23982721438201676,1.0,0.9999981743780018
BA m=5,17,degree_linear,3.2030820403487628,0.557438185027989,4.164214347235683,-1.462284306417624,0.43719821244173296,0.87,0.6901649618543331
BA m=5,256,uniform,3.0266808325283945,-0.0,2.9850751375514504,-2.212134798417929,0.23791324291872706,1.0,0.9999526733117701
BA m=5,256,degree_linear,3.0266808325283945,-0.0,2.780044807538066,-2.0564667759837114,0.3362809002728036,1.0,0.9611160846253862
BA m=5,1337,uniform,3.0034902240530648,-0.0,3.080967592917164,-2.2161850796409457,0.24095426982545629,1.0,0.9999780318529418
BA m=5,1337,degree_linear,3.0034902240530648,-0.0,2.9707681319264814,-1.833020517964497,0.4612271262554364,1.0,0.8882804323385071
BA m=5,99,uniform,3.0057037896082797,-0.0,2.9630962143349135,-2.2141866809807293,0.24354081295591187,1.0,0.9999546655197767
BA m=5,99,degree_linear,3.0057037896082797,0.36592365090022316,4.032729157136024,-1.4879966612279276,0.44568822999743035,0.93,0.7184750852396695
BA m=5,314,uniform,3.121996954608005,-0.0,3.015365157089896,-2.2490346840587656,0.23685142558537223,1.0,0.9999933124633955
BA m=5,314,degree_linear,3.121996954608005,0.6343095546405662,4.1328578422711875,-1.4322423202424968,0.4223667734549309,0.84,0.6356658226683883
BA m=6,42,uniform,3.921183427252306,-0.0,2.930178914418384,-2.257713874541952,0.22426739553073283,1.0,0.9999996861489991
BA m=6,42,degree_linear,3.921183427252306,-0.0,2.815995691364123,-2.1260391229059774,0.30326833728141384,1.0,0.9987786713781177
BA m=6,123,uniform,3.9036207961354075,-0.0,2.7692906350037694,-2.291003372495869,0.22092863877383206,1.0,1.0
BA m=6,123,degree_linear,3.9036207961354075,-0.0,2.6877297587093425,-2.1031727759089667,0.2900426482862107,1.0,0.9996219393937443
BA m=6,777,uniform,4.01513078314626,-0.0,2.686994274158703,-2.2814016231168646,0.2199125842045792,1.0,1.0
BA m=6,777,degree_linear,4.01513078314626,-0.0,2.6957260171883966,-2.1397538357249646,0.3048441472121482,1.0,0.9989467452069138
BA m=6,17,uniform,4.185000935383301,-0.0,2.6970778331220995,-2.2924260333453534,0.2220522954040825,1.0,1.0
BA m=6,17,degree_linear,4.185000935383301,-0.0,2.6840888301830654,-2.065801783958606,0.38218491662256543,1.0,0.9849429419309474
BA m=6,256,uniform,3.9756116302485682,-0.0,2.8323715840667685,-2.29586576780981,0.21990532940093976,1.0,0.9999925629803098
BA m=6,256,degree_linear,3.9756116302485682,-0.0,2.5180023616937217,-2.129137527331797,0.28621623154404713,1.0,0.9998844388650043
BA m=6,1337,uniform,4.048424966980886,-0.0,2.7771450790214653,-2.274085887172745,0.2247906361095933,1.0,0.999992308951109
BA m=6,1337,degree_linear,4.048424966980886,-0.0,2.6756613910159577,-2.119769069433051,0.2586305416906136,1.0,0.9997934733401088
BA m=6,99,uniform,4.024891570230563,-0.0,2.7094491168522725,-2.2896033548715273,0.22433084164315206,1.0,1.0
BA m=6,99,degree_linear,4.024891570230563,-0.0,2.6474033921146964,-2.0306448283195446,0.3770055166419805,1.0,0.973141401881614
BA m=6,314,uniform,4.009904865774196,-0.0,2.7327398797373945,-2.2582702609537195,0.22468694372838957,1.0,0.9999863019366131
BA m=6,314,degree_linear,4.009904865774196,-0.0,2.573624387352001,-2.143595599214735,0.3083471862706931,1.0,0.9977288294334937
BA m=7,42,uniform,5.046239141923623,-0.0,2.732368415900155,-2.3316942835143664,0.20966619867874434,1.0,0.9999958241159166
BA m=7,42,degree_linear,5.046239141923623,-0.0,2.438132563217352,-2.175339644626972,0.2831320568790559,1.0,0.9999020166994977
BA m=7,123,uniform,4.7409083250125645,-0.0,2.7708918491541352,-2.3114111505359265,0.21414527828575455,1.0,1.0
BA m=7,123,degree_linear,4.7409083250125645,-0.0,2.6118693050929505,-2.1754483925723007,0.2811250520838312,1.0,0.999917566006189
BA m=7,777,uniform,4.933027260095069,-0.0,2.6512658086131915,-2.3541640496268426,0.20419420444450737,1.0,1.0
BA m=7,777,degree_linear,4.933027260095069,-0.0,2.5673398778170933,-2.205263548594241,0.2705711071267876,1.0,0.9999615282942397
BA m=7,17,uniform,4.885863533785157,-0.0,2.6734226019072804,-2.318883510863065,0.2137089560212311,1.0,0.9999986807908106
BA m=7,17,degree_linear,4.885863533785157,-0.0,2.585389558201583,-2.172654473361929,0.28270534023129473,1.0,0.9999112610438031
