t,v_diff,uc_diff
400,-0.574169,0.476185
401,-0.573766,0.474401
402,-0.573954,0.472624
403,-0.574231,0.470848
404,-0.573977,0.469074
405,-0.574795,0.467302
406,-0.575231,0.465533
407,-0.574303,0.463763
408,-0.574455,0.461998
409,-0.574325,0.460236
410,-0.574040,0.458478
411,-0.573632,0.456724
412,-0.573225,0.454970
413,-0.573603,0.453218
414,-0.574688,0.451469
415,-0.574213,0.449721
416,-0.574359,0.447977
417,-0.574026,0.446235
418,-0.574093,0.444496
419,-0.575503,0.442758
420,-0.576139,0.441020
421,-0.576686,0.439282
422,-0.575770,0.437545
423,-0.576231,0.435810
424,-0.575302,0.434076
425,-0.575610,0.432348
426,-0.577042,0.430620
427,-0.577306,0.428891
428,-0.577861,0.427163
429,-0.578923,0.425434
430,-0.580232,0.423705
431,-0.580292,0.421974
432,-0.579498,0.420246
433,-0.579333,0.418524
434,-0.580097,0.416806
435,-0.579862,0.415084
436,-0.580088,0.413365
437,-0.579752,0.411646
438,-0.578653,0.409929
439,-0.578594,0.408217
440,-0.576949,0.406506
441,-0.575815,0.404807
442,-0.576694,0.403111
443,-0.576460,0.401416
444,-0.576349,0.399726
445,-0.574681,0.398038
446,-0.575444,0.396356
447,-0.576863,0.394674
448,-0.576586,0.392990
449,-0.576088,0.391309
450,-0.576013,0.389635
451,-0.575970,0.387962
452,-0.575558,0.386288
453,-0.575752,0.384614
454,-0.575478,0.382939
455,-0.574233,0.381267
456,-0.574137,0.379595
457,-0.574060,0.377926
458,-0.574522,0.376259
459,-0.574275,0.374592
460,-0.573709,0.372927
461,-0.575413,0.371264
462,-0.575509,0.369600
463,-0.574109,0.367943
464,-0.574313,0.366293
465,-0.573692,0.364643
466,-0.573525,0.362997
467,-0.574050,0.361353
468,-0.573695,0.359711
469,-0.572860,0.358073
470,-0.572974,0.356438
471,-0.573974,0.354806
472,-0.573262,0.353175
473,-0.572795,0.351548
474,-0.572459,0.349923
475,-0.571448,0.348300
476,-0.571546,0.346683
477,-0.570228,0.345062
478,-0.569342,0.343446
479,-0.569298,0.341835
480,-0.568793,0.340224
481,-0.568074,0.338616
482,-0.567966,0.337012
483,-0.566533,0.335411
484,-0.566501,0.333813
485,-0.565824,0.332214
486,-0.564473,0.330617
487,-0.564365,0.329025
488,-0.562194,0.327436
489,-0.561246,0.325852
490,-0.560056,0.324274
491,-0.557557,0.322699
492,-0.557751,0.321132
493,-0.555458,0.319563
494,-0.555018,0.318002
495,-0.554705,0.316444
496,-0.553824,0.314887
497,-0.553903,0.313336
498,-0.552766,0.311785
499,-0.553104,0.310239
500,-0.552474,0.308697
501,-0.550690,0.307157
502,-0.549822,0.305626
503,-0.548655,0.304096
504,-0.547569,0.302569
505,-0.548216,0.301051
506,-0.546199,0.299533
507,-0.545712,0.298021
508,-0.544940,0.296507
509,-0.543453,0.294999
510,-0.539924,0.293491
511,-0.539270,0.291994
512,-0.538085,0.290502
513,-0.536687,0.289012
514,-0.535569,0.287528
515,-0.534547,0.286047
516,-0.533509,0.284571
517,-0.531589,0.283098
518,-0.529163,0.281631
519,-0.528399,0.280170
520,-0.526855,0.278712
521,-0.524744,0.277256
522,-0.524668,0.275806
523,-0.523311,0.274357
524,-0.522305,0.272913
525,-0.520491,0.271469
526,-0.520126,0.270029
527,-0.519554,0.268587
528,-0.519249,0.267149
529,-0.516529,0.265713
530,-0.516687,0.264285
531,-0.515297,0.262857
532,-0.514479,0.261437
533,-0.512527,0.260020
534,-0.511591,0.258609
535,-0.509823,0.257200
536,-0.507448,0.255795
537,-0.505836,0.254396
538,-0.504685,0.253003
539,-0.502487,0.251615
540,-0.501350,0.250233
541,-0.499971,0.248855
542,-0.498264,0.247482
543,-0.496804,0.246112
544,-0.494730,0.244748
545,-0.492365,0.243388
546,-0.491331,0.242035
547,-0.489360,0.240686
548,-0.487262,0.239344
549,-0.485096,0.238008
550,-0.483368,0.236681
551,-0.481981,0.235360
552,-0.479069,0.234038
553,-0.479178,0.232723
554,-0.476805,0.231409
555,-0.475190,0.230100
556,-0.474733,0.228797
557,-0.472976,0.227500
558,-0.471255,0.226210
559,-0.469910,0.224927
560,-0.468318,0.223646
561,-0.466957,0.222370
562,-0.466360,0.221098
563,-0.464841,0.219833
564,-0.463152,0.218571
565,-0.460926,0.217314
566,-0.458380,0.216063
567,-0.457070,0.214820
568,-0.455689,0.213581
569,-0.453702,0.212348
570,-0.452609,0.211121
571,-0.449575,0.209897
572,-0.447200,0.208682
573,-0.445507,0.207473
574,-0.444207,0.206271
575,-0.441768,0.205069
576,-0.439751,0.203872
577,-0.437126,0.202684
578,-0.436431,0.201500
579,-0.434672,0.200319
580,-0.432602,0.199142
581,-0.430255,0.197970
582,-0.429061,0.196806
583,-0.427252,0.195644
584,-0.425357,0.194487
585,-0.422951,0.193337
586,-0.420661,0.192195
587,-0.418625,0.191060
588,-0.415713,0.189932
589,-0.413637,0.188810
590,-0.410981,0.187693
591,-0.410334,0.186578
592,-0.408338,0.185467
593,-0.406805,0.184360
594,-0.404690,0.183257
595,-0.402227,0.182160
596,-0.399683,0.181071
597,-0.397317,0.179990
598,-0.395034,0.178914
599,-0.392829,0.177843
600,-0.391072,0.176779
601,-0.387653,0.175719
602,-0.385832,0.174666
603,-0.383367,0.173620
604,-0.381229,0.172577
605,-0.380060,0.171539
606,-0.377628,0.170504
607,-0.374730,0.169475
608,-0.373634,0.168447
609,-0.370664,0.167422
610,-0.367913,0.166407
611,-0.366205,0.165400
612,-0.363528,0.164399
613,-0.362056,0.163406
614,-0.360575,0.162417
615,-0.358457,0.161432
616,-0.356919,0.160454
617,-0.354538,0.159481
618,-0.351698,0.158512
619,-0.350846,0.157549
620,-0.349314,0.156589
621,-0.347497,0.155634
622,-0.344814,0.154682
623,-0.343550,0.153739
624,-0.340532,0.152799
625,-0.338363,0.151867
626,-0.335701,0.150940
627,-0.333553,0.150015
628,-0.331840,0.149095
629,-0.330339,0.148180
630,-0.329187,0.147269
631,-0.327816,0.146359
632,-0.326439,0.145456
633,-0.324111,0.144558
634,-0.322147,0.143665
635,-0.319148,0.142778
636,-0.316102,0.141898
637,-0.313962,0.141026
638,-0.311937,0.140158
639,-0.310184,0.139297
640,-0.307865,0.138441
641,-0.305496,0.137590
642,-0.302581,0.136746
643,-0.300660,0.135907
644,-0.297702,0.135074
645,-0.296942,0.134248
646,-0.296406,0.133423
647,-0.294104,0.132600
648,-0.290993,0.131784
649,-0.287801,0.130975
650,-0.284997,0.130175
651,-0.282432,0.129383
652,-0.279296,0.128598
653,-0.278675,0.127822
654,-0.275701,0.127048
655,-0.272421,0.126279
656,-0.270350,0.125523
657,-0.268111,0.124770
658,-0.265818,0.124025
659,-0.262534,0.123286
660,-0.262260,0.122555
661,-0.260382,0.121825
662,-0.258144,0.121099
663,-0.255893,0.120378
664,-0.255477,0.119664
665,-0.254832,0.118952
666,-0.252846,0.118241
667,-0.250489,0.117540
668,-0.248904,0.116847
669,-0.247573,0.116157
670,-0.246801,0.115473
671,-0.245252,0.114793
672,-0.243114,0.114116
673,-0.240456,0.113444
674,-0.238375,0.112777
675,-0.236334,0.112116
676,-0.235402,0.111464
677,-0.233839,0.110813
678,-0.230944,0.110167
679,-0.229030,0.109529
680,-0.227786,0.108897
681,-0.227254,0.108268
