window_center,source,target,te_bits
1900,Q3,Q2,0.043155
1950,Q3,Q2,0.058034
200,Q3,Q4,0.000000
250,Q3,Q4,0.000000
300,Q3,Q4,0.000000
350,Q3,Q4,0.000505
400,Q3,Q4,0.000000
450,Q3,Q4,0.000000
500,Q3,Q4,0.000000
550,Q3,Q4,0.000000
600,Q3,Q4,0.000000
650,Q3,Q4,0.000000
700,Q3,Q4,0.000000
750,Q3,Q4,0.000000
800,Q3,Q4,0.009732
850,Q3,Q4,0.007511
900,Q3,Q4,0.004294
950,Q3,Q4,0.000590
1000,Q3,Q4,0.067072
1050,Q3,Q4,0.100092
1100,Q3,Q4,0.063614
1150,Q3,Q4,0.023717
1200,Q3,Q4,0.026716
1250,Q3,Q4,0.005648
1300,Q3,Q4,0.003805
1350,Q3,Q4,0.003932
1400,Q3,Q4,0.016522
1450,Q3,Q4,0.006798
1500,Q3,Q4,0.016426
1550,Q3,Q4,0.027128
1600,Q3,Q4,0.027848
1650,Q3,Q4,0.014559
1700,Q3,Q4,0.016007
1750,Q3,Q4,0.014042
1800,Q3,Q4,0.009879
1850,Q3,Q4,0.004948
1900,Q3,Q4,0.010139
1950,Q3,Q4,0.007820
200,Q4,Q1,0.000000
250,Q4,Q1,0.000000
300,Q4,Q1,0.000000
350,Q4,Q1,0.001005
400,Q4,Q1,0.004375
450,Q4,Q1,0.019181
500,Q4,Q1,0.024812
550,Q4,Q1,0.001661
600,Q4,Q1,0.000000
650,Q4,Q1,0.000000
700,Q4,Q1,0.000000
750,Q4,Q1,0.000000
800,Q4,Q1,0.000000
850,Q4,Q1,0.000000
900,Q4,Q1,0.000000
950,Q4,Q1,0.002839
1000,Q4,Q1,0.004058
1050,Q4,Q1,0.007276
1100,Q4,Q1,0.008911
1150,Q4,Q1,0.000000
1200,Q4,Q1,0.004748
1250,Q4,Q1,0.002969
1300,Q4,Q1,0.048378
1350,Q4,Q1,0.047934
1400,Q4,Q1,0.066875
1450,Q4,Q1,0.049786
1500,Q4,Q1,0.017445
1550,Q4,Q1,0.013187
1600,Q4,Q1,0.013056
1650,Q4,Q1,0.003586
1700,Q4,Q1,0.008371
1750,Q4,Q1,0.013029
1800,Q4,Q1,0.041169
1850,Q4,Q1,0.013411
1900,Q4,Q1,0.007611
1950,Q4,Q1,0.015056
200,Q4,Q2,0.003128
250,Q4,Q2,0.000520
300,Q4,Q2,0.000000
350,Q4,Q2,0.000000
400,Q4,Q2,0.014754
450,Q4,Q2,0.012506
500,Q4,Q2,0.009229
550,Q4,Q2,0.003086
600,Q4,Q2,0.000000
650,Q4,Q2,0.000000
700,Q4,Q2,0.000000
750,Q4,Q2,0.000000
800,Q4,Q2,0.015309
850,Q4,Q2,0.022869
900,Q4,Q2,0.077195
950,Q4,Q2,0.071127
1000,Q4,Q2,0.012869
1050,Q4,Q2,0.031311
1100,Q4,Q2,0.048419
1150,Q4,Q2,0.038212
1200,Q4,Q2,0.031699
1250,Q4,Q2,0.014174
1300,Q4,Q2,0.016862
1350,Q4,Q2,0.039606
1400,Q4,Q2,0.018305
1450,Q4,Q2,0.019693
1500,Q4,Q2,0.017752
1550,Q4,Q2,0.023948
1600,Q4,Q2,0.027424
1650,Q4,Q2,0.050994
1700,Q4,Q2,0.084285
1750,Q4,Q2,0.046684
1800,Q4,Q2,0.054694
1850,Q4,Q2,0.038453
1900,Q4,Q2,0.013855
1950,Q4,Q2,0.012259
200,Q4,Q3,0.003357
