m,lambda_photons,seed,h_cont,h_cog,sync
5,10,314,3.3869927439724856,0.0,0.004451301660026547
5,10,2024,3.2917158632975596,0.0,-0.0013244421881290944
5,10,888,3.2075507109019328,0.0,-0.0029204918024386957
5,30,42,3.2468538242034883,0.0,0.0013559212022387194
5,30,123,3.2260964318247805,0.0,0.0029253366701495575
5,30,777,3.2121383479801904,0.0,0.0033861883495156613
5,30,17,3.145162965640346,0.0,-0.006440460296297991
5,30,256,3.190951154360135,0.0,0.002937626554326532
5,30,1337,3.074853953710915,0.0,-0.00618878269835153
5,30,99,3.1269684575493826,0.0,0.004320838402581612
5,30,314,3.300852997712697,0.0,-0.0002211105397443809
5,30,2024,3.2758374821728875,0.0,0.006643282086636187
5,30,888,3.211353827986959,0.0,-0.004414722005625203
5,100,42,3.192664439074791,0.0,-0.008063457001064532
5,100,123,3.231559006580696,0.0,-0.0010274255175306572
5,100,777,3.1905366868178144,0.0,0.003196588209004174
5,100,17,3.1494051539444943,0.0,0.000449766882535527
5,100,256,3.1186941517814946,0.0,0.0013253028738194786
5,100,1337,3.096177766095481,0.0,0.005306087020941516
5,100,99,3.096713734151343,0.0,-0.0038087255438608125
5,100,314,3.281126168076317,0.0,0.00013525208891209311
5,100,2024,3.245324028575103,0.0,-0.0018319953598905407
5,100,888,3.22855491226877,0.0,0.001862449546190263
5,300,42,3.1956837649183103,0.0,-0.0015922323804430385
5,300,123,3.2072729908463744,0.0,-0.002109389459703051
5,300,777,3.231079361182618,0.0,0.0014504543915790846
5,300,17,3.1592758564505385,0.0,0.00035803073186696375
5,300,256,3.1511142218134855,0.0,-0.003322864888130253
5,300,1337,3.0939607353086127,0.0,-0.004413797901316424
5,300,99,3.1245278595288144,0.0,0.0006833799652868359
5,300,314,3.27177581150468,0.0,0.007529141213288931
5,300,2024,3.2805732949304494,0.0,-0.0002961012143803492
5,300,888,3.2199723809863836,0.0,-0.00013008628618761708
5,1000,42,3.2422577186665387,0.0,0.0017976338899946852
5,1000,123,3.191155490734795,0.0,0.002699960124142195
5,1000,777,3.2271431949610423,0.0,0.009505905391004505
5,1000,17,3.134108994403511,0.0,0.0006035259559631498
5,1000,256,3.155622552419636,0.0,0.0006390505122966068
5,1000,1337,3.104086325431985,0.0,-0.004562671971448687
5,1000,99,3.113305126804885,0.0,-0.00340767884550219
5,1000,314,3.279670634103265,0.0,0.01614681579365984
5,1000,2024,3.1864436038756128,0.0005386209059727412,0.00017782864126005048
5,1000,888,3.1756129605174546,0.0,0.0035727535918745044
