alpha,v_star,w_star,re_lambda_max,im_lambda,is_spiral
0.08743718592964823,-1.3269691311362508,-0.7837114139203135,-0.07099561708782008,0.2827561870968708,True
0.09045226130653267,-1.3249960955294233,-0.7812451194117792,-0.06983442411285203,0.28278253039265233,True
0.09346733668341708,-1.3230207131005323,-0.7787758913756654,-0.06867640654027021,0.2828040509290313,True
0.0964824120603015,-1.3210429902938432,-0.776303737867304,-0.06752159376842129,0.2828207884462,True
0.09949748743718592,-1.3190629337307924,-0.7738286671634905,-0.06637001536638118,0.28283278280136326,True
0.10251256281407034,-1.3170805502119227,-0.7713506877649035,-0.06522170107347053,0.28284007397553673,True
0.10552763819095477,-1.3150958467188238,-0.7688698083985298,-0.06407668079872955,0.28284270208024653,True
0.10854271356783919,-1.3131088304160758,-0.7663860380200949,-0.06293498462035368,0.2828407073641295,True
0.11155778894472361,-1.311119508653195,-0.7638993858164939,-0.061796642785087466,0.2828341302194335,True
0.11457286432160804,-1.3091278889665816,-0.7614098612082271,-0.06066168570757495,0.28282301118841974,True
0.11758793969849246,-1.3071339790814696,-0.7589174738518369,-0.059530143969668714,0.2828073909696635,True
0.12060301507537688,-1.305137786913877,-0.7564222336423462,-0.058402048319694144,0.2827873104242568,True
0.1236180904522613,-1.3031393205727178,-0.7539241507158972,-0.057277429671790954,0.28276281058191205,True
0.12663316582914572,-1.301138588361141,-0.7514232354514263,-0.05615631910462521,0.2827339326469527,True
0.12964824120603013,-1.2991355987793576,-0.748919498474197,-0.05503874786118107,0.2827007180042253,True
0.13266331658291458,-1.297130360526029,-0.7464129506575362,-0.05392474734741836,0.28266320822488844,True
0.135678391959799,-1.2951228825003496,-0.743903603125437,-0.05281434913140927,0.282621445072107,True
0.13869346733668342,-1.2931131738040655,-0.741391467255082,-0.05170758494237859,0.2825754705066439,True
0.14170854271356784,-1.291101243743091,-0.7388765546788639,-0.050604486669398444,0.2825253266923333,True
0.14472361809045226,-1.2890871018299808,-0.736358877287476,-0.04950508636067299,0.2824710560014751,True
0.14773869346733667,-1.2870707577854659,-0.7338384472318323,-0.04840941622207746,0.28241270102009153,True
0.1507537688442211,-1.2850522215404945,-0.7313152769256182,-0.04731750861602678,0.28235030455309174,True
0.1537688442211055,-1.2830315032381545,-0.7287893790476931,-0.04622939606020683,0.2822839096293216,True
0.15678391959798993,-1.281008613235587,-0.7262607665444837,-0.045145111226252116,0.2822135595065014,True
0.15979899497487438,-1.278983562105895,-0.7237294526323687,-0.0440646869383705,0.2821392976760501,True
0.1628140703517588,-1.2769563606400418,-0.7211954508000523,-0.04298815617191202,0.28206116786779434,True
0.1658291457286432,-1.2749270198487432,-0.7186587748109291,-0.04191555205188392,0.2819792140545592,True
0.16884422110552763,-1.2728955509643465,-0.7161194387054332,-0.040846907851407155,0.28189348045664125,True
0.17185929648241205,-1.2708619654427025,-0.7135774568033781,-0.039782256990119426,0.28180401154615836,True
0.17487437185929647,-1.2688262749650225,-0.7110328437062782,-0.03872163303251534,0.28171085205127827,True
0.1778894472361809,-1.2667884914397274,-0.7084856142996593,-0.03766506968623387,0.28161404696031955,True
0.18090452261306533,-1.2647486270042791,-0.7059357837553489,-0.03661260080028218,0.28151364152572667,True
0.18391959798994975,-1.2627066940270022,-0.7033833675337527,-0.03556426036320163,0.2814096812679127,True
0.18693467336683417,-1.2606627051088868,-0.7008283813861085,-0.03452008250117247,0.2813022119789717,True
0.1899497487437186,-1.2586166730853796,-0.6982708413567246,-0.033480101476057976,0.28119127972625374,True
0.192964824120603,-1.256568611028155,-0.6957107637851939,-0.03244435168338467,0.28107693085580343,True
0.19597989949748743,-1.2545185322468706,-0.6931481653085882,-0.03141286765026198,0.28095921199565727,True
0.19899497487437184,-1.2524664502909029,-0.6905830628636286,-0.03038568403323694,0.2808381700589979,True
0.20201005025125626,-1.2504123789510637,-0.6880154736888296,-0.029362835616084913,0.2807138522471623,True
0.20502512562814068,-1.2483563322612978,-0.6854454153266223,-0.02834435730753721,0.28058630605250034,True
0.20804020100502513,-1.2462983245003554,-0.6828729056254442,-0.02733028413894072,0.2804555792610823,True
0.21105527638190955,-1.2442383701934456,-0.6802979627418071,-0.02632065126185336,0.2803217199552492,True
0.21407035175879396,-1.2421764841138647,-0.6777206051423309,-0.025315493945572975,0.28018477651600737,True
0.21708542713567838,-1.2401126812845982,-0.6751408516057478,-0.02431484757459651,0.2800447976252593,True
0.2201005025125628,-1.2380469769799016,-0.672558721224877,-0.02331874764601633,0.2799018322678712,True
0.22311557788944722,-1.2359793867268491,-0.6699742334085614,-0.02232722976684238,0.2797559297335705,True
0.22613065326633164,-1.2339099263068587,-0.6673874078835734,-0.021340329651259995,0.27960713961867434,True
0.22914572864321608,-1.2318386117571853,-0.6647982646964817,-0.020358083117816277,0.27945551182764056,True
0.2321608040201005,-1.2297654593723855,-0.6622068242154818,-0.019380526086536815,0.279301096574442,True
0.23517587939698492,-1.2276904857057502,-0.6596131071321878,-0.018407694575972175,0.2791439443837573,True
0.23819095477386934,-1.2256137075707056,-0.6570171344633821,-0.01743962470017376,0.2789841060919767,True
0.24120603015075376,-1.22353514204218,-0.6544189275527251,-0.016476352665598486,0.2788216328480189,True
0.24422110552763818,-1.2214548064579356,-0.6518185080724195,-0.015517914767941579,0.2786565761139532,True
0.2472361809045226,-1.2193727184198662,-0.6492158980248327,-0.014564347388897877,0.2784889876654271,True
0.25025125628140704,-1.217288895795254,-0.6466111197440674,-0.013615686992848895,0.27831891959189087,True
0.25326633165829143,-1.2152033567179934,-0.6440041958974918,-0.012671970123481556,0.2781464242966198,True
0.2562814070351759,-1.2131161195897708,-0.6413951494872135,-0.011733233400328391,0.2779715544965266,True
0.25929648241206027,-1.2110272030812057,-0.6387840038515071,-0.010799513515239216,0.27779436322176304,True
0.2623115577889447,-1.208936626132949,-0.6361707826661863,-0.009870847228776257,0.2776149038151041,True
0.26532663316582916,-1.2068444079567395,-0.6335555099459245,-0.008947271366538202,0.2774332299311141,True
0.26834170854271355,-1.2047505680364143,-0.630938210045518,-0.008028822815408086,0.2772493955350869,True
