N,m,c,seed,lambda2,H_stable
100,1,7.142857142857143,4,1.6627229695927672,3.458041041839554
100,1,8.071428571428571,3,1.8204498643980411,3.3123512974241884
100,2,0.0,0,0.5942581906134656,4.857869621750827
100,1,8.071428571428571,0,2.3830549104755296,3.1159559481544687
100,1,8.071428571428571,2,2.5373943259100495,3.200838367297856
100,1,8.071428571428571,4,1.6817640002114649,3.0846909402599
100,1,9.0,0,3.212629332694584,3.065538341892301
100,1,9.0,5,2.6103696744093843,2.9326508010948835
100,1,9.0,1,4.207653065451762,2.815478985635704
100,1,9.0,4,1.6869158090378125,2.8905503458602357
100,1,9.0,3,3.032177111504711,3.1602548355290376
100,2,0.0,2,0.6700199753619973,4.907083331343132
100,2,0.0,1,0.6666661146510895,4.888643085892465
100,2,0.0,5,0.6148117227828946,4.937027597863554
100,1,9.0,2,3.104901969913351,2.986655923183238
100,2,0.0,3,0.6381545530178466,4.810052913076891
100,2,0.25,0,0.6869703213942459,4.88312929043637
100,2,0.0,4,0.6195400161412473,4.8675807613901165
100,2,0.25,2,0.7902088522213301,4.891205672019095
100,2,0.25,1,0.7261242822382119,4.716906778605197
100,2,0.25,3,0.7086606550718455,4.6218878794528955
100,2,0.25,4,0.6732775180844641,4.789414288575864
100,2,0.25,5,0.659688794152537,4.828732462743368
100,2,0.5,1,0.792717946619733,4.695786516019111
100,2,0.5,0,0.7396468112536132,4.670867244553048
100,2,0.75,0,0.7846328149930705,4.665483472544665
100,2,0.5,2,0.8675697965806002,4.771329166147997
100,2,0.5,4,0.6942168291735197,4.716715354966827
100,2,0.5,3,0.8325954599530702,4.539165679430325
100,2,0.75,3,0.9060408703532034,4.625649198732546
100,2,0.75,4,0.776443650404553,4.6745292134527245
100,2,0.75,5,0.7933608175760488,4.771601762750997
100,2,1.0,0,0.8307010338890819,4.504726551225027
100,2,0.75,1,0.8093763531073787,4.6452575288465745
100,2,0.5,5,0.7345201824801313,4.623220920202499
100,2,1.0,1,0.8242802874151792,4.512244090710744
100,2,1.0,2,1.020731472542963,4.677834400156694
100,2,0.75,2,0.9659042651494365,4.696195153687088
100,2,1.0,3,1.0428870542060815,4.367944013751601
100,2,1.0,5,0.8363030055367059,4.537508607926309
100,2,1.25,0,0.8811090833095927,4.599839354753273
100,2,1.0,4,0.8447916752513809,4.667842767609723
100,2,1.25,1,0.8294097554368964,4.376229219816081
100,2,1.25,2,1.0819872574215668,4.574088872555071
100,2,1.25,3,1.1499606604652217,4.375548880392514
100,2,1.25,4,0.9555479716876045,4.435888395757549
100,2,1.5,1,0.9097846229763306,4.475468334894179
100,2,1.25,5,0.9515231227152199,4.55520504565586
100,2,1.5,0,1.0760427257751053,4.447993739370229
100,2,1.5,3,1.1769222071880976,4.322850627382066
100,2,1.5,2,1.1166675454000172,4.510478880683703
100,2,1.5,5,1.0975204437313206,4.663235616129106
100,2,1.75,0,1.1892684176285708,4.456912497808592
100,2,1.5,4,1.0187704507884117,4.456124279893136
100,2,1.75,1,0.9951433458920501,4.317247188554592
100,2,1.75,3,1.1876080302101326,4.184754229002113
100,2,1.75,2,1.2967507374327796,4.391743141700921
100,2,1.75,4,1.196727397817205,4.303219627423679
100,2,1.75,5,1.1364611104207076,4.4004578187678405
100,2,2.0,1,1.0377531474104105,4.440377314797843
100,2,2.0,0,1.283962650348444,4.339615561988004
100,2,2.0,3,1.2915002490397944,4.268540738483953
100,2,2.0,2,1.347578700060738,4.419902033194258
100,2,2.0,5,1.177740147203645,4.359436758247739
100,2,2.5,0,1.5248096775946394,4.084488089692645
100,2,2.5,2,1.5603035095892166,4.029886984358342
100,2,2.0,4,1.4019972955885132,4.213005569593906
100,2,2.5,1,1.125136553823649,4.099494907726786
100,2,2.5,5,1.2852995946109878,4.289696944135053
100,2,2.5,4,1.4218285587440709,4.222969936194556
100,2,2.5,3,1.4646471821045615,4.2590171820807825
100,2,3.428571428571429,1,1.1833686279985736,3.5580941540935145
100,2,3.428571428571429,2,1.6615747533708058,3.554750699294256
100,2,3.428571428571429,0,1.9131789872659524,3.849131359964961
100,2,3.428571428571429,4,1.6253521898846142,3.7437589058816174
100,2,3.428571428571429,5,1.7414323208924833,4.105224059489315
100,2,4.357142857142858,0,2.116292721198426,3.4578267044505324
100,2,3.428571428571429,3,1.6439244249770388,4.148539131967518
100,2,4.357142857142858,2,1.760659606048976,3.317195591408388
100,2,4.357142857142858,5,1.9291853451747516,3.648573914585157
100,2,4.357142857142858,1,1.755748599910487,3.235775688927144
100,2,4.357142857142858,3,1.7836618186025026,3.806958022317237
100,2,5.285714285714286,0,2.297195233208369,3.2085582623560396
100,2,4.357142857142858,4,2.38366042166809,3.583584978732926
100,2,5.285714285714286,1,2.083235733400133,3.2890371589250464
100,2,5.285714285714286,2,2.289706441440589,3.207235672006617
100,2,5.285714285714286,3,2.498397710121467,3.4796793446447434
100,2,6.214285714285714,1,2.5921100651779363,2.9978018053095767
100,2,5.285714285714286,4,2.6253730520207075,3.415805230009553
100,2,5.285714285714286,5,2.3319939189263295,3.449158869371976
100,2,6.214285714285714,0,3.091320538052487,3.016724204073343
100,2,6.214285714285714,5,2.971410147981724,3.114905054620032
100,2,6.214285714285714,2,2.5076114436307306,3.061542497692628
100,2,6.214285714285714,3,2.9129451772497936,3.272355269271481
