m,alpha,sync_mean,sync_std,lz_mean,lz_std,h_cont_mean,h_cont_std,h_cog_mean,n_seeds
4,0.6,0.16686937754797537,0.13509890056962276,1.3905355633037872,0.11301504305199675,3.3905378741912644,0.27275546203904816,0.4037935609421498,10
4,0.7,0.10453814522481535,0.11744207451209993,1.3881259570736222,0.04422251784873506,3.2950785570612,0.3427998313147313,0.47773405753662274,10
4,0.8,0.11945698926793427,0.14053847231534136,1.4036920133204898,0.04219442748401204,3.293617829642571,0.3717955307403135,0.528433384498751,10
4,0.9,0.07646196620073681,0.10919889221837789,1.3971378843744406,0.04979832406934764,3.3081937514623263,0.34561471975436786,0.5822570765529409,10
4,1.0,0.0262799091762354,0.03448481534786316,1.3737647039418373,0.04721706873473219,3.199866584287369,0.2724302777280266,0.6233368824763702,10
5,0.0,-0.008492895815250704,0.005885617354513896,1.2193089445882417,0.021706205849548722,2.90932589819628,0.05254941202273918,0.0,10
5,0.1,-0.004688301710061368,0.003903316290430225,1.2393568684232168,0.027528672899278534,2.8632130101411453,0.04264895882954453,0.0,10
5,0.2,-0.0031453333864776495,0.004922346045931568,1.2684649116836137,0.0218937092576541,2.829027332296159,0.044409071407805784,0.0,10
5,0.3,-0.0020542450531202696,0.005327424036858483,1.2906814811257379,0.029581329478229224,2.793412656461824,0.03243575367016212,0.0,10
5,0.4,0.0006253986734335407,0.009350833227677758,1.3329941665274405,0.016027051651508622,2.7910750010227394,0.06462907123123249,0.0,10
5,0.5,0.0033118348529229437,0.013988590852619609,1.309283641222614,0.060702108408042715,2.868188133254749,0.10207579508232574,0.004567118734995162,10
5,0.6,0.07924195543466027,0.13639180431163467,1.3090426805995974,0.09558529793173558,3.0005217189845874,0.2133266310980841,0.029387494849123397,10
5,0.7,0.212066189900913,0.20566312389210803,1.3984390717387296,0.0837528103620315,3.2323274768042176,0.2725393312398049,0.10775036976790227,10
5,0.8,0.22140732527383983,0.1882626485875222,1.3701021024719857,0.12633600163406355,3.3995293195810214,0.20785978290757295,0.21910631174416767,10
5,0.9,0.17078891932216106,0.1163455194699248,1.360752830298944,0.14078934744419036,3.3218771111943766,0.2105570349386969,0.28667381250512836,10
5,1.0,0.12654274145054917,0.1105833744019779,1.3274520721980598,0.11381634167248432,3.325511475782117,0.24160280906638318,0.31935416360160274,10
6,0.0,-0.005841901614673482,0.005174191674719378,1.2390195235509942,0.04116295842472137,2.7660320590027583,0.0507253548799616,0.0,10
6,0.1,-0.002776644712268865,0.004520822554782368,1.278440681476498,0.04083940651837734,2.695282897576698,0.028888555874907965,0.0,10
6,0.2,-0.003961789859380341,0.0032919018803180184,1.2809948640804731,0.03492213637723251,2.692355978574587,0.047569613789665934,0.0,10
6,0.3,-0.0017261399943486106,0.003726344135467732,1.3311628657925147,0.018884672966568698,2.6402473785061713,0.04238946308073056,0.0,10
6,0.4,-0.0035111390530451884,0.003957593684278791,1.3399338324703163,0.025300819519432503,2.6586328754015915,0.05093518890918332,0.0,10
6,0.5,-0.0033419108690099925,0.004276918891437837,1.3635479735259362,0.022583757211892583,2.653938619198062,0.06490476845821758,0.0,10
6,0.6,0.015947773127531744,0.02539175565873643,1.37482493068311,0.013004374929430794,2.6966590069651124,0.0819387290783232,0.0,10
6,0.7,0.03329592533982405,0.03602825422181932,1.4010896385919114,0.01322441425079198,2.7998378510822537,0.08817003722095741,0.0005116436421656473,10
6,0.8,0.05774164662509579,0.08124429806575728,1.388270533447432,0.06059881336187812,2.9734431160509374,0.10650396640406157,0.01078915281691045,10
6,0.9,0.06993791572520983,0.08774182021591512,1.3179582236512086,0.09888263011037432,2.9082633214295663,0.12491183149490565,0.016231030157347094,10
6,1.0,0.1038079544662184,0.114337379362225,1.2501037122097538,0.08719046188744446,2.8544896632762624,0.2295066329729045,0.03187174022840948,10
8,0.0,-0.0026641937774225595,0.004049766238832395,1.266151689702655,0.044995059170678725,2.5767731565666265,0.05733401390027064,0.0,10
8,0.1,-0.003383504346745934,0.007817522781773324,1.2820068986971425,0.04441358593283453,2.5403401387149063,0.06699495929282082,0.0,10
8,0.2,-0.0023095068058701334,0.004560967482771503,1.344126547310804,0.03294766247752465,2.46373874990078,0.058296879111722454,0.0,10
8,0.3,-0.00033689549271646293,0.004890288397513309,1.3771381526640685,0.024839475816772635,2.421970984698579,0.0479826979712188,0.0,10
8,0.4,-0.0035352681118968566,0.002710884943109924,1.3931861301569692,0.01623788567269236,2.421797844699291,0.04800107573640924,0.0,10
8,0.5,-0.0019415855190524534,0.0025550026266537057,1.4106316792633662,0.01831865003136638,2.412908919220636,0.05008285409449328,0.0,10
8,0.6,-0.004009162159427783,0.0032220452490068175,1.3900054499331511,0.03028831899634251,2.4453155935288757,0.08077341695058539,0.0,10
8,0.7,-0.0013604216815834825,0.004230366752995111,1.3910656766744238,0.019436726867801492,2.5914870052449444,0.08753676556493209,0.0,10
8,0.8,0.000610961417983711,0.00922886904565767,1.3963668103807876,0.02752124769994432,2.651020246614939,0.05215768852517896,0.0,10
8,0.9,-0.0002575526373378828,0.0047927676628089395,1.318488337021845,0.022745917035178607,2.5417651797579977,0.044024380526841315,0.0,10
8,1.0,0.00032908540311286287,0.005056980636123952,1.2856695001669936,0.017531338480350656,2.464447600970543,0.021523517938626373,0.0,10
10,0.0,-0.0005871870106043318,0.003938579164332919,1.3506324841322503,0.0305039018355841,2.382421953449233,0.05351446672696363,0.0,10
10,0.1,0.00018168827771109273,0.004196852227306201,1.3728972456989776,0.017833430430851168,2.314333459282195,0.050329861811999145,0.0,10
10,0.2,-0.0018153880955457374,0.003826143375475309,1.4120774430014649,0.02352294083862277,2.2722154059518544,0.055818434736989136,0.0,10
10,0.3,-0.0033446735015611,0.0024739183257659796,1.4114509453816222,0.021659451668502062,2.24603765458025,0.043061603986274226,0.0,10
10,0.4,-0.0025055678617922294,0.004852906341165933,1.4247037796475313,0.02620787698560769,2.2671243947209527,0.04169282206422347,0.0,10
10,0.5,-0.0007077017627423594,0.003904258164062279,1.4258603906380105,0.02766836583711464,2.2587944537697036,0.025502220029447766,0.0,10
10,0.6,-0.0020721247763294632,0.004170663972578412,1.3824874784950354,0.03897372529731843,2.3017844840843154,0.055173109460281124,0.0,10
10,0.7,-0.003969334781516912,0.0027186528142449586,1.3755478125521596,0.03007671230068881,2.368781260451727,0.07995484564403837,0.0,10
10,0.8,0.0002295122186238196,0.002868314568812455,1.3587287610656056,0.020477060015437722,2.4337970983420645,0.03910364283873685,0.0,10
10,0.9,-0.002982122297984551,0.002741240290053723,1.3358856940036383,0.04027489406399228,2.3876023643178375,0.03365602137511899,0.0,10
10,1.0,-8.663140694133639e-05,0.004045979799946985,1.263404738600266,0.022031972052987667,2.307591681214335,0.05300659365052191,0.0,10
