m,direction,graph_seed,dyn_seed,k_harm_in,k_harm_out,n_deaf_in,h_cont,h_cog,sync
3,RANDOM,3,256,2.068354944021248,1.8992750963016278,11,3.9212535346923905,0.27114217438766625,0.04139872626130151
3,HUBS_LISTEN,3,42,1.8161439218609774,2.783505154639175,38,4.142064689003202,0.4594604364390787,0.036167090981681124
3,HUBS_LISTEN,3,123,1.8161439218609774,2.783505154639175,38,4.21274863969545,0.5271156143711048,0.05250659823323521
3,HUBS_LISTEN,3,777,1.8161439218609774,2.783505154639175,38,4.191925787553353,0.4824233968078265,0.060554458652892655
3,HUBS_LISTEN,3,17,1.8161439218609774,2.783505154639175,38,4.235310586334837,0.48273808775260746,0.058587091613660554
3,HUBS_LISTEN,3,256,1.8161439218609774,2.783505154639175,38,4.192580082680826,0.45145199951174353,0.040690708191410026
3,HUBS_BROADCAST,3,42,2.723521320495186,2.0685953250494937,1,3.7155769702239114,0.1730772655688397,0.04043780827447218
3,HUBS_BROADCAST,3,123,2.723521320495186,2.0685953250494937,1,3.914963721978365,0.2948249222467789,0.007567737082833144
3,HUBS_BROADCAST,3,777,2.723521320495186,2.0685953250494937,1,3.7675507028162087,0.25379697082184,0.03650388272955501
3,HUBS_BROADCAST,3,17,2.723521320495186,2.0685953250494937,1,3.8136157725854973,0.26863427292682546,0.003793830040407632
3,HUBS_BROADCAST,3,256,2.723521320495186,2.0685953250494937,1,3.928854520197484,0.36417384979066614,0.006624182706582418
3,UNDIRECTED,4,42,nan,nan,0,3.610859198107305,0.11018391636091315,0.0024670227530822356
3,UNDIRECTED,4,123,nan,nan,0,3.6535805172410907,0.1636430961351828,0.023309440470329693
3,UNDIRECTED,4,777,nan,nan,0,3.71357712062392,0.21183374817932574,0.012205306792818707
3,UNDIRECTED,4,17,nan,nan,0,3.7062007894811426,0.1819083916019587,0.010151486587538183
3,UNDIRECTED,4,256,nan,nan,0,3.6270905355140797,0.08986883841275795,0.016110276443915935
3,RANDOM,4,42,2.0816099292850696,2.018681313948576,13,3.8068190721175936,0.1968629814198583,0.09077305322057805
3,RANDOM,4,123,2.0816099292850696,2.018681313948576,13,3.8676249664332807,0.1910184003385553,0.021053612882039892
3,RANDOM,4,777,2.0816099292850696,2.018681313948576,13,3.960270654888634,0.23573920092737982,0.030637629272055926
3,RANDOM,4,17,2.0816099292850696,2.018681313948576,13,3.9663361210441472,0.31441014750199414,0.04648978073776398
3,RANDOM,4,256,2.0816099292850696,2.018681313948576,13,3.8896606353536582,0.23446844596850433,0.03912009254362612
3,HUBS_LISTEN,4,42,2.2490769692856976,2.812499999999999,43,4.18442889022335,0.479696703892829,0.03072299435303613
3,HUBS_LISTEN,4,123,2.2490769692856976,2.812499999999999,43,4.163490541822282,0.45389322773998514,0.04912348699923665
3,HUBS_LISTEN,4,777,2.2490769692856976,2.812499999999999,43,4.237150218251478,0.4657495649433339,0.02406331972629482
