D,m,seed,lambda2,h_mean,h_std,synchrony,u_mean
0.15,8,99,5.694152958490871,0.196,0.39696851260521915,-0.007128895062497049,1.0
0.15,8,314,5.730897234439651,0.6365289632854167,0.6889740783247971,-0.008022356954597498,1.0
0.15,8,2024,5.52319545610227,0.6437284238118348,0.6892729583699277,-0.008868377145982579,1.0
0.15,8,888,5.897156864815137,0.2525707611178419,0.4428271475903601,-0.008076265693510222,1.0
0.15,10,42,7.696252993949204,0.0,0.0,-0.009185174003690726,1.0
0.15,10,123,7.827150494815136,0.034666666666666665,0.18293411078551994,-0.007936406443771752,1.0
0.15,10,777,7.9191809093048295,0.0,0.0,-0.008214600230590815,1.0
0.15,10,17,7.742782711059069,0.0,0.0,-0.008964320779570448,1.0
0.15,10,256,7.601080344776803,0.0,0.0,-0.0077573319191806735,1.0
0.15,10,1337,7.836194174471441,0.0,0.0,-0.008407066626397099,1.0
0.15,10,99,7.720976355089896,0.0,0.0,-0.007748754213276436,1.0
0.15,10,314,7.848234758108013,0.0,0.0,-0.00868728919108116,1.0
0.15,10,2024,7.817024356239386,0.0,0.0,-0.00930206332311745,1.0
0.15,10,888,7.827164859889888,0.02266666666666667,0.14883846575697052,-0.007521213610729376,1.0
0.5,1,42,0.025832798313918725,3.6146251338368,0.729189518413985,0.4329195966080925,0.2892307122716455
0.5,1,123,0.03228147865364581,4.190341069989983,0.6356409074386797,0.3385636257733593,0.3380099343875523
0.5,1,777,0.02171117136520008,4.429155459079051,0.5634852338611597,0.2020209086095729,0.4533631836103018
0.5,1,17,0.017578225300412847,3.990294397091264,0.7207553404086379,0.43581410107000407,0.34240184135657387
0.5,1,256,0.03110623936813337,4.189583313720514,0.5484535188151329,0.23705045073001313,0.4172516516019053
0.5,1,1337,0.031748497854844245,4.02203621522555,0.6555849948129255,0.463799120199965,0.33174279799668793
0.5,1,99,0.021246996627345402,3.8406118005180385,0.7308830568155058,0.38571697655770276,0.3047116819325084
0.5,1,314,0.016299580416424958,4.024933745852196,0.68101706591573,0.3602588404733544,0.3367912770064107
0.5,1,2024,0.01459524874160806,4.577259276221681,0.5283409719774359,0.20192769621773105,0.4477592130736036
0.5,1,888,0.022243158026999155,3.950776487072998,0.6553616986895111,0.31240910582009607,0.36829144099628214
0.5,2,42,0.6247183472393513,4.172846661622715,0.4875914542797186,0.008042044983099548,0.9999914210530187
0.5,2,123,0.6473208736194,4.342832438045957,0.5055836919497835,-0.003386048310928273,0.9999882951764065
0.5,2,777,0.6606809922329718,4.305002997778229,0.5215415033925083,0.03807226698884026,0.9999985505048505
