N,lambda2_bin,lambda2_mean,H_stable_mean,H_stable_std,U4_mean,U4_std,LZ_mean,LZ_std,sync_mean,sync_std,H_cont_mean,count
200,3.75,3.690449607498029,2.84615598084004,0.10745878653546741,0.665968403260004,0.0002721087271713311,0.7915224904348972,0.018054023033452094,0.0007314587871663812,0.010616935168037881,2.8276847143232158,11
200,4.0,3.993022747221773,2.9187453393536216,0.08137383439021319,0.6660463734944732,0.00013099856220113204,0.7974451702522047,0.0126196770721895,-0.0025008431999721656,0.01556544277220248,2.8943324496041236,17
200,4.25,4.263348020131244,2.8351633871113116,0.07595765722417602,0.6659246002634535,0.00022904071812076442,0.7858550157625642,0.014258082994693487,-0.0030993639818557767,0.015684160438339267,2.83528968244801,24
200,4.5,4.51334236180195,2.763258194034957,0.10500273208355987,0.6659198734107332,0.00024892493585481826,0.7793960609437753,0.02234204587349724,-0.0008881285994865013,0.009521483335247154,2.7519801447823906,31
200,4.75,4.772951644646821,2.7156750886736183,0.13691362280361583,0.6658553884247272,0.0002700746681165643,0.7784589008043163,0.017474489614704505,-0.0014703418409060844,0.01311509462193641,2.7411130197974742,7
200,5.0,5.019848790121607,2.7442793511668175,0.0825133203567656,0.6659262367252312,0.00017600347578630983,0.7743023763464567,0.015501199654034436,0.0008085534360559176,0.00968895654262075,2.7283323169939515,17
200,5.25,5.269236243741742,2.683488515501083,0.07582206824123718,0.6658039018901298,0.00017216411697438337,0.7644191101950912,0.01937097227239449,-0.004925265644689964,0.011399870084279153,2.6827154786278755,23
200,5.5,5.498149590888857,2.5802058099289202,0.0913689878474187,0.6657496293982605,0.00024195153191075003,0.7495830590269499,0.026029557336468695,-0.002907001264574278,0.009056833133469546,2.561654534644518,27
200,5.75,5.782180772333631,2.651858140723641,0.05699593076988136,0.6657435615777716,0.00012214646994110885,0.7655304051719836,0.013567626267441549,-0.0029362324574033704,0.008780007705792498,2.626579119399125,8
200,6.0,6.032922869364221,2.590227744983268,0.038782111991030634,0.6656493225167481,0.00021559579757644547,0.7554749085690581,0.019162061014528844,-0.0034514410707303794,0.009413838726550399,2.5819844589514767,9
200,6.25,6.247146666174385,2.528590144639515,0.06646105341425249,0.6656341634048404,0.00018795964361849674,0.7402642893234643,0.022928443418507874,0.0009305982762439702,0.009203320367032815,2.5088941509740375,21
200,6.5,6.479484695676468,2.534572683783691,0.07610433074180672,0.6656874190799406,0.0001509478148601121,0.7405013471251519,0.021276441197544346,-0.0006775766103856031,0.00792350214393244,2.521873455138891,7
200,6.75,6.777045136992979,2.54998269780119,0.0599675228427509,0.6656448162155598,0.00022135882106090362,0.7471448625326444,0.01658876375734025,-0.004850497910417347,0.009760936304142046,2.5153724881007085,9
200,7.0,7.022941684482177,2.497320233318991,0.04565212545236267,0.6655868261063194,0.00019459351588981243,0.729686590086835,0.024128439014654387,0.001249743625122575,0.008138347851774749,2.4958147093728313,22
200,7.25,7.25155436297203,2.4500053354598017,0.05669253933972281,0.6656595675988096,0.00022182557589476773,0.7171383277704043,0.021745553700495072,-0.002088378633931722,0.009623064336474835,2.439029900393138,24
200,7.5,7.454102113005861,2.4605126431891207,0.04383552161291734,0.6656297659693807,0.0002134106201625907,0.7180887703372449,0.02259106336598312,-0.0010567604272403047,0.008870759198478411,2.4218792346157314,10
200,7.75,7.782183826985751,2.4531471723513802,0.024965109911228037,0.6656204125983897,0.0001456917850276514,0.7177024015022557,0.01967987098370989,-0.0032583780464823667,0.008458500824774947,2.455810369168629,10
200,8.0,7.9881804101979625,2.4422095575583396,0.046035960595484295,0.6655885303602179,0.00026301330570312285,0.7188017128303796,0.02555001867667686,-0.000478087327157014,0.01049745706769342,2.443755085758926,21
200,8.25,8.226490101622286,2.423289040643444,0.06485750069473353,0.6654509140174711,0.0004750693392253958,0.6980180238850385,0.018425705838763275,-0.0003519919820224454,0.012522026580624861,2.43264962828969,8
200,8.5,8.48676994745595,2.4382651847205987,0.04180142059488701,0.665714681692278,0.00016953924594771515,0.7039661402561128,0.02180649834002611,0.0003079709534857192,0.00881988189386699,2.4219629805535896,7
200,8.75,8.717957446931182,2.4225736954668213,0.02919226150197264,0.665704133201069,0.00017462841000843372,0.706545470665519,0.013930028198151973,-0.0007179654445279378,0.010039568987919464,2.470545820139873,7
200,9.0,8.983286071345214,2.4088505428534543,0.027284507803978595,0.665774253285928,0.00015210282160029015,0.7033894175445446,0.01765135866814697,0.005181787382696957,0.007953587660754267,2.4651603813498935,3
200,9.5,9.494655760586438,2.3648420243808945,0.053283224125874454,0.6657101824867518,5.765761041371483e-05,0.6965227021919311,0.020574315774011843,-0.002411527027020137,0.003453323066552438,2.4103799931812895,4
400,1.25,1.2917226726124673,3.76424772799747,0.04176906062266217,0.6663884899189263,0.00014956512034353738,0.8287825127904295,0.005033384784785585,0.0027742141727065315,0.018069487755371233,3.736232224265797,40
