readout,condition,t_pulse,seed,dstar,flip_time,acc_final
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,10,1,7737,1
L2_REF_NON_STIM,STNO_FULL,4500,10,1,9001,0
L3_COPIE_UNIQUE,STNO_FULL,4500,10,1,1357,1
L0_PAIRE_JUMELLE,STNO_FULL,4500,11,-1,9001,0
L1_PAIRE_BRUIT_INDEP,STNO_FULL,4500,11,-1,9001,0
L2_REF_NON_STIM,STNO_FULL,4500,11,-1,5212,1
L3_COPIE_UNIQUE,STNO_FULL,4500,11,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,0,-1,2612,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,0,-1,2561,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,0,-1,2719,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,0,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,1,-1,2425,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,1,-1,2741,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,1,-1,9001,0
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,1,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,2,1,2867,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,2,1,3359,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,2,1,3306,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,2,1,1590,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,3,-1,2532,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,3,-1,2828,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,3,-1,3085,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,3,-1,6642,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,4,1,2890,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,4,1,3100,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,4,1,2794,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,4,1,2447,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,5,-1,2330,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,5,-1,2188,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,5,-1,2211,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,5,-1,7591,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,6,-1,2472,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,6,-1,2546,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,6,-1,2793,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,6,-1,7727,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,7,-1,2685,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,7,-1,2711,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,7,-1,3477,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,7,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,8,-1,2478,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,8,-1,2536,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,8,-1,3191,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,8,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,9,-1,2626,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,9,-1,2591,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,9,-1,2884,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,9,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,10,1,2692,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,10,1,2684,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,10,1,2565,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,10,1,2040,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,1500,11,-1,2728,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,1500,11,-1,2877,1
L2_REF_NON_STIM,STNO_FROZEN_U,1500,11,-1,4938,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,1500,11,-1,7756,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,0,-1,4264,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,0,-1,4104,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,0,-1,4209,1
