condition,tau_mat,seed,h_pre,h_post,delta_h,i_eff_max
GST_tau30,30,256,4.17923649063635,3.284391183759702,-0.8948453068766478,1.1881037727732788
GST_tau30,30,1337,3.8432400882527458,3.2918782073514437,-0.5513618809013021,1.2237084095103634
GST_tau30,30,99,4.289183641752688,3.48347779644156,-0.8057058453111279,1.1949554394438555
GST_tau30,30,314,4.185827919884561,3.2665352899036084,-0.9192926299809527,1.185194290251754
GST_tau30,30,2024,4.485042466140571,3.147394571658615,-1.3376478944819556,1.1683066390427843
GST_tau30,30,888,3.9527042652925455,3.362408317656303,-0.5902959476362426,1.172952714891582
GST_tau100,100,42,3.6554990410643216,3.185909416112398,-0.4695896249519236,0.9273996636348307
GST_tau100,100,123,4.417761554951375,3.37557902507091,-1.0421825298804652,0.9288541075696545
GST_tau100,100,777,3.6170442434893664,3.537165160862095,-0.07987908262727128,0.9071909995724737
GST_tau100,100,17,4.367380560268332,3.3170040312689477,-1.0503765289993843,0.9086790735483186
GST_tau100,100,256,4.17923649063635,3.4275177733961235,-0.7517187172402262,0.9193167600703344
GST_tau100,100,1337,3.8432400882527458,3.4433746578915225,-0.39986543036122324,0.9453327362375251
GST_tau100,100,99,4.289183641752688,3.4106642063621657,-0.8785194353905221,0.9261064242692125
GST_tau100,100,314,4.185827919884561,3.3752793978238516,-0.8105485220607096,0.923247083506678
GST_tau100,100,2024,4.485042466140571,3.351967204683931,-1.1330752614566397,0.9092610812345953
GST_tau100,100,888,3.9527042652925455,3.109088810258171,-0.8436154550343744,0.920096847703505
GST_tau300,300,42,3.6554990410643216,3.1657562269670363,-0.48974281409728526,0.4703301705108398
GST_tau300,300,123,4.417761554951375,3.2829316616057316,-1.1348298933456435,0.47188008118316754
GST_tau300,300,777,3.6170442434893664,3.3925769448446044,-0.224467298644762,0.45926800593712086
GST_tau300,300,17,4.367380560268332,3.22790661879642,-1.1394739414719122,0.4604514399290381
GST_tau300,300,256,4.17923649063635,3.3806017013453977,-0.798634789290952,0.46526052790114797
GST_tau300,300,1337,3.8432400882527458,3.527818356416364,-0.3154217318363819,0.47790752898401856
GST_tau300,300,99,4.289183641752688,3.293608863248372,-0.9955747785043156,0.4679014791873761
GST_tau300,300,314,4.185827919884561,3.422195263529867,-0.763632656354694,0.467204927667446
GST_tau300,300,2024,4.485042466140571,3.2747807386429884,-1.2102617274975822,0.4615622609986451
GST_tau300,300,888,3.9527042652925455,3.080404481345427,-0.8722997839471183,0.46586405542218945
