bras,gain_u,sigma_capteur,seed,R_mean,u_mean,u_max,sigma_social_capte
FULL,5.0,0.1,99,0.4155010386667166,0.26333543237238854,0.434805862632514,0.2374518465289857
FULL,5.0,0.1,314,0.30920015199657186,0.2729744909747716,0.4576139916598377,0.25037028060949407
FULL,5.0,0.1,2024,0.4056716005470791,0.2577583382329544,0.4219068423039542,0.23141571256266666
FULL,5.0,0.1,888,0.43127313754665564,0.2500824238230551,0.4107301882714527,0.2247101446018894
FULL,5.0,0.2,42,0.21392031694301106,0.5779590401589452,0.9681533007321442,0.5698128269153724
FULL,5.0,0.2,123,0.08418910902250566,0.5344386852388259,0.9350478494806131,0.49640650888573096
FULL,5.0,0.2,777,0.20973838026871422,0.5635450638263864,0.9676095555312579,0.5534101678097944
FULL,5.0,0.2,17,0.26534374279443057,0.5215669166467083,0.9262416310552952,0.4845236581847671
FULL,5.0,0.2,256,0.1949635766801441,0.5491940978755072,0.9561391976928895,0.5313165711183581
FULL,5.0,0.2,1337,0.194334998479583,0.5495330209828567,0.9555118739087193,0.5274568274560827
FULL,5.0,0.2,99,0.1851966115330202,0.5562263223139338,0.955423437395596,0.5414584315286579
FULL,5.0,0.2,314,0.1864103252730963,0.5744102529774058,0.9795045420332127,0.5858006562033409
FULL,5.0,0.2,2024,0.18192322333542926,0.5510426542092859,0.9586100828093485,0.5392332555003416
FULL,5.0,0.2,888,0.18607905207314746,0.5438393461397689,0.9592770430886297,0.5233526603662338
FULL,5.0,0.4,42,0.09409391757665427,0.8984168998144846,1.0,0.9671106223665471
FULL,5.0,0.4,123,0.07011033743907256,0.8931791159218752,1.0,0.9691532427252627
FULL,5.0,0.4,777,0.05457848512548478,0.8951959943385286,1.0,0.9683047754667496
FULL,5.0,0.4,17,0.06443119489159804,0.8958711472011361,1.0,0.9624235021174038
FULL,5.0,0.4,256,0.0713499910473397,0.8958813431199765,1.0,0.9709888730052069
FULL,5.0,0.4,1337,0.07715481043515626,0.8946988920481326,1.0,0.9662771852805349
FULL,5.0,0.4,99,0.08082577014197384,0.8998218548197415,1.0,0.9901337987976214
FULL,5.0,0.4,314,0.11365418320613734,0.8973941427199283,1.0,0.9732185006437919
FULL,5.0,0.4,2024,0.0573225906162574,0.891153856857877,1.0,0.9433154667477401
FULL,5.0,0.4,888,0.08520492284916673,0.8978903618919444,1.0,0.9950532497152922
FULL,5.0,0.8,42,0.05515536842023871,0.9999797717048857,1.0,1.381055451637134
FULL,5.0,0.8,123,0.06623309996846342,0.9999771521988751,1.0,1.3631721793872265
FULL,5.0,0.8,777,0.07291222488021398,0.9999759308096902,1.0,1.3597925282782959
FULL,5.0,0.8,17,0.06231423601516272,0.9999732433451852,1.0,1.3767396414067619
FULL,5.0,0.8,256,0.07633560136346076,0.9999785590414587,1.0,1.4029053929467545
FULL,5.0,0.8,1337,0.0407910167701211,0.9999818107631827,1.0,1.3763666532532262
FULL,5.0,0.8,99,0.08140228320541246,0.9999752595510804,1.0,1.3745983643163997
FULL,5.0,0.8,314,0.07402466799871345,0.999978186214226,1.0,1.3430704504907112
FULL,5.0,0.8,2024,0.07721531347836778,0.9999690464512208,1.0,1.3381740300020666
FULL,5.0,0.8,888,0.11040027347203048,0.9999696968007776,1.0,1.3782330282160773
