N,m,D,seed,lambda2,H_cont,synchrony,u_mean
100,4,0.15,6,2.1425678020912433,3.497439210369007,-0.004976559361888293,0.9989608132352055
100,4,0.15,7,2.2328095343841152,3.4731822855587935,-0.004926829821020225,0.9987484936276652
100,4,0.15,8,2.211351464540807,3.4387734672581685,-0.00671160516952082,0.9992698528372628
100,4,0.15,9,2.247056118946484,3.337121377628096,-0.0037685236056436014,0.9990201981879899
100,5,0.0,0,3.0353837918975795,4.658023004858627,0.06678149601807117,0.04999999999999999
100,5,0.0,1,2.9219283752176537,4.716264499447463,0.09439392062389998,0.04999999999999999
100,5,0.0,2,3.016142810479173,4.737304740840826,0.060796135890473814,0.04999999999999999
100,5,0.0,3,3.028292229621784,4.805722189481393,0.06420910529278123,0.04999999999999999
100,5,0.0,4,3.0319935765772277,4.8345233776207195,0.060634997435836675,0.04999999999999999
100,5,0.0,5,3.1179781964689814,4.74880125573908,0.10211465012307908,0.04999999999999999
100,5,0.0,6,2.8540406307969888,4.760576231988139,0.11418373341163122,0.04999999999999999
100,5,0.0,7,3.118921617161289,4.803816366785168,0.06554056586034622,0.04999999999999999
100,5,0.0,8,3.303845034730156,4.64888893658463,0.08290128164234074,0.04999999999999999
100,5,0.0,9,3.08842529577306,4.781351500786502,0.057473450489209085,0.04999999999999999
100,5,0.15,0,3.0353837918975795,3.2325959764061705,-0.0027505560008554675,0.9995135230610407
100,5,0.15,1,2.9219283752176537,3.2677452210359235,-0.0008084374205366337,0.9994167161312545
100,5,0.15,2,3.016142810479173,3.363973576420588,-0.005180603528412456,0.9994960404825387
100,5,0.15,3,3.028292229621784,3.2922730034949823,-0.004561752848703837,0.9965098351321693
100,5,0.15,4,3.0319935765772277,3.2223822550068895,-0.006075739280563846,0.9994770107162984
100,5,0.15,5,3.1179781964689814,3.1602624197797784,-0.0051302078720753975,0.9977097254182569
100,5,0.15,6,2.8540406307969888,3.318105034361842,-0.0017572157820595414,0.9995563432860608
100,5,0.15,7,3.118921617161289,3.2387411785627247,-0.0025388119067238043,0.9992796347533057
100,5,0.15,8,3.303845034730156,3.3027560415776134,-0.0029151435261272167,0.9994531623567484
100,5,0.15,9,3.08842529577306,3.1836488205901916,-0.005350434452528347,0.9989887455365158
100,6,0.0,0,3.8675459549079716,4.658023004858627,0.06678149601807117,0.04999999999999999
100,6,0.0,1,3.9849977717273934,4.716264499447463,0.09439392062389998,0.04999999999999999
100,6,0.0,2,3.997571557897789,4.737304740840826,0.060796135890473814,0.04999999999999999
100,6,0.0,3,3.959182285115077,4.805722189481393,0.06420910529278123,0.04999999999999999
100,6,0.0,4,3.8950983012676805,4.8345233776207195,0.060634997435836675,0.04999999999999999
100,6,0.0,5,4.022991712884596,4.74880125573908,0.10211465012307908,0.04999999999999999
100,6,0.0,6,3.919846273910635,4.760576231988139,0.11418373341163122,0.04999999999999999
100,6,0.0,7,4.020706567472328,4.803816366785168,0.06554056586034622,0.04999999999999999
100,6,0.0,8,4.113654886504659,4.64888893658463,0.08290128164234074,0.04999999999999999
100,6,0.0,9,4.043458665850314,4.781351500786502,0.057473450489209085,0.04999999999999999
100,6,0.15,0,3.8675459549079716,3.097285477673442,-0.0029693926607284675,0.9995714367145133
100,6,0.15,1,3.9849977717273934,3.0032266795803855,-0.0038562422111480354,0.9997146278701236
100,6,0.15,2,3.997571557897789,3.052829508743603,-0.006553977066874985,0.9985874705856251
100,6,0.15,3,3.959182285115077,3.0497021239318736,-0.0006958753633877574,0.9998366958229045
100,6,0.15,4,3.8950983012676805,2.950714021565031,0.00398705032613485,0.9996968556214025
100,6,0.15,5,4.022991712884596,2.8996105289217717,-0.00592094557691069,0.9997559468645367
100,6,0.15,6,3.919846273910635,3.0515427123456966,-0.004821063329778443,0.9997971399671906
100,6,0.15,7,4.020706567472328,3.0389297850636994,0.003466655597258686,0.9997135812217727
100,6,0.15,8,4.113654886504659,2.9352979015297334,-0.001373355368518162,0.999700131752704
100,6,0.15,9,4.043458665850314,3.0291215244041227,-0.0014075437214349788,0.9983444450960421
100,7,0.0,0,4.8108444225437195,4.658023004858627,0.06678149601807117,0.04999999999999999
100,7,0.0,1,4.913429025641349,4.716264499447463,0.09439392062389998,0.04999999999999999
100,7,0.0,2,4.855858833881438,4.737304740840826,0.060796135890473814,0.04999999999999999
100,7,0.0,3,5.059870724493233,4.805722189481393,0.06420910529278123,0.04999999999999999
100,7,0.0,4,5.074239081205341,4.8345233776207195,0.060634997435836675,0.04999999999999999
100,7,0.0,5,5.030106936541982,4.74880125573908,0.10211465012307908,0.04999999999999999
100,7,0.0,6,4.81997763347153,4.760576231988139,0.11418373341163122,0.04999999999999999
100,7,0.0,7,5.00933436625247,4.803816366785168,0.06554056586034622,0.04999999999999999
100,7,0.0,8,4.8540420807534055,4.64888893658463,0.08290128164234074,0.04999999999999999
100,7,0.0,9,4.874762649610377,4.781351500786502,0.057473450489209085,0.04999999999999999
100,7,0.15,0,4.8108444225437195,2.865518048499108,-0.003398408993904341,0.9999312211388367
100,7,0.15,1,4.913429025641349,2.964506698069356,0.010250182341757523,0.9998411123600949
100,7,0.15,2,4.855858833881438,2.8421108446275776,-0.005454666356718398,0.9998600658820281
100,7,0.15,3,5.059870724493233,2.8857246393622646,-0.005088597173456622,0.9994457880163924
100,7,0.15,4,5.074239081205341,2.774407691722938,-0.0030601412782014065,0.9998937878062868
100,7,0.15,5,5.030106936541982,2.7371033634690485,-0.0019233092662715417,0.9998962180081848
100,7,0.15,6,4.81997763347153,2.880101253884938,-0.0027167208788734546,0.9990997834636113
100,7,0.15,7,5.00933436625247,2.859290445909174,0.0008670703858957642,0.999872289673028
100,7,0.15,8,4.8540420807534055,3.0034742126683667,-0.004493234606908004,0.999660559999047
100,7,0.15,9,4.874762649610377,2.7767896427973127,-0.0019167277505812244,0.9998327198945873
100,8,0.0,0,5.954929625941183,4.658023004858627,0.06678149601807117,0.04999999999999999
100,8,0.0,1,6.085660394277222,4.716264499447463,0.09439392062389998,0.04999999999999999
100,8,0.0,2,5.83501264974514,4.737304740840826,0.060796135890473814,0.04999999999999999
100,8,0.0,3,5.805024134343893,4.805722189481393,0.06420910529278123,0.04999999999999999
100,8,0.0,4,6.057189193272978,4.8345233776207195,0.060634997435836675,0.04999999999999999
100,8,0.0,5,5.97099005488713,4.74880125573908,0.10211465012307908,0.04999999999999999
100,8,0.0,6,5.615353755549957,4.760576231988139,0.11418373341163122,0.04999999999999999
100,8,0.0,7,6.0178574623705225,4.803816366785168,0.06554056586034622,0.04999999999999999
100,8,0.0,8,5.9234789285939256,4.64888893658463,0.08290128164234074,0.04999999999999999
100,8,0.0,9,5.668758812136272,4.781351500786502,0.057473450489209085,0.04999999999999999
100,8,0.15,0,5.954929625941183,2.7481894326950167,-0.00481285768553831,0.9998843608129456
100,8,0.15,1,6.085660394277222,2.7301914374508733,-0.0013749825884572982,0.9999744858388747
100,8,0.15,2,5.83501264974514,2.6225100469930878,0.0006577230738580775,0.9999665244704914
100,8,0.15,3,5.805024134343893,2.668318417772912,-0.005279327081451801,0.9999724939633893
