n_pivots,m,D,seed,f_v,ac50,lz,winner,dist_drive,dist_intrinsic
4,6,0.0,999,0.016,0.656833994334152,1.298901562812121,INTRINSIC,0.034,0.006
4,6,0.0,314,0.006,0.6336719516857634,1.4644478404254304,INTRINSIC,0.044000000000000004,0.004
4,6,0.15,42,0.008,0.7411684918398941,1.1970269304346999,INTRINSIC,0.042,0.002
4,6,0.15,123,0.011333333333333334,0.5272808088616289,1.4262448532838976,INTRINSIC,0.03866666666666667,0.001333333333333334
4,6,0.15,777,0.006666666666666667,0.6815577455359966,1.2734329047177657,INTRINSIC,0.043333333333333335,0.003333333333333333
4,6,0.15,999,0.008666666666666666,0.6219630489744954,1.5535881437556742,INTRINSIC,0.04133333333333333,0.001333333333333334
4,6,0.15,314,0.0006666666666666666,0.9377208579639387,0.9041373623496136,INTRINSIC,0.04933333333333333,0.009333333333333334
4,6,0.5,42,0.013333333333333334,0.39416649339065724,1.7064000923218061,INTRINSIC,0.03666666666666667,0.003333333333333334
4,6,0.5,123,0.027333333333333334,0.39346220916744934,1.6681971051802733,INTRINSIC,0.02266666666666667,0.017333333333333333
4,6,0.5,777,0.004666666666666667,0.5911751082579054,1.489916498519786,INTRINSIC,0.04533333333333334,0.005333333333333333
4,6,0.5,999,0.019333333333333334,0.4146782285469062,1.6554627761330956,INTRINSIC,0.03066666666666667,0.009333333333333334
4,6,0.5,314,0.013333333333333334,0.5791797209340654,1.591791130897207,INTRINSIC,0.03666666666666667,0.003333333333333334
5,3,0.0,42,0.014,0.7341728722393615,1.3243702209064763,INTRINSIC,0.036000000000000004,0.004
5,3,0.0,123,0.012666666666666666,0.6837269849919486,1.2224955885290552,INTRINSIC,0.037333333333333336,0.002666666666666666
5,3,0.0,777,0.007333333333333333,0.6520619400058812,1.375307537095187,INTRINSIC,0.04266666666666667,0.002666666666666667
5,3,0.0,999,0.018666666666666668,0.6225166223310418,1.375307537095187,INTRINSIC,0.03133333333333334,0.008666666666666668
5,3,0.0,314,0.014,0.6096710625200334,1.489916498519786,INTRINSIC,0.036000000000000004,0.004
5,3,0.15,42,0.016666666666666666,0.32786451291187557,1.7064000923218061,INTRINSIC,0.03333333333333334,0.006666666666666666
5,3,0.15,123,0.023333333333333334,0.33800932822263496,1.642728447085918,INTRINSIC,0.02666666666666667,0.013333333333333334
5,3,0.15,777,0.0033333333333333335,0.6711567779340016,1.4135105242367199,INTRINSIC,0.04666666666666667,0.006666666666666666
5,3,0.15,999,0.017333333333333333,0.439704351253407,1.7318687504161614,INTRINSIC,0.03266666666666667,0.007333333333333332
5,3,0.15,314,0.012,0.5964303124577258,1.6045254599443848,INTRINSIC,0.038000000000000006,0.002
5,3,0.5,42,0.020666666666666667,0.21703599313476962,1.8082747246992272,INTRINSIC,0.029333333333333336,0.010666666666666666
5,3,0.5,123,0.022,0.33687683160953996,1.642728447085918,INTRINSIC,0.028000000000000004,0.011999999999999999
5,3,0.5,777,0.0033333333333333335,0.6208825996649349,1.4135105242367199,INTRINSIC,0.04666666666666667,0.006666666666666666
5,3,0.5,999,0.017333333333333333,0.33719829372969967,1.8592120408879378,INTRINSIC,0.03266666666666667,0.007333333333333332
5,3,0.5,314,0.013333333333333334,0.5509806270257113,1.642728447085918,INTRINSIC,0.03666666666666667,0.003333333333333334
5,6,0.0,42,0.014,0.7366442619422249,1.3625732080480093,INTRINSIC,0.036000000000000004,0.004
5,6,0.0,123,0.012666666666666666,0.6840631801226319,1.2224955885290552,INTRINSIC,0.037333333333333336,0.002666666666666666
5,6,0.0,777,0.007333333333333333,0.6558177094142195,1.3625732080480093,INTRINSIC,0.04266666666666667,0.002666666666666667
5,6,0.0,999,0.02266666666666667,0.6132487701396768,1.3880418661423646,INTRINSIC,0.027333333333333334,0.012666666666666668
5,6,0.0,314,0.014,0.6103797557571283,1.5026508275669637,INTRINSIC,0.036000000000000004,0.004
5,6,0.15,42,0.008,0.4537256051196517,1.5026508275669637,INTRINSIC,0.042,0.002
5,6,0.15,123,0.016666666666666666,0.415436359459787,1.4644478404254304,INTRINSIC,0.03333333333333334,0.006666666666666666
5,6,0.15,777,0.009333333333333334,0.6560529277650129,1.4262448532838976,INTRINSIC,0.04066666666666667,0.0006666666666666661
5,6,0.15,999,0.014666666666666666,0.5572988914799731,1.62999411803874,INTRINSIC,0.035333333333333335,0.004666666666666666
5,6,0.15,314,0.0006666666666666666,0.9381228875178849,0.9041373623496136,INTRINSIC,0.04933333333333333,0.009333333333333334
5,6,0.5,42,0.016,0.3442728033352247,1.7446030794633391,INTRINSIC,0.034,0.006
5,6,0.5,123,0.03,0.328953933357758,1.6681971051802733,INTRINSIC,0.020000000000000004,0.019999999999999997
5,6,0.5,777,0.006666666666666667,0.5779997812337984,1.5790568018500295,INTRINSIC,0.043333333333333335,0.003333333333333333
5,6,0.5,999,0.028,0.2717783842383754,1.8719463699351158,INTRINSIC,0.022000000000000002,0.018000000000000002
5,6,0.5,314,0.013333333333333334,0.5508463969981807,1.5790568018500295,INTRINSIC,0.03666666666666667,0.003333333333333334
6,3,0.0,42,0.014,0.7127735196575733,1.3880418661423646,INTRINSIC,0.036000000000000004,0.004
6,3,0.0,123,0.015333333333333332,0.6709934689225832,1.3243702209064763,INTRINSIC,0.03466666666666667,0.005333333333333332
6,3,0.0,777,0.007333333333333333,0.6342676592073012,1.4135105242367199,INTRINSIC,0.04266666666666667,0.002666666666666667
