topology,n_nonlin,condition,gain_u,seed,R_mean,R_std,p_mean,u_mean,u_max
BA_m3,10.0,FULL,7.0,17,0.22075465052616222,0.0671811983148407,0.037881866005119696,0.19985054961721532,0.35587811431938626
BA_m3,10.0,FULL,7.0,256,0.20466182711640168,0.1283908528167387,0.07632098894400749,0.2847798889565671,0.557867732951034
BA_m3,10.0,FULL,7.0,1337,0.16232376200430407,0.0707739933056575,0.03678137068463208,0.21322347501795375,0.37475269099692526
BA_m3,10.0,FULL,7.0,99,0.16389368033315088,0.09570938862081728,0.05823504478209105,0.26054024892471794,0.48337433202986296
BA_m3,10.0,FULL,7.0,314,0.25618690459964005,0.07160288042047032,0.059671678262690035,0.24563216992845843,0.46589037340052847
BA_m3,10.0,FULL,7.0,2024,0.18169198074300896,0.08028216519400722,0.045391213753178915,0.23532576048782533,0.4228244555221775
BA_m3,10.0,FULL,7.0,888,0.2312009868282903,0.07467129793697241,0.03979463998295766,0.21702885174388722,0.38192193474939395
BA_m3,10.0,FULL,10.0,42,0.11367115643739045,0.05919657078719673,0.19470677791117286,0.4968170904376908,0.9232757971058646
BA_m3,10.0,FULL,10.0,123,0.11542529441711508,0.07179561520078039,0.14866678033550249,0.4360073419642902,0.8863471021046107
BA_m3,10.0,FULL,10.0,777,0.1484624554755591,0.07248580667801882,0.18729836543110095,0.4747125986192363,0.9192764313224108
BA_m3,10.0,FULL,10.0,17,0.12513436894530927,0.06397122626017238,0.13726421458850321,0.4024961942689863,0.8132519267639664
BA_m3,10.0,FULL,10.0,256,0.14485607671391632,0.102124975124435,0.2539185257270145,0.5611515758901753,0.9789469432461116
BA_m3,10.0,FULL,10.0,1337,0.1378468772723035,0.070869949886055,0.1855384152154929,0.47783623498944483,0.9210823638250574
BA_m3,10.0,FULL,10.0,99,0.14970792560908433,0.06751328242272613,0.24178596061008,0.5578011854389976,0.9757608171701255
BA_m3,10.0,FULL,10.0,314,0.15852956126688836,0.10620895670623191,0.21736919754405412,0.5165858282577753,0.9716011344058092
BA_m3,10.0,FULL,10.0,2024,0.12400435526209988,0.06927775185554133,0.20285320612013302,0.4986151122816448,0.9388466849928606
BA_m3,10.0,FULL,10.0,888,0.13391986057783165,0.07387575304857605,0.17880620277393602,0.4727598825097265,0.9288958742359255
LATTICE_10x10,0.0,FROZEN_U,,42,0.4625754748424832,0.09124326718750968,0.09548658382457302,0.05,0.04999999999999999
LATTICE_10x10,0.0,FROZEN_U,,123,0.18138317726298558,0.0514277855584072,0.050921192054394056,0.05,0.04999999999999999
LATTICE_10x10,0.0,FROZEN_U,,777,0.36467221859795346,0.0915309531667228,0.07925136211472274,0.05,0.04999999999999999
LATTICE_10x10,0.0,FROZEN_U,,17,0.46260405224104206,0.1520546819908315,0.08917777707790134,0.05,0.04999999999999999
LATTICE_10x10,0.0,FROZEN_U,,256,0.3575836633571279,0.04433278636101012,0.09418723302027536,0.05,0.04999999999999999
LATTICE_10x10,0.0,FROZEN_U,,1337,0.40887210266397594,0.09551329944391644,0.08468379381165295,0.05,0.04999999999999999
LATTICE_10x10,0.0,FROZEN_U,,99,0.2979373960531127,0.104195411222587,0.07260889291125357,0.05,0.04999999999999999
LATTICE_10x10,0.0,FROZEN_U,,314,0.3227782374719121,0.06885698052221954,0.08561389301653805,0.05,0.04999999999999999
LATTICE_10x10,0.0,FROZEN_U,,2024,0.29089627366862314,0.0922018774083114,0.07597428355148614,0.05,0.04999999999999999
LATTICE_10x10,0.0,FROZEN_U,,888,0.2693112493661032,0.0442011000520052,0.07148743980582532,0.05,0.04999999999999999
LATTICE_10x10,0.0,FULL,1.0,42,0.4568165138479543,0.09501945419149833,0.09516787906617077,0.061058294605962314,0.06833478433203743
LATTICE_10x10,0.0,FULL,1.0,123,0.1818234243528333,0.05064427243721082,0.05119146771789748,0.060502062457389684,0.06705653175171178
LATTICE_10x10,0.0,FULL,1.0,777,0.3605288191807594,0.088979678405005,0.07908478673253992,0.059811141928633745,0.06708296575712269
LATTICE_10x10,0.0,FULL,1.0,17,0.458842007505256,0.15356269867642552,0.08893620603618657,0.060692222950751586,0.06835326682054473
LATTICE_10x10,0.0,FULL,1.0,256,0.35557174252716595,0.04481555300123216,0.0940862490195362,0.06110670684547726,0.06827781078007743
LATTICE_10x10,0.0,FULL,1.0,1337,0.4040615749568291,0.093719532806354,0.08448220088102373,0.06055857486300967,0.06833462233654951
LATTICE_10x10,0.0,FULL,1.0,99,0.2931059098332937,0.10714946853579448,0.07234156572090972,0.06083634747002739,0.06800435138365411
LATTICE_10x10,0.0,FULL,1.0,314,0.3190067631042333,0.06648489334391497,0.08547386123434317,0.06101504727300382,0.0681464012404743
