topo,t_pulse,seed,dstar,c_doubt,c_conv,acc_doubt,acc_conv,acc_final
ER_p06,350,7,-1,384,198,1,0,1
ER_p06,350,8,-1,389,158,1,0,1
ER_p06,350,9,-1,386,162,1,0,1
ER_p06,350,10,1,596,179,0,1,1
ER_p06,350,11,-1,386,222,1,0,1
ER_p06,350,12,-1,384,149,1,0,1
ER_p06,350,13,1,200,134,1,1,1
ER_p06,350,14,-1,383,150,1,0,1
ER_p06,350,15,1,184,185,1,1,0
ER_p06,350,16,1,185,186,0,0,0
ER_p06,350,17,1,184,169,1,1,1
ER_p06,350,18,-1,386,169,1,0,1
ER_p06,350,19,-1,384,189,1,0,1
ER_p06,350,20,-1,395,189,1,0,1
ER_p06,350,21,-1,367,173,1,0,1
ER_p06,350,22,-1,391,170,1,0,1
ER_p06,350,23,-1,391,165,1,0,1
ER_p06,350,24,1,181,177,1,1,1
ER_p06,350,25,1,667,174,0,1,1
ER_p06,350,26,-1,377,179,1,0,1
ER_p06,350,27,-1,380,180,1,0,1
ER_p06,350,28,1,200,193,1,1,1
ER_p06,350,29,1,172,144,1,0,1
ER_p06,700,0,-1,427,157,1,0,1
ER_p06,700,1,-1,482,153,1,0,1
ER_p06,700,2,1,191,198,1,1,1
ER_p06,700,3,-1,548,179,1,0,1
ER_p06,700,4,1,187,81,1,0,1
ER_p06,700,5,-1,577,183,1,0,1
ER_p06,700,6,-1,482,178,1,0,1
ER_p06,700,7,-1,511,198,1,0,1
ER_p06,700,8,-1,544,158,1,0,1
ER_p06,700,9,-1,466,162,1,0,1
ER_p06,700,10,1,548,179,0,1,1
ER_p06,700,11,-1,515,222,1,0,1
ER_p06,700,12,-1,496,149,1,0,1
ER_p06,700,13,1,200,134,1,1,0
ER_p06,700,14,-1,536,150,1,0,1
ER_p06,700,15,1,184,185,1,1,1
ER_p06,700,16,1,185,186,0,0,1
ER_p06,700,17,1,184,169,1,1,1
ER_p06,700,18,-1,506,169,1,0,1
ER_p06,700,19,-1,516,189,1,0,1
ER_p06,700,20,-1,549,189,1,0,1
ER_p06,700,21,-1,387,173,1,0,1
ER_p06,700,22,-1,503,170,1,0,1
ER_p06,700,23,-1,512,165,1,0,1
ER_p06,700,24,1,181,177,1,1,1
ER_p06,700,25,1,701,174,0,1,1
ER_p06,700,26,-1,450,179,1,0,1
ER_p06,700,27,-1,459,180,1,0,1
ER_p06,700,28,1,200,193,1,1,1
ER_p06,700,29,1,172,144,1,0,0
