bras,t_pulse,seed,dstar,flip_time,flip_ok,u_mean,u_filter_mean,reglage_filtre,reglage_u
B1_FULL,3000,2,1,6438,1,0.6449919940124599,-0.2120461269033624,,
B1_FULL,3000,3,-1,5578,1,0.641595698518112,-0.20373895520404559,,
B1_FULL,3000,4,1,8829,1,0.6556509477390873,-0.23284457791171745,,
B1_FULL,3000,5,-1,6170,1,0.6743326748499214,-0.2726527725452012,,
B1_FULL,3000,6,-1,6294,1,0.6449279352494726,-0.21076595697323064,,
B1_FULL,3000,7,-1,8837,1,0.6448925872472948,-0.2123900330104377,,
B1_FULL,3000,8,-1,6667,1,0.649457156475668,-0.21900821276172136,,
B1_FULL,3000,9,-1,6039,1,0.6515676962315391,-0.2245146925972955,,
B1_FULL,3000,10,1,6243,1,0.6680850374801296,-0.2582936998681892,,
B1_FULL,3000,11,-1,8068,1,0.655941621908901,-0.23235201055072188,,
B1_FULL,4500,0,-1,6542,1,0.6180559626386681,-0.1550672095358244,,
B1_FULL,4500,1,-1,8154,1,0.6534862340576535,-0.2284862167053671,,
B1_FULL,4500,2,1,7551,1,0.6387354462648892,-0.19789360331805883,,
B1_FULL,4500,3,-1,6276,1,0.6376039455731833,-0.195644492615725,,
B1_FULL,4500,4,1,8756,1,0.6546678806041359,-0.23057051666510925,,
B1_FULL,4500,5,-1,7219,1,0.6683481830991895,-0.2604177172009737,,
B1_FULL,4500,6,-1,8301,1,0.6410305565920107,-0.20238115326470119,,
B1_FULL,4500,7,-1,9001,0,0.6409667563817752,-0.20273748391838733,,
B1_FULL,4500,8,-1,8584,1,0.6463193779473817,-0.2121624162430865,,
B1_FULL,4500,9,-1,7081,1,0.6468681351243906,-0.21400943862876853,,
B1_FULL,4500,10,1,7898,1,0.6641374133266137,-0.2502044751877981,,
B1_FULL,4500,11,-1,9001,0,0.6510671958663622,-0.22097294442714227,,
B2_FIXE_INIT,500,0,-1,1371,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,500,1,-1,1248,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,500,2,1,1312,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,500,3,-1,1133,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,500,4,1,1582,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,500,5,-1,1113,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,500,6,-1,1204,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,500,7,-1,1348,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,500,8,-1,1203,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,500,9,-1,1282,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,500,10,1,1377,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,500,11,-1,1321,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,0,-1,2612,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,1,-1,2425,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,2,1,2867,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,3,-1,2532,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,4,1,2890,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,5,-1,2330,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,6,-1,2472,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,7,-1,2685,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,8,-1,2478,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,9,-1,2626,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,10,1,2692,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,1500,11,-1,2728,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,0,-1,4264,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,1,-1,4139,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,2,1,4629,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,3,-1,4424,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,4,1,4195,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,5,-1,3763,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,6,-1,4117,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,7,-1,4371,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,8,-1,3987,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,9,-1,4122,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,10,1,4235,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,3000,11,-1,4629,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,0,-1,5850,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,1,-1,5535,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,2,1,6213,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,3,-1,5760,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,4,1,5617,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,5,-1,5375,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,6,-1,5637,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,7,-1,5854,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,8,-1,5396,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,9,-1,5712,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,10,1,5880,1,0.05000000000000756,0.8982807898808416,,
B2_FIXE_INIT,4500,11,-1,5868,1,0.05000000000000756,0.8982807898808416,,
B3a_FIXE_NIVEAU_U,500,0,-1,1007,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,500,1,-1,1025,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,500,2,1,1018,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,500,3,-1,1017,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,500,4,1,1018,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,500,5,-1,1011,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,500,6,-1,1010,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,500,7,-1,1007,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,500,8,-1,1024,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,500,9,-1,1019,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,500,10,1,1013,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,500,11,-1,1020,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,0,-1,2069,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,1,-1,2091,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,2,1,2117,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,3,-1,2056,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,4,1,2105,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,5,-1,2054,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,6,-1,2058,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,7,-1,2087,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,8,-1,2109,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,9,-1,2085,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,10,1,2077,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,1500,11,-1,2134,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,0,-1,3612,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,1,-1,3566,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,2,1,3603,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,3,-1,3595,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,4,1,3589,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,5,-1,3616,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,6,-1,3615,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,7,-1,3612,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,8,-1,3573,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,9,-1,3564,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,10,1,3628,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,3000,11,-1,3627,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,4500,0,-1,5101,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,4500,1,-1,4999,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,4500,2,1,5014,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,4500,3,-1,5149,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,4500,4,1,5031,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,4500,5,-1,5120,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,4500,6,-1,5112,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,4500,7,-1,5074,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,4500,8,-1,5019,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,4500,9,-1,5024,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
