config,topo,m,i_stim,seed,node,degree,lz_full,lz_tail
FULL,ba_m3_functional,3,0.0,2,7,7,0.8503112646845744,1.1627128222258978
FULL,ba_m3_functional,3,0.0,2,8,3,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,9,6,0.9874582428595058,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,10,8,0.9051700559545469,1.3288146539724546
FULL,ba_m3_functional,3,0.0,2,11,10,0.7954524734146019,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,12,9,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,13,5,0.9874582428595058,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,14,5,0.9051700559545469,1.4949164857190111
FULL,ba_m3_functional,3,0.0,2,15,20,0.7954524734146019,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,16,7,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,17,1,0.9874582428595058,1.6610183174655682
FULL,ba_m3_functional,3,0.0,2,18,8,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,19,6,1.1246052210344373,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,20,12,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,21,7,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,22,3,0.8777406603195607,1.5779674015922898
FULL,ba_m3_functional,3,0.0,2,23,7,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,24,6,0.9051700559545469,1.3288146539724546
FULL,ba_m3_functional,3,0.0,2,25,4,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,26,8,0.8503112646845744,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,27,9,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,28,2,1.014887638494492,1.245763738099176
FULL,ba_m3_functional,3,0.0,2,29,4,0.9874582428595058,1.3288146539724546
FULL,ba_m3_functional,3,0.0,2,30,3,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,31,11,0.7954524734146019,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,32,4,1.0697464297644645,1.3288146539724546
FULL,ba_m3_functional,3,0.0,2,33,5,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,34,8,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,35,3,0.9051700559545469,1.5779674015922898
FULL,ba_m3_functional,3,0.0,2,36,2,0.8777406603195607,1.0796619063526194
FULL,ba_m3_functional,3,0.0,2,37,6,0.8503112646845744,1.7440692333388463
FULL,ba_m3_functional,3,0.0,2,38,4,1.0423170341294783,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,39,5,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,40,7,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,41,2,1.0697464297644645,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,42,3,0.8777406603195607,1.5779674015922898
FULL,ba_m3_functional,3,0.0,2,43,2,0.8228818690495882,1.4949164857190111
