budget_lvl,mode,family,label,oracle,c_doubt,c_conv,alloc,correct
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.36),1161,163,130,781.9027777777778,0
0.5,UNIFORME,CONTRADICTION,CONTRA(+5/-4),2000,341,132,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ba),1991,2000,109,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ring),1320,295,166,781.9027777777778,0
0.5,UNIFORME,EVIDENCE,EVID(n=3,E=0.42),2000,170,81,781.9027777777778,0
0.5,UNIFORME,TOPOLOGIE,TOPO(ring),1,171,96,781.9027777777778,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,200,108,108,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.42),2000,157,127,127,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+5/-4),2000,314,129,129,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ring),1573,151,81,81,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=2,E=0.33),2000,179,81,81,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,278,184,184,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.36),1161,163,130,130,1
0.5,CONVERGENCE,CONTRADICTION,CONTRA(+5/-4),2000,341,132,132,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ba),1991,2000,109,109,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ring),1320,295,166,166,1
0.5,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.42),2000,170,81,81,1
0.5,CONVERGENCE,TOPOLOGIE,TOPO(ring),1,171,96,96,1
0.75,DOUTE,EVIDENCE,EVID(n=2,E=0.29),1523,155,125,155,1
0.75,DOUTE,EVIDENCE,EVID(n=3,E=0.32),1465,163,81,163,1
0.75,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,266,81,266,1
0.75,DOUTE,EVIDENCE,EVID(n=3,E=0.49),2000,165,81,165,1
0.75,DOUTE,TOPOLOGIE,TOPO(ba),987,161,81,161,1
0.75,DOUTE,EVIDENCE,EVID(n=1,E=0.28),2000,155,82,155,0
0.75,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,268,132,268,1
0.75,DOUTE,TOPOLOGIE,TOPO(ba),1,2000,81,2000,1
0.75,DOUTE,CONTRADICTION,CONTRA(+3/-2),2000,184,134,184,1
0.75,DOUTE,TOPOLOGIE,TOPO(ba),873,155,90,155,1
0.75,DOUTE,TOPOLOGIE,TOPO(ring),2000,271,97,271,1
0.75,DOUTE,CONTRADICTION,CONTRA(+3/-2),1635,154,81,154,1
0.75,UNIFORME,EVIDENCE,EVID(n=2,E=0.29),1523,155,125,1172.8541666666667,1
0.75,UNIFORME,EVIDENCE,EVID(n=3,E=0.32),1465,163,81,1172.8541666666667,0
0.75,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,266,81,1172.8541666666667,1
0.75,UNIFORME,EVIDENCE,EVID(n=3,E=0.49),2000,165,81,1172.8541666666667,0
