topo,m,dt,n_steps,seed,h_cog,h_cont,sync,v_mean,u_mean
ba_m8_dead_zone,8,0.05,3000,0,0.0,2.555939783021595,0.11890961131754914,-2.148137275853709,1.0
ba_m8_dead_zone,8,0.05,3000,1,0.0,2.4803067570695947,0.08548422795712377,-2.1857989319150137,1.0
ba_m8_dead_zone,8,0.05,3000,2,0.0,2.4491773043621228,0.10462463132124324,-2.175239476931099,0.9999560987450604
ba_m8_dead_zone,8,0.05,3000,3,0.0,2.6123578706592183,0.16611531121351739,-2.140163778886027,0.9999912292012253
ba_m8_dead_zone,8,0.05,3000,4,0.0,2.6465204766560726,0.19973567129007377,-2.1275615666877172,1.0
ba_m8_dead_zone,8,0.1,1500,0,0.0,2.5208369799868424,0.22318747440910772,-2.149495541015088,0.9999454265959415
ba_m8_dead_zone,8,0.1,1500,1,0.0,2.5169440986353964,0.07594987964641561,-2.1841748824437817,1.0
ba_m8_dead_zone,8,0.1,1500,2,0.0,2.389143645190911,0.14226387333507995,-2.1847938358511496,1.0
ba_m8_dead_zone,8,0.1,1500,3,0.0,2.5564398620023807,0.16896275467381344,-2.1388031942727634,0.9999984588133737
ba_m8_dead_zone,8,0.1,1500,4,0.0,2.515424929075417,0.09804781203070921,-2.1648386791106464,0.9998856744509641
