bmode,readmode,chain_seed,round,signed_final
same,fresh,35,2,0.019664
same,fresh,36,2,-0.011707
same,fresh,37,2,-0.005446
same,fresh,38,2,-0.011834
same,fresh,39,2,0.010646
same,fresh,0,3,-0.021391
same,fresh,1,3,0.059140
same,fresh,2,3,0.045247
same,fresh,3,3,-0.004288
same,fresh,4,3,0.009995
same,fresh,5,3,-0.011472
same,fresh,6,3,0.034925
same,fresh,7,3,0.031898
same,fresh,8,3,0.022475
same,fresh,9,3,0.040463
same,fresh,10,3,0.058969
same,fresh,11,3,0.047958
same,fresh,12,3,-0.034481
same,fresh,13,3,-0.010487
same,fresh,14,3,0.022106
same,fresh,15,3,0.001843
same,fresh,16,3,-0.010658
same,fresh,17,3,0.025657
same,fresh,18,3,0.046959
same,fresh,19,3,0.011546
same,fresh,20,3,0.008878
same,fresh,21,3,0.031585
same,fresh,22,3,-0.002098
same,fresh,23,3,-0.030309
same,fresh,24,3,0.013835
same,fresh,25,3,0.010305
same,fresh,26,3,0.009417
same,fresh,27,3,0.012475
same,fresh,28,3,0.042183
same,fresh,29,3,0.014201
same,fresh,30,3,-0.005271
same,fresh,31,3,0.011579
same,fresh,32,3,0.036789
same,fresh,33,3,0.027661
same,fresh,34,3,0.013736
same,fresh,35,3,0.032142
same,fresh,36,3,0.010202
same,fresh,37,3,-0.014113
same,fresh,38,3,-0.002934
same,fresh,39,3,0.014921
same,fresh,0,4,0.007785
same,fresh,1,4,0.001848
same,fresh,2,4,0.040133
same,fresh,3,4,0.002319
same,fresh,4,4,-0.015321
same,fresh,5,4,-0.005747
same,fresh,6,4,0.024403
same,fresh,7,4,0.005798
same,fresh,8,4,0.030052
same,fresh,9,4,-0.003860
same,fresh,10,4,0.015194
same,fresh,11,4,0.034806
same,fresh,12,4,0.025234
same,fresh,13,4,0.030883
same,fresh,14,4,-0.001728
same,fresh,15,4,-0.009752
same,fresh,16,4,0.031913
same,fresh,17,4,0.022153
same,fresh,18,4,-0.013033
same,fresh,19,4,0.062767
same,fresh,20,4,0.010152
same,fresh,21,4,0.029235
same,fresh,22,4,-0.021290
same,fresh,23,4,0.022967
same,fresh,24,4,0.005578
same,fresh,25,4,0.009525
same,fresh,26,4,0.002273
same,fresh,27,4,-0.004857
same,fresh,28,4,0.006282
same,fresh,29,4,0.014778
same,fresh,30,4,0.015324
same,fresh,31,4,0.021194
same,fresh,32,4,0.003568
same,fresh,33,4,0.027023
same,fresh,34,4,-0.004615
same,fresh,35,4,0.009782
same,fresh,36,4,0.020507
same,fresh,37,4,0.015612
same,fresh,38,4,0.016391
same,fresh,39,4,0.019912
same,persistent,0,1,0.001747
same,persistent,1,1,0.012148
same,persistent,2,1,0.006762
same,persistent,3,1,-0.005660
same,persistent,4,1,0.025559
same,persistent,5,1,0.014660
same,persistent,6,1,0.027444
same,persistent,7,1,-0.022901
same,persistent,8,1,0.038099
same,persistent,9,1,-0.002735
same,persistent,10,1,0.027738
same,persistent,11,1,0.021816
same,persistent,12,1,0.021675
same,persistent,13,1,0.008857
same,persistent,14,1,0.007654
same,persistent,15,1,0.019542
same,persistent,16,1,0.004158
same,persistent,17,1,0.020327
same,persistent,18,1,0.039389
same,persistent,19,1,-0.010203
same,persistent,20,1,-0.000065
same,persistent,21,1,-0.003940
same,persistent,22,1,0.002546
same,persistent,23,1,0.019347
same,persistent,24,1,0.047303
same,persistent,25,1,0.046595
same,persistent,26,1,0.022905
same,persistent,27,1,0.046864
same,persistent,28,1,0.019615
same,persistent,29,1,0.020910
same,persistent,30,1,0.008573
same,persistent,31,1,-0.003172
same,persistent,32,1,0.026446
same,persistent,33,1,0.016629
same,persistent,34,1,0.004082
same,persistent,35,1,0.035108
same,persistent,36,1,0.036827
same,persistent,37,1,0.046586
same,persistent,38,1,0.021547
same,persistent,39,1,-0.010341
same,persistent,0,2,0.009987
same,persistent,1,2,0.033949
same,persistent,2,2,0.041164
same,persistent,3,2,0.007981
same,persistent,4,2,0.083395
same,persistent,5,2,0.049782
same,persistent,6,2,0.069089
same,persistent,7,2,-0.029682
same,persistent,8,2,0.104913
same,persistent,9,2,0.003819
same,persistent,10,2,0.072934
same,persistent,11,2,0.063780
same,persistent,12,2,0.058776
same,persistent,13,2,0.032763
same,persistent,14,2,0.027537
same,persistent,15,2,0.066962
same,persistent,16,2,0.029152
same,persistent,17,2,0.062757
same,persistent,18,2,0.117694
same,persistent,19,2,-0.004399
same,persistent,20,2,0.008830
same,persistent,21,2,0.021629
same,persistent,22,2,0.031756
same,persistent,23,2,0.056320
same,persistent,24,2,0.112307
same,persistent,25,2,0.102592
same,persistent,26,2,0.064770
same,persistent,27,2,0.106561
same,persistent,28,2,0.063157
same,persistent,29,2,0.048211
same,persistent,30,2,0.030262
same,persistent,31,2,0.003030
same,persistent,32,2,0.067729
same,persistent,33,2,0.048130
same,persistent,34,2,0.026516
same,persistent,35,2,0.096404
same,persistent,36,2,0.101530
same,persistent,37,2,0.114696
same,persistent,38,2,0.054500
same,persistent,39,2,-0.008970
same,persistent,0,3,0.018730
same,persistent,1,3,0.055789
same,persistent,2,3,0.086513
same,persistent,3,3,0.031728
same,persistent,4,3,0.147874
same,persistent,5,3,0.087490
same,persistent,6,3,0.113876
same,persistent,7,3,-0.019334
same,persistent,8,3,0.176488
same,persistent,9,3,0.018772
same,persistent,10,3,0.118633
same,persistent,11,3,0.106202
same,persistent,12,3,0.095707
same,persistent,13,3,0.056930
same,persistent,14,3,0.046282
same,persistent,15,3,0.126600
same,persistent,16,3,0.063313
same,persistent,17,3,0.115635
same,persistent,18,3,0.202300
same,persistent,19,3,0.023291
same,persistent,20,3,0.014648
same,persistent,21,3,0.055799
same,persistent,22,3,0.080303
same,persistent,23,3,0.101172
same,persistent,24,3,0.178014
same,persistent,25,3,0.140683
same,persistent,26,3,0.105196
same,persistent,27,3,0.153061
same,persistent,28,3,0.114793
same,persistent,29,3,0.080633
same,persistent,30,3,0.050790
same,persistent,31,3,0.010634
same,persistent,32,3,0.108649
same,persistent,33,3,0.090227
same,persistent,34,3,0.064630
same,persistent,35,3,0.152289
same,persistent,36,3,0.172041
same,persistent,37,3,0.173768
same,persistent,38,3,0.085378
same,persistent,39,3,0.009445
same,persistent,0,4,0.028321
same,persistent,1,4,0.069926
same,persistent,2,4,0.128326
same,persistent,3,4,0.064068
same,persistent,4,4,0.210971
same,persistent,5,4,0.123403
same,persistent,6,4,0.162585
same,persistent,7,4,-0.001534
same,persistent,8,4,0.245440
same,persistent,9,4,0.044717
same,persistent,10,4,0.160203
same,persistent,11,4,0.147502
same,persistent,12,4,0.128774
same,persistent,13,4,0.084393
same,persistent,14,4,0.061785
same,persistent,15,4,0.191302
same,persistent,16,4,0.092293
same,persistent,17,4,0.170749
same,persistent,18,4,0.277391
same,persistent,19,4,0.064540
same,persistent,20,4,0.024481
same,persistent,21,4,0.084315
same,persistent,22,4,0.131592
same,persistent,23,4,0.138024
same,persistent,24,4,0.235383
same,persistent,25,4,0.166619
same,persistent,26,4,0.140506
same,persistent,27,4,0.190933
same,persistent,28,4,0.169739
same,persistent,29,4,0.115910
same,persistent,30,4,0.068503
same,persistent,31,4,0.020869
same,persistent,32,4,0.142678
same,persistent,33,4,0.128411
same,persistent,34,4,0.105510
same,persistent,35,4,0.194856
same,persistent,36,4,0.239390
same,persistent,37,4,0.221024
same,persistent,38,4,0.116722
same,persistent,39,4,0.035449
flip,fresh,0,1,0.001747
flip,fresh,1,1,0.012148
flip,fresh,2,1,0.006762
flip,fresh,3,1,-0.005660
flip,fresh,4,1,0.025559
flip,fresh,5,1,0.014660
flip,fresh,6,1,0.027444
flip,fresh,7,1,-0.022901
flip,fresh,8,1,0.038099
flip,fresh,9,1,-0.002735
flip,fresh,10,1,0.027738
flip,fresh,11,1,0.021816
flip,fresh,12,1,0.021675
flip,fresh,13,1,0.008857
flip,fresh,14,1,0.007654
flip,fresh,15,1,0.019542
flip,fresh,16,1,0.004158
flip,fresh,17,1,0.020327
flip,fresh,18,1,0.039389
flip,fresh,19,1,-0.010203
flip,fresh,20,1,-0.000065
flip,fresh,21,1,-0.003940
flip,fresh,22,1,0.002546
flip,fresh,23,1,0.019347
flip,fresh,24,1,0.047303
flip,fresh,25,1,0.046595
flip,fresh,26,1,0.022905
flip,fresh,27,1,0.046864
flip,fresh,28,1,0.019615
flip,fresh,29,1,0.020910
flip,fresh,30,1,0.008573
flip,fresh,31,1,-0.003172
flip,fresh,32,1,0.026446
flip,fresh,33,1,0.016629
flip,fresh,34,1,0.004082
flip,fresh,35,1,0.035108
flip,fresh,36,1,0.036827
flip,fresh,37,1,0.046586
flip,fresh,38,1,0.021547
flip,fresh,39,1,-0.010341
flip,fresh,0,2,0.021461
flip,fresh,1,2,-0.021429
flip,fresh,2,2,0.030841
flip,fresh,3,2,0.033011
flip,fresh,4,2,0.014247
flip,fresh,5,2,0.008727
flip,fresh,6,2,0.032712
flip,fresh,7,2,0.007719
flip,fresh,8,2,0.016494
flip,fresh,9,2,0.021175
flip,fresh,10,2,0.021366
flip,fresh,11,2,-0.011833
flip,fresh,12,2,0.011227
flip,fresh,13,2,0.023653
flip,fresh,14,2,-0.023220
flip,fresh,15,2,0.034611
flip,fresh,16,2,0.003873
flip,fresh,17,2,0.019171
flip,fresh,18,2,0.011772
flip,fresh,19,2,0.001875
flip,fresh,20,2,0.028018
flip,fresh,21,2,-0.018439
flip,fresh,22,2,-0.016036
flip,fresh,23,2,-0.006961
flip,fresh,24,2,-0.005210
flip,fresh,25,2,0.013901
flip,fresh,26,2,0.001352
flip,fresh,27,2,0.017734
flip,fresh,28,2,-0.002192
flip,fresh,29,2,0.008450
flip,fresh,30,2,0.013076
flip,fresh,31,2,0.026977
flip,fresh,32,2,-0.005898
flip,fresh,33,2,0.030382
flip,fresh,34,2,0.011855
flip,fresh,35,2,0.008083
flip,fresh,36,2,0.034419
flip,fresh,37,2,0.037302
flip,fresh,38,2,0.038454
flip,fresh,39,2,0.017986
flip,fresh,0,3,-0.021391
flip,fresh,1,3,0.059140
flip,fresh,2,3,0.045247
flip,fresh,3,3,-0.004288
flip,fresh,4,3,0.009995
flip,fresh,5,3,-0.011472
flip,fresh,6,3,0.034925
flip,fresh,7,3,0.031898
flip,fresh,8,3,0.022475
flip,fresh,9,3,0.040463
flip,fresh,10,3,0.058969
flip,fresh,11,3,0.047958
flip,fresh,12,3,-0.034481
flip,fresh,13,3,-0.010487
flip,fresh,14,3,0.022106
flip,fresh,15,3,0.001843
flip,fresh,16,3,-0.010658
flip,fresh,17,3,0.025657
flip,fresh,18,3,0.046959
flip,fresh,19,3,0.011546
flip,fresh,20,3,0.008878
flip,fresh,21,3,0.031585
flip,fresh,22,3,-0.002098
flip,fresh,23,3,-0.030309
flip,fresh,24,3,0.013835
flip,fresh,25,3,0.010305
flip,fresh,26,3,0.009417
flip,fresh,27,3,0.012475
flip,fresh,28,3,0.042183
flip,fresh,29,3,0.014201
flip,fresh,30,3,-0.005271
flip,fresh,31,3,0.011579
flip,fresh,32,3,0.036789
flip,fresh,33,3,0.027661
flip,fresh,34,3,0.013736
flip,fresh,35,3,0.032142
flip,fresh,36,3,0.010202
flip,fresh,37,3,-0.014113
flip,fresh,38,3,-0.002934
flip,fresh,39,3,0.014921
flip,fresh,0,4,0.015894
flip,fresh,1,4,0.023620
flip,fresh,2,4,-0.016200
flip,fresh,3,4,0.024831
flip,fresh,4,4,0.041776
flip,fresh,5,4,0.034297
flip,fresh,6,4,-0.001011
flip,fresh,7,4,0.018105
flip,fresh,8,4,-0.002972
flip,fresh,9,4,0.030376
flip,fresh,10,4,0.008599
flip,fresh,11,4,-0.010908
flip,fresh,12,4,0.000084
flip,fresh,13,4,-0.006150
flip,fresh,14,4,0.025788
flip,fresh,15,4,0.034550
flip,fresh,16,4,-0.007878
flip,fresh,17,4,0.003323
flip,fresh,18,4,0.035981
flip,fresh,19,4,-0.035542
flip,fresh,20,4,0.019384
flip,fresh,21,4,-0.006355
flip,fresh,22,4,0.044201
flip,fresh,23,4,0.005106
flip,fresh,24,4,0.017750
flip,fresh,25,4,0.016273
flip,fresh,26,4,0.026219
flip,fresh,27,4,0.032008
flip,fresh,28,4,0.020549
flip,fresh,29,4,0.005368
flip,fresh,30,4,0.010453
flip,fresh,31,4,0.006104
flip,fresh,32,4,0.022381
flip,fresh,33,4,-0.001308
flip,fresh,34,4,0.030021
flip,fresh,35,4,0.020658
flip,fresh,36,4,0.006039
flip,fresh,37,4,0.015741
flip,fresh,38,4,0.007807
flip,fresh,39,4,0.009394
flip,persistent,0,1,0.001747
flip,persistent,1,1,0.012148
flip,persistent,2,1,0.006762
flip,persistent,3,1,-0.005660
flip,persistent,4,1,0.025559
flip,persistent,5,1,0.014660
flip,persistent,6,1,0.027444
flip,persistent,7,1,-0.022901
flip,persistent,8,1,0.038099
flip,persistent,9,1,-0.002735
flip,persistent,10,1,0.027738
flip,persistent,11,1,0.021816
flip,persistent,12,1,0.021675
flip,persistent,13,1,0.008857
flip,persistent,14,1,0.007654
flip,persistent,15,1,0.019542
flip,persistent,16,1,0.004158
flip,persistent,17,1,0.020327
flip,persistent,18,1,0.039389
flip,persistent,19,1,-0.010203
flip,persistent,20,1,-0.000065
flip,persistent,21,1,-0.003940
flip,persistent,22,1,0.002546
flip,persistent,23,1,0.019347
flip,persistent,24,1,0.047303
flip,persistent,25,1,0.046595
flip,persistent,26,1,0.022905
flip,persistent,27,1,0.046864
flip,persistent,28,1,0.019615
flip,persistent,29,1,0.020910
flip,persistent,30,1,0.008573
flip,persistent,31,1,-0.003172
flip,persistent,32,1,0.026446
flip,persistent,33,1,0.016629
flip,persistent,34,1,0.004082
flip,persistent,35,1,0.035108
flip,persistent,36,1,0.036827
flip,persistent,37,1,0.046586
flip,persistent,38,1,0.021547
flip,persistent,39,1,-0.010341
flip,persistent,0,2,0.006245
flip,persistent,1,2,-0.017588
flip,persistent,2,2,-0.022109
flip,persistent,3,2,0.013488
flip,persistent,4,2,-0.061135
flip,persistent,5,2,-0.028981
flip,persistent,6,2,-0.054689
flip,persistent,7,2,0.049493
flip,persistent,8,2,-0.081801
flip,persistent,9,2,0.015107
flip,persistent,10,2,-0.052044
flip,persistent,11,2,-0.044108
flip,persistent,12,2,-0.042263
flip,persistent,13,2,-0.016167
flip,persistent,14,2,-0.009785
flip,persistent,15,2,-0.046026
flip,persistent,16,2,-0.012931
flip,persistent,17,2,-0.045925
flip,persistent,18,2,-0.096421
flip,persistent,19,2,0.020477
flip,persistent,20,2,0.008267
flip,persistent,21,2,-0.005137
flip,persistent,22,2,-0.011479
flip,persistent,23,2,-0.035793
flip,persistent,24,2,-0.090786
flip,persistent,25,2,-0.089021
flip,persistent,26,2,-0.044153
flip,persistent,27,2,-0.090449
flip,persistent,28,2,-0.040847
flip,persistent,29,2,-0.033610
flip,persistent,30,2,-0.012522
flip,persistent,31,2,0.015838
flip,persistent,32,2,-0.054620
flip,persistent,33,2,-0.029882
flip,persistent,34,2,-0.008458
flip,persistent,35,2,-0.077620
flip,persistent,36,2,-0.079522
flip,persistent,37,2,-0.096031
flip,persistent,38,2,-0.038027
flip,persistent,39,2,0.029046
flip,persistent,0,3,-0.016456
flip,persistent,1,3,0.024590
flip,persistent,2,3,0.042152
flip,persistent,3,3,-0.022422
flip,persistent,4,3,0.090188
flip,persistent,5,3,0.040695
flip,persistent,6,3,0.083539
flip,persistent,7,3,-0.073026
flip,persistent,8,3,0.111588
flip,persistent,9,3,-0.027306
flip,persistent,10,3,0.067934
flip,persistent,11,3,0.062034
flip,persistent,12,3,0.061989
flip,persistent,13,3,0.022835
flip,persistent,14,3,0.012408
flip,persistent,15,3,0.071825
flip,persistent,16,3,0.026618
flip,persistent,17,3,0.073520
flip,persistent,18,3,0.147121
flip,persistent,19,3,-0.010044
flip,persistent,20,3,-0.019688
flip,persistent,21,3,0.025104
flip,persistent,22,3,0.028533
flip,persistent,23,3,0.054606
flip,persistent,24,3,0.119260
flip,persistent,25,3,0.118915
flip,persistent,26,3,0.054289
flip,persistent,27,3,0.124512
flip,persistent,28,3,0.054150
flip,persistent,29,3,0.045970
flip,persistent,30,3,0.015882
flip,persistent,31,3,-0.031635
flip,persistent,32,3,0.082829
flip,persistent,33,3,0.055849
flip,persistent,34,3,0.013051
flip,persistent,35,3,0.117818
flip,persistent,36,3,0.112371
flip,persistent,37,3,0.134550
flip,persistent,38,3,0.049240
flip,persistent,39,3,-0.032966
flip,persistent,0,4,0.027164
flip,persistent,1,4,-0.024977
flip,persistent,2,4,-0.050549
flip,persistent,3,4,0.039821
flip,persistent,4,4,-0.108930
flip,persistent,5,4,-0.047490
flip,persistent,6,4,-0.108279
flip,persistent,7,4,0.091950
flip,persistent,8,4,-0.125799
flip,persistent,9,4,0.044006
flip,persistent,10,4,-0.069462
flip,persistent,11,4,-0.077634
flip,persistent,12,4,-0.071944
flip,persistent,13,4,-0.025724
flip,persistent,14,4,-0.005218
flip,persistent,15,4,-0.088638
flip,persistent,16,4,-0.035782
flip,persistent,17,4,-0.088127
flip,persistent,18,4,-0.184152
flip,persistent,19,4,-0.005864
flip,persistent,20,4,0.037956
flip,persistent,21,4,-0.034853
flip,persistent,22,4,-0.034690
flip,persistent,23,4,-0.066716
flip,persistent,24,4,-0.130404
flip,persistent,25,4,-0.127915
flip,persistent,26,4,-0.051912
flip,persistent,27,4,-0.146345
flip,persistent,28,4,-0.054306
flip,persistent,29,4,-0.051673
flip,persistent,30,4,-0.005744
flip,persistent,31,4,0.060668
flip,persistent,32,4,-0.102117
flip,persistent,33,4,-0.075659
flip,persistent,34,4,-0.002622
flip,persistent,35,4,-0.141845
flip,persistent,36,4,-0.131789
flip,persistent,37,4,-0.150801
flip,persistent,38,4,-0.049741
flip,persistent,39,4,0.037913
