m,rule,graph_seed,dyn_seed,cpu_time_s,cpu_energy_J,stno_time_s,stno_energy_J,gst_time_s,gst_energy_J,nbo2_time_s,nbo2_energy_J,h_cont,h_cog,sync
5,RANDOM,2,777,1.018369999997958,66.19404999986727,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.433754894702417,0.0,0.016352767633707462
5,RANDOM,3,42,1.0017251999961445,65.1121379997494,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.441495730314946,0.0,0.01606530356515155
5,RANDOM,3,123,1.0375229999990552,67.43899499993859,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.352701508072723,0.0,0.002343141745667213
5,RANDOM,3,777,1.029169900000852,66.89604350005538,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.4582504463556645,0.0,0.008171856196129371
5,HUBS_LISTEN,1,42,0.9084822000004351,59.05134300002828,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.80915028020443,0.11005097234617939,0.019870732721494404
5,HUBS_LISTEN,1,123,0.896533899998758,58.27470349991927,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.7856614786623544,0.10704878886628119,0.06997525391237817
5,HUBS_LISTEN,1,777,0.8830605999974068,57.398938999831444,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.775356761144333,0.12129606055020506,0.0933872947100306
5,HUBS_LISTEN,2,42,0.8985402999969665,58.40511949980282,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.7222858294616903,0.07968662218720451,0.04808785297068575
5,HUBS_LISTEN,2,123,0.9395646000048146,61.07169900031295,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.7370856319854067,0.09252997859913269,0.06923611307300744
5,HUBS_LISTEN,2,777,0.9154137000004994,59.50189050003246,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.8371414334565412,0.15716568318778493,0.08501461065618048
5,HUBS_LISTEN,3,42,0.8979197000007844,58.36478050005098,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.7339180667646246,0.08876645702615368,0.08020854739450939
5,HUBS_LISTEN,3,123,0.9333536999984062,60.667990499896405,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.7621734713929254,0.08070169045738668,0.06450518300440419
5,HUBS_LISTEN,3,777,0.9173704999993788,59.62908249995962,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.808904087610323,0.10939179527750617,0.07503187160116016
5,HUBS_BROADCAST,1,42,1.0209180999954697,66.35967649970553,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.3033743997028013,0.0,0.01630127125844449
5,HUBS_BROADCAST,1,123,1.014241700002458,65.92571050015977,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.361980192625117,0.0,0.009417597852336613
5,HUBS_BROADCAST,1,777,1.0169688999958453,66.10297849972994,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.406388492610782,0.0,0.008143790481774221
5,HUBS_BROADCAST,2,42,1.009663199998613,65.62810799990984,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.5218060954678636,0.0,-0.002733811918217402
5,HUBS_BROADCAST,2,123,1.0193413000015425,66.25718450010027,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.2833211699963742,0.0,0.01661434904365598
5,HUBS_BROADCAST,2,777,1.00161580000713,65.10502700046345,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.380623794997423,0.0,0.008906095340698516
5,HUBS_BROADCAST,3,42,1.0013967999984743,65.09079199990083,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.3833269900903575,0.0,-0.005112507060010287
5,HUBS_BROADCAST,3,123,0.9994643000027281,64.96517950017733,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.3947330071862756,0.0,0.01833719556278993
5,HUBS_BROADCAST,3,777,1.0496031000002404,68.22420150001562,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.538228096966931,0.0,0.001612326878627981
