n_pivots,pct_pivots,m,D,n_seeds,f_drive_wins,f_drive_frac,f_v_mean,f_v_std,ac50_mean,lz_mean,winner_majority
8,8,6,0.15,5,0,0.0,0.010133333333333334,0.004604345773288536,0.6884354455845186,1.3472920131913964,INTRINSIC
8,8,6,0.5,5,2,0.4,0.027600000000000003,0.01153352600995126,0.19964139245899157,1.8031809930803562,INTRINSIC
9,9,3,0.0,5,0,0.0,0.017333333333333333,0.0061824123303304696,0.5592854363261874,1.5510412779462386,INTRINSIC
9,9,3,0.15,5,2,0.4,0.024666666666666663,0.012229290885229427,0.22960559651294074,1.8133684563180985,INTRINSIC
9,9,3,0.5,5,3,0.6,0.029466666666666662,0.014058607485965472,0.12481999457153119,1.8490245776501957,F_DRIVE
9,9,6,0.0,5,0,0.0,0.018133333333333335,0.005505552752550022,0.5480543799603825,1.5434006805179323,INTRINSIC
9,9,6,0.15,5,1,0.2,0.01573333333333333,0.009939818911831341,0.5179178005286873,1.561228741183981,INTRINSIC
9,9,6,0.5,5,2,0.4,0.028666666666666667,0.011803954139750517,0.1308675948894574,1.8566651750785024,INTRINSIC
10,10,3,0.0,5,0,0.0,0.018666666666666665,0.006036923425424946,0.5253703381721985,1.6019785941349494,INTRINSIC
10,10,3,0.15,5,2,0.4,0.02733333333333333,0.012884098726725125,0.16844078920022526,1.8515714434596315,INTRINSIC
10,10,3,0.5,5,3,0.6,0.03266666666666667,0.015684387141358124,0.050139113682066624,1.8770401015539864,F_DRIVE
10,10,6,0.0,5,0,0.0,0.019200000000000002,0.006538773245460921,0.5131928612470414,1.576509936040594,INTRINSIC
10,10,6,0.15,5,2,0.4,0.018,0.013523641850067193,0.4587273894950915,1.5994317283255137,INTRINSIC
10,10,6,0.5,5,3,0.6,0.03293333333333333,0.012441864811996632,0.02990121564513627,1.9025087596483417,F_DRIVE
