readout,condition,t_pulse,seed,dstar,flip_time,acc_final
L4_ETAT_INDEP,STNO_FULL,4500,3,-1,7609,1
L5_OMEGA_INDEP,STNO_FULL,4500,3,-1,5316,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,3,-1,5186,1
L0_JUMELLE,STNO_FULL,4500,4,1,8756,1
L1_BRUIT_INDEP,STNO_FULL,4500,4,1,6983,1
L4_ETAT_INDEP,STNO_FULL,4500,4,1,7876,1
L5_OMEGA_INDEP,STNO_FULL,4500,4,1,6289,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,4,1,6254,1
L0_JUMELLE,STNO_FULL,4500,5,-1,7219,1
L1_BRUIT_INDEP,STNO_FULL,4500,5,-1,7601,1
L4_ETAT_INDEP,STNO_FULL,4500,5,-1,7636,1
L5_OMEGA_INDEP,STNO_FULL,4500,5,-1,7483,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,5,-1,7412,1
L0_JUMELLE,STNO_FULL,4500,6,-1,8301,1
L1_BRUIT_INDEP,STNO_FULL,4500,6,-1,7971,1
L4_ETAT_INDEP,STNO_FULL,4500,6,-1,8418,1
L5_OMEGA_INDEP,STNO_FULL,4500,6,-1,8318,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,6,-1,8148,1
L0_JUMELLE,STNO_FULL,4500,7,-1,9001,0
L1_BRUIT_INDEP,STNO_FULL,4500,7,-1,9001,0
L4_ETAT_INDEP,STNO_FULL,4500,7,-1,8894,1
L5_OMEGA_INDEP,STNO_FULL,4500,7,-1,6608,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,7,-1,6354,1
L0_JUMELLE,STNO_FULL,4500,8,-1,8584,1
L1_BRUIT_INDEP,STNO_FULL,4500,8,-1,8682,1
L4_ETAT_INDEP,STNO_FULL,4500,8,-1,9001,0
L5_OMEGA_INDEP,STNO_FULL,4500,8,-1,9001,0
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,8,-1,6889,1
L0_JUMELLE,STNO_FULL,4500,9,-1,7081,1
L1_BRUIT_INDEP,STNO_FULL,4500,9,-1,6241,1
L4_ETAT_INDEP,STNO_FULL,4500,9,-1,7360,1
L5_OMEGA_INDEP,STNO_FULL,4500,9,-1,7612,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,9,-1,7547,1
L0_JUMELLE,STNO_FULL,4500,10,1,7898,1
L1_BRUIT_INDEP,STNO_FULL,4500,10,1,7737,1
L4_ETAT_INDEP,STNO_FULL,4500,10,1,8007,1
L5_OMEGA_INDEP,STNO_FULL,4500,10,1,6857,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,10,1,6710,1
