t_pulse,seed,dstar,t_consensus,correct_B400,conf_u_naif_B400,conf_u_inv_B400,conf_sig_B400,conf_tcons_B400,conf_stab_B400,correct_B800,conf_u_naif_B800,conf_u_inv_B800,conf_sig_B800,conf_tcons_B800,conf_stab_B800,correct_B1600,conf_u_naif_B1600,conf_u_inv_B1600,conf_sig_B1600,conf_tcons_B1600,conf_stab_B1600
0,12,-1,165,1,0.568924184420798,0.4310758155792021,0.7246214672774962,0.4125,1.0,1,0.3782585781156357,0.6217414218843643,0.6941299304270134,0.20625,1.0,0,0.1943630847362542,0.8056369152637458,0.8396841040129549,0.103125,0.505
0,13,1,245,1,0.41036812907096054,0.5896318709290395,0.6220116776832809,0.6125,1.0,0,0.23840120822796107,0.7615987917720389,0.768689444459536,0.30625,0.7375,1,0.1701105166101411,0.8298894833898589,0.8179432096627,0.153125,1.0
0,14,-1,168,1,0.6035487109618975,0.3964512890381024,0.7507717914599454,0.42,1.0,1,0.4386798088646233,0.5613201911353767,0.7264314189687278,0.21,1.0,0,0.21879118296288813,0.7812088170371119,0.8353530059963701,0.105,0.25
0,15,1,202,1,0.44468677548012014,0.5553132245198799,0.6298082399332922,0.505,1.0,0,0.2548870805962461,0.7451129194037539,0.7877881067361443,0.2525,0.66,1,0.17043587915502034,0.8295641208449797,0.8516286894769464,0.12625,0.71
0,16,1,199,1,0.4893882085107124,0.5106117914892876,0.35403169232313836,0.4975,1.0,0,0.27723222554469085,0.7227677744553092,0.7564666027710456,0.24875,0.56,1,0.1686369980341348,0.8313630019658652,0.8292617337163685,0.124375,0.7375
0,17,1,202,1,0.44658602208088727,0.5534139779191127,0.5856764354444498,0.505,1.0,0,0.2764577990926931,0.7235422009073069,0.7507870838145313,0.2525,0.68,1,0.17422482957637808,0.8257751704236219,0.8457723148765609,0.12625,0.7575
0,18,-1,148,1,0.6731294728024301,0.3268705271975699,0.7907198779424226,0.37,1.0,0,0.5433607587258147,0.45663924127418537,0.7167782186496621,0.185,0.62,0,0.23399505616735183,0.7660049438326482,0.7464834521942001,0.0925,1.0
0,19,-1,171,1,0.5519259201612808,0.44807407983871916,0.7677899590040379,0.4275,1.0,1,0.37277033115205094,0.6272296688479491,0.6933668197586524,0.21375,1.0,0,0.22030597248349537,0.7796940275165046,0.8434575929586895,0.106875,0.53
0,20,-1,161,1,0.539789420619702,0.46021057938029797,0.7263939851683618,0.4025,1.0,1,0.33015537150335306,0.6698446284966469,0.708388265913579,0.20125,1.0,1,0.20842621283005447,0.7915737871699455,0.8807447444089885,0.100625,0.0725
0,21,-1,154,1,0.6297745307169402,0.37022546928305977,0.7764134543039511,0.385,1.0,1,0.49202389680690783,0.5079761031930922,0.6981554000563286,0.1925,1.0,0,0.23808610069736602,0.761913899302634,0.805608569106454,0.09625,1.0
0,22,-1,160,1,0.5413259282578665,0.4586740717421335,0.7669812592332825,0.4,1.0,1,0.3605074880966215,0.6394925119033785,0.7459755671995218,0.2,1.0,0,0.23244246276717462,0.7675575372328254,0.8680028269201971,0.1,1.0
0,23,-1,149,1,0.6227174217197076,0.3772825782802924,0.800269686326425,0.3725,1.0,1,0.46354614786785664,0.5364538521321434,0.7464177204790003,0.18625,1.0,1,0.20530254743313547,0.7946974525668645,0.8350965472152365,0.093125,1.0
150,0,-1,195,1,0.3308515893472084,0.6691484106527916,0.8441635362057189,0.4875,0.14,1,0.21712437763451864,0.7828756223654814,0.8324781789738728,0.24375,1.0,0,0.19156410636718002,0.80843589363282,0.8948936098189599,0.121875,1.0
150,1,-1,191,1,0.38257794638687415,0.6174220536131259,0.7807505910857828,0.4775,0.16,1,0.23180282621761084,0.7681971737823892,0.8289603663492534,0.23875,1.0,0,0.20910985558075923,0.7908901444192408,0.8982987356202844,0.119375,0.2325
150,2,1,233,1,0.44186247817861946,0.5581375218213805,0.5004204120212634,0.5825,0.4475,0,0.24174589313577843,0.7582541068642216,0.7563577746260481,0.29125,0.5875,1,0.1773362542097513,0.8226637457902487,0.8523243013058827,0.145625,0.7825
150,3,-1,195,1,0.4139164493538986,0.5860835506461014,0.7706523795599501,0.4875,0.1475,1,0.21984999783521642,0.7801500021647836,0.780230415909823,0.24375,1.0,0,0.18027880112496264,0.8197211988750374,0.8597421306133548,0.121875,0.3275
150,4,1,191,1,0.4049980446776219,0.5950019553223781,0.6722414982390132,0.4775,0.3875,0,0.217159660648798,0.782840339351202,0.7894411689550526,0.23875,0.5225,1,0.15776199762500065,0.8422380023749994,0.8543388254331935,0.119375,1.0
150,5,-1,189,1,0.38268607525235443,0.6173139247476456,0.793972460620236,0.4725,0.15,1,0.22615308487344676,0.7738469151265532,0.8570640613533966,0.23625,1.0,0,0.20102671676807238,0.7989732832319276,0.8949675671293628,0.118125,0.72
150,6,-1,197,1,0.3831255552887055,0.6168744447112945,0.8258195743336085,0.4925,0.1575,1,0.23022956387495808,0.7697704361250419,0.8214308142638146,0.24625,1.0,0,0.20311469268739146,0.7968853073126085,0.8816407901805373,0.123125,0.8225
150,7,-1,194,1,0.39007888170317884,0.6099211182968212,0.7948364501023568,0.485,0.15,1,0.2410013848294541,0.7589986151705459,0.8206843811381493,0.2425,1.0,0,0.20111735436529177,0.7988826456347082,0.8945321740095967,0.12125,0.92
150,8,-1,203,1,0.43356426971722306,0.5664357302827769,0.76280243881149,0.5075,0.1475,1,0.2678639119441023,0.7321360880558977,0.8095601446808411,0.25375,1.0,0,0.21658714670718537,0.7834128532928146,0.8812927391580059,0.126875,0.1625
150,9,-1,199,1,0.41490876614631145,0.5850912338536886,0.7856198780820117,0.4975,0.1325,1,0.27938146673385267,0.7206185332661473,0.7772504229315914,0.24875,1.0,0,0.22198504614685977,0.7780149538531402,0.8734715244964983,0.124375,0.6
150,10,1,505,1,0.501090765713028,0.498909234286972,0.5210372856334421,1.0,0.555,0,0.29693325975276963,0.7030667402472304,0.6856685209738131,0.63125,0.5575,1,0.17323631379487836,0.8267636862051216,0.8236292775593231,0.315625,0.6325
150,11,-1,198,1,0.3098719109891538,0.6901280890108462,0.8339516112319141,0.495,0.1675,1,0.18994733442525902,0.810052665574741,0.8785154907871622,0.2475,1.0,0,0.1883130205409419,0.8116869794590581,0.8873667321313291,0.12375,1.0
150,12,-1,192,1,0.342066176464799,0.657933823535201,0.8264392782395261,0.48,0.1625,1,0.20836231671999283,0.7916376832800072,0.8331611930577809,0.24,1.0,0,0.18846537843195776,0.8115346215680422,0.8924716326949547,0.12,0.865
150,13,1,206,1,0.41462606305937466,0.5853739369406253,0.5475943848022704,0.515,0.52,0,0.23304301612708667,0.7669569838729133,0.7765971644298908,0.2575,0.6225,1,0.18014132846823538,0.8198586715317646,0.8418471753675961,0.12875,1.0
150,14,-1,194,1,0.3619418466125748,0.6380581533874252,0.7964635241833028,0.485,0.1275,1,0.2224843167525391,0.7775156832474609,0.8221479986972224,0.2425,1.0,0,0.20631124615441077,0.7936887538455892,0.8871473787506283,0.12125,0.6025
150,15,1,201,1,0.4617694196504435,0.5382305803495565,0.6152573718331875,0.5025,0.495,0,0.27307843946678334,0.7269215605332167,0.7630365067370544,0.25125,0.5875,1,0.18877122854312223,0.8112287714568778,0.8569155325282516,0.125625,0.82
150,16,1,190,1,0.4975632600026172,0.5024367399973828,0.3188170650628791,0.475,0.37,0,0.2605764059875989,0.7394235940124011,0.6883145445277306,0.2375,0.4975,1,0.16555135367260887,0.8344486463273911,0.8264989923413824,0.11875,0.88
150,17,1,190,1,0.4296407973351225,0.5703592026648775,0.6153571880076403,0.475,0.545,0,0.23475594698305602,0.765244053016944,0.783519321440914,0.2375,0.6825,1,0.15865058437411372,0.8413494156258863,0.8446216384492412,0.11875,0.705
150,18,-1,191,1,0.3975164447618038,0.6024835552381962,0.8159131064762332,0.4775,0.165,1,0.24366750390104064,0.7563324960989594,0.8135338353155147,0.23875,1.0,0,0.21581304562051684,0.7841869543794832,0.9018510742951367,0.119375,0.53
150,19,-1,198,1,0.3919496644435959,0.6080503355564041,0.8037794716539276,0.495,0.145,1,0.2172480087443993,0.7827519912556007,0.7710612320373249,0.2475,1.0,0,0.18292266754896247,0.8170773324510375,0.8730675297568282,0.12375,0.79
150,20,-1,203,1,0.3820869146601674,0.6179130853398326,0.7961191637284526,0.5075,0.1525,1,0.23922702190529266,0.7607729780947073,0.8070163260215625,0.25375,1.0,0,0.2038279453206997,0.7961720546793003,0.8909446535114097,0.126875,1.0
150,21,-1,196,1,0.38871953831740735,0.6112804616825926,0.7835957480032161,0.49,0.15,1,0.23013767497992088,0.7698623250200791,0.8149512611702501,0.245,1.0,0,0.1918437211405759,0.8081562788594241,0.8864503919925046,0.1225,0.3925
150,22,-1,194,1,0.3621600291866469,0.6378399708133531,0.8142944498157119,0.485,0.1525,1,0.22649659627596241,0.7735034037240376,0.8134651262047856,0.2425,1.0,0,0.20289756970259631,0.7971024302974037,0.8916481559246795,0.12125,1.0
150,23,-1,190,1,0.3818478587733929,0.6181521412266071,0.7976277145832557,0.475,0.165,1,0.23531647755307772,0.7646835224469223,0.8283135028337321,0.2375,1.0,0,0.1973322823849274,0.8026677176150726,0.89757125017589,0.11875,0.2425
350,0,-1,362,0,0.18649294536783056,0.8135070546321694,0.8449100155231886,0.905,1.0,1,0.11710206389853706,0.8828979361014629,0.9097945166751982,0.4525,0.935,0,0.10620955069514348,0.8937904493048565,0.8828041669043614,0.22625,1.0
350,1,-1,377,0,0.25354724091175085,0.7464527590882492,0.7404640860329615,0.9425,1.0,1,0.13629853810631776,0.8637014618936822,0.8863571491394955,0.47125,0.9375,0,0.14324486831245253,0.8567551316875475,0.8849573985184352,0.235625,0.32
350,2,1,242,1,0.4407743375928045,0.5592256624071955,0.4861637875244026,0.605,0.0425,0,0.11066036575805749,0.8893396342419425,0.8111957831746188,0.3025,0.39,1,0.10770257430757924,0.8922974256924208,0.8781644215212834,0.15125,0.85
350,3,-1,386,0,0.2579270341394492,0.7420729658605508,0.7016817735192556,0.965,1.0,1,0.1340679759486697,0.8659320240513303,0.8586840055146134,0.4825,0.9125,1,0.12527752859751684,0.8747224714024832,0.8320286190413828,0.24125,1.0
350,4,1,195,1,0.4177458145981183,0.5822541854018817,0.6692421776121892,0.4875,0.1725,0,0.10767760545187033,0.8923223945481297,0.8345510758202663,0.24375,0.3525,1,0.11018336542304175,0.8898166345769583,0.8741256806801516,0.121875,1.0
350,5,-1,389,0,0.2412529931091757,0.7587470068908243,0.722978816996849,0.9725,1.0,1,0.1328394224112488,0.8671605775887512,0.8856937912519698,0.48625,0.9025,0,0.13371162046223317,0.8662883795377668,0.875530816466369,0.243125,0.7975
350,6,-1,382,0,0.22496665708312658,0.7750333429168734,0.765398910697648,0.955,1.0,1,0.11493944295534231,0.8850605570446577,0.8924171714774737,0.4775,0.89,0,0.1174088600758103,0.8825911399241897,0.868340055746883,0.23875,1.0
350,7,-1,385,0,0.22734133811652224,0.7726586618834778,0.7609475830790846,0.9625,1.0,1,0.12376484452805903,0.876235155471941,0.9042569225737083,0.48125,0.9025,0,0.12881819092163482,0.8711818090783652,0.8687799460424931,0.240625,1.0
350,8,-1,388,0,0.27273407908106617,0.7272659209189338,0.7232665922741284,0.97,1.0,1,0.1478768336501466,0.8521231663498534,0.8794210685990943,0.485,0.8975,0,0.15022978226576778,0.8497702177342322,0.8805449201725997,0.2425,0.0825
350,9,-1,380,0,0.2707292543037173,0.7292707456962827,0.7185110613327735,0.95,1.0,1,0.1444818493494211,0.8555181506505789,0.8902082500484455,0.475,0.8925,0,0.1463023353392946,0.8536976646607054,0.8605316919101635,0.2375,0.745
350,10,1,234,1,0.4906226471652624,0.5093773528347376,0.4908447744531247,0.585,0.5275,0,0.12101282261311908,0.8789871773868809,0.7830895250959623,0.2925,0.305,1,0.10997857366378094,0.8900214263362191,0.866103075553449,0.14625,0.665
