m,nu,ablation,elapsed_hours,n_seeds,h_cont_mean,h_cont_std,h_cog_mean,sync_mean,sync_std
5,0.1,FULL,1,10,3.172519582366831,0.057028286132773665,0.00016158627179182236,0.06749721118380554,0.0148895802742965
5,0.1,FULL,10,10,3.299365267191159,0.05161768068120172,0.00240291871834728,0.08091958972235133,0.01813380276855467
5,0.1,FULL,100,10,3.380776081125324,0.045320977001702685,0.019566125675408864,0.10365471394420593,0.02312499835580339
5,0.1,FULL,1000,10,3.370239569834016,0.04070614611211959,0.08883123638141026,0.1349273927134646,0.02282458373632229
5,0.1,FULL,10000,10,3.371997760090694,0.04513597133008938,0.264105140797808,0.20631055314521593,0.03630225473599399
5,0.1,FULL,100000,10,3.534027637006635,0.04875833486770858,0.44574603395138707,0.25676825826623945,0.027739890259172097
5,0.1,FULL,1000000,10,3.6533559355814043,0.062171094432377096,0.5787438805293721,0.20326021667691369,0.028385819549264356
5,0.1,FROZEN_U,1,10,3.834389024962584,0.19786783677836503,0.8987506442299921,0.8166821234941061,0.03870972462993438
5,0.1,FROZEN_U,10,10,3.989230774593582,0.19886173666232448,0.9373153013625904,0.8000535604210072,0.05171822648286399
5,0.1,FROZEN_U,100,10,4.259186599785524,0.11593788411000185,1.0364819006233417,0.6853287442114662,0.050345074649423435
5,0.1,FROZEN_U,1000,10,4.410456080792495,0.09983536602974641,1.119531265819615,0.5864089318343039,0.0616409595932353
5,0.1,FROZEN_U,10000,10,4.561194120422094,0.16781585929548265,1.2382551474927357,0.4456570407447805,0.08862641554475349
5,0.1,FROZEN_U,100000,10,4.699943147641131,0.08107369149281758,1.3301110341724693,0.32149036825746014,0.05750322876245387
5,0.1,FROZEN_U,1000000,10,4.864795254071132,0.10982264162908835,1.4593391926555694,0.16760865636282454,0.06429424462881
