N,c,seed,lambda2,H_stable,U4,LZ,sync,H_cont
100,0.0,34,1.3882761782547737,3.596061967736877,0.66587820009811,0.8082538821179115,-0.01824332942708096,3.3934005550935185
100,0.0,37,1.5033815251607747,3.6194919500963514,0.6653401921067835,0.8332192529941402,0.0037699885473355616,3.3398867623342876
100,0.0,35,1.2554315182411062,3.583494909690292,0.6660894173613283,0.8082538821179115,0.01671045001935753,3.5287081744216895
100,0.0,38,1.457828162152069,3.599557648112202,0.6658955878556538,0.8509030573648023,0.010837477499355562,3.5791171277736242
100,0.0,36,1.4011934472370262,3.5610879348615434,0.6657710601000322,0.8299499782365385,0.0042565300066182915,3.3989485367324614
100,0.0,39,1.3319496470588998,3.5672399247040563,0.6658771816282345,0.8416896466842892,-0.015262083534019668,3.5526702783345647
100,1.0714285714285714,3,1.7453892160730555,3.5848866409419284,0.6649114380676631,0.814643828235041,-0.0056495573899824365,3.4141395952046927
100,1.0714285714285714,1,1.7050151485880176,3.5242795661558195,0.6659117131610264,0.8196963437695161,-0.011094938208545596,3.402802387013227
100,1.0714285714285714,0,1.516164191021788,3.6214820837836013,0.666091750178432,0.8195477403714436,-0.0051679183773496494,3.587580464441212
100,1.0714285714285714,2,1.7616932014743492,3.367749677425563,0.665739579603529,0.8199935505656616,-0.0002537176445999005,3.420288149680522
100,1.0714285714285714,5,1.5274573996494576,3.4205145377605732,0.6658889205681553,0.8159812588176963,-0.003150876940818144,3.5790586191163807
100,1.0714285714285714,4,1.8977942452731622,3.428046531565883,0.6651902099504795,0.8189533267791521,0.01643297318816696,3.512625416110331
100,1.0714285714285714,6,1.996192835416574,3.5321871998080927,0.6660292099537468,0.813455001050459,-0.0025772470352354794,3.616865279046434
100,1.0714285714285714,7,1.7375029082932891,3.5390357746711474,0.665396757000394,0.8317332190134126,0.008195971294239747,3.596832189079825
100,1.0714285714285714,8,1.7368030109105028,3.3957435736771644,0.6648752308929748,0.8311388054211214,-0.014879302104112108,3.398222214098219
100,1.0714285714285714,10,1.8712422192558678,3.3786631524858284,0.6656681029615269,0.8330706495960676,-0.042289669670205685,3.4331318251297773
100,1.0714285714285714,12,1.75431259677018,3.4213172815451993,0.665718447384593,0.8283153408577384,0.019285101861804755,3.5437179552451763
100,1.0714285714285714,11,1.8327352836781934,3.4727443217058607,0.6659504241975309,0.834705286974868,0.017258266108334214,3.483093024880076
100,1.0714285714285714,9,1.6814581714573655,3.3867398817320833,0.6653904018154602,0.8167242758080608,0.02100404592060818,3.588298305790102
100,1.0714285714285714,14,1.7372239707468466,3.4623100942992475,0.6657095067939636,0.8289097544500289,-0.022845572395673818,3.3797561678728725
100,1.0714285714285714,15,1.5832265927158224,3.476901617856018,0.6658117709346854,0.8170214826042066,0.0005933148670336985,3.4301960204754596
100,1.0714285714285714,13,1.9622095413983844,3.4646573251051938,0.6653451778736597,0.8399064059074162,-0.0008852016983609641,3.4223629406354217
100,1.0714285714285714,17,1.6483102713443016,3.4867978395512864,0.6655043792430598,0.8257890830905006,-0.01327892297283824,3.53402049794088
100,1.0714285714285714,16,1.7857750193925752,3.414226165020448,0.6656145649510854,0.8088482957102027,-0.01454230253120589,3.635737364135085
