topology,condition,gain_u,seed,R2_mean,R2_std,u_mean,u_max
LATTICE_10x10,FULL,3.0,17,0.20279549558428717,0.14290309269612458,0.9215674470444566,1.0
LATTICE_10x10,FULL,3.0,256,0.18720037187650407,0.11468783629288265,0.9475624346314915,1.0
LATTICE_10x10,FULL,3.0,1337,0.16966487420107354,0.10617292027580144,0.9301089297378611,1.0
LATTICE_10x10,FULL,3.0,99,0.17901671535822955,0.12289095638806262,0.8969025602831218,1.0
LATTICE_10x10,FULL,3.0,314,0.1364006497053484,0.08543005556007834,0.9251279703701777,1.0
LATTICE_10x10,FULL,3.0,2024,0.20114595534506347,0.14784181580749242,0.9345427126512562,1.0
LATTICE_10x10,FULL,3.0,888,0.16431962731717925,0.11685260584717219,0.9232443199043231,1.0
BA_m3,FROZEN_U,,42,0.19554865520790043,0.06951758932755746,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,,123,0.18258655968471102,0.04543441673189187,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,,777,0.21416344824206768,0.03065051462382564,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,,17,0.20951025005554458,0.04637845057557791,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,,256,0.12437922031348057,0.040196732395874187,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,,1337,0.20275691108011468,0.047463979578074966,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,,99,0.18184920518751937,0.043815811744474735,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,,314,0.18478837635042925,0.04559713215667533,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,,2024,0.18287886499841133,0.03451517153473859,0.04999999999999999,0.04999999999999999
BA_m3,FROZEN_U,,888,0.16675089630991152,0.08339567303272609,0.04999999999999999,0.04999999999999999
BA_m3,FULL,1.0,42,0.17373466476216623,0.08955700214372718,0.33065563081090826,0.4422130938426713
BA_m3,FULL,1.0,123,0.1535607785442329,0.07899809048871138,0.34373405410163915,0.4507130995899145
BA_m3,FULL,1.0,777,0.12899397118525982,0.08768141203478226,0.3572575809321584,0.46042755049235773
BA_m3,FULL,1.0,17,0.14723446796344838,0.08463746659020356,0.3445627974086412,0.45264176678064166
BA_m3,FULL,1.0,256,0.1632744565683386,0.08016380308697994,0.3422409855306816,0.4490193650630429
BA_m3,FULL,1.0,1337,0.15339046557294786,0.08989461733660398,0.35390007982726374,0.45707522168560955
BA_m3,FULL,1.0,99,0.13282602660958182,0.07425425653889281,0.34983573465974493,0.4529643211668546
BA_m3,FULL,1.0,314,0.17191034956818463,0.09827877595526935,0.34657193774262,0.45144958742094654
BA_m3,FULL,1.0,2024,0.1082256855699742,0.058513317446120205,0.3537514932694487,0.4646046855812277
BA_m3,FULL,1.0,888,0.13846943993356614,0.08994504508708889,0.3392098487238113,0.44412953322253285
BA_m3,FULL,3.0,42,0.1366316519468755,0.06445389623257566,0.8219047268627028,0.9983062098961542
BA_m3,FULL,3.0,123,0.11361291300520193,0.058361216091608784,0.8386395800226283,0.9983222964809755
BA_m3,FULL,3.0,777,0.10050373230589162,0.06132948907824007,0.8673876748295526,1.0
BA_m3,FULL,3.0,17,0.10572146239479063,0.05500980054745744,0.8425449372417132,0.9997058405414723
BA_m3,FULL,3.0,256,0.11078100142900521,0.055570426350506075,0.8497581066436,1.0
BA_m3,FULL,3.0,1337,0.11552646753951247,0.06654416305265151,0.8612782230663854,1.0
BA_m3,FULL,3.0,99,0.12079337300490686,0.07270582643955238,0.8618341220022063,1.0
BA_m3,FULL,3.0,314,0.12554757466487376,0.06652330222758297,0.8275968687043452,0.9980825469561672
BA_m3,FULL,3.0,2024,0.130416866752925,0.06808189048839404,0.861702650421864,1.0
