poc,m,D,n_seeds,cross_corr,LZ_seed1,LZ_seed2,LZ_mean,track_corr_pivot0,track_corr_pivot1,track_corr_diff,diff_std,H_cont,decision,tc0,tc0_std,tc1,tc1_std,f_v_mean,f_std,winner,n_pivots,tc,tc_std,hub_degree,H_std,LZ_v_mean,cross_corr_drive,ac_lag5,ac_lag50
POCC_multi,6,0.15,5,,,,,,,,,,,,,,,0.02311111111111111,0.012226261958647927,INTRINSIC,10.0,0.1628151266625498,0.14400167104025596,,,,,,
POCC_multi,6,0.5,5,,,,,,,,,,,,,,,0.03022222222222222,0.01583713404675274,F_DRIVE,10.0,0.17207933247676585,0.09994260703726857,,,,,,
POCD_hub,3,0.0,5,,,,,,,,,,,,,,,0.006666666666666667,0.004371625682868,INTRINSIC,,-0.148923861640153,0.23155828847848817,31.0,,,,,
POCD_hub,3,0.15,5,,,,,,,,,,,,,,,0.007777777777777778,0.0030792014356780047,INTRINSIC,,0.1742623138704272,0.20047152853952324,31.0,,,,,
POCD_hub,3,0.5,5,,,,,,,,,,,,,,,0.007333333333333333,0.004807401700618652,INTRINSIC,,0.1976232085344333,0.1318637546597395,31.0,,,,,
POCD_hub,6,0.0,5,,,,,,,,,,,,,,,0.007555555555555556,0.005669933698743588,INTRINSIC,,-0.16320924142104218,0.23872825195811762,39.0,,,,,
POCD_hub,6,0.15,5,,,,,,,,,,,,,,,0.006222222222222222,0.007433657192745658,INTRINSIC,,0.26217643766761295,0.421125836198943,39.0,,,,,
POCD_hub,6,0.5,5,,,,,,,,,,,,,,,0.009333333333333334,0.005206833117271103,INTRINSIC,,0.17994197248464658,0.12706717576679874,39.0,,,,,
POC5_bruit,3,0.0,1,,,,,,,,,1.2271796175003373,,,,,,,,,,,,,0.3129347519725464,1.2224955885290552,0.9150072807178857,0.986422496868592,0.4576073078439402
POC5_bruit,6,0.0,1,,,,,,,,,1.2271796175003373,,,,,,,,,,,,,0.3129347519725464,1.2224955885290552,0.9150072807178857,0.986422496868592,0.4576073078439402
POC5_bruit,3,0.15,1,,,,,,,,,1.057425590931221,,,,,,,,,,,,,0.22635897340990335,1.2224955885290552,0.9152754568744257,0.9864268225162519,0.4574469445832491
POC5_bruit,6,0.15,1,,,,,,,,,0.9375309583531688,,,,,,,,,,,,,0.18938919768692022,1.2352299175762327,0.9155124938977971,0.9864211242539496,0.45760689449059916
POC5_bruit,3,0.5,1,,,,,,,,,0.8702399497806976,,,,,,,,,,,,,0.19293022817875022,1.2224955885290552,0.9155789231120053,0.9864304169571141,0.4575707276618168
POC5_bruit,6,0.5,1,,,,,,,,,0.6968293250801701,,,,,,,,,,,,,0.23274845969641098,1.2352299175762327,0.9157044344061784,0.986414428616113,0.45774481385391375
