topo,norm,shuffle,seed,deg_min,deg_max,k_mean,k_harm,rho_main,p_intrarun_main,censored_main,tmort_med_main,rho_ctrl,p_intrarun_ctrl,censored_ctrl,tmort_med_ctrl,rho_diag,p_intrarun_diag,censored_diag,tmort_med_diag,tmort_hubs,tmort_peri,delta_hub_peri,ncomp50,ncomp50_null,big50,big50_null,pct_ncomp50,ncomp75,ncomp75_null,big75,big75_null,pct_ncomp75,group
BA m=3,degree_linear,0,5001,3,40,5.94,4.228662177199466,0.09074654399905231,0.20126909399247478,30,2862.0,0.0715869263049204,0.31377173125766095,124,3000.0,0.027862710487988177,0.6953209508962868,6,1093.0,2880.0,2831.0,49.0,4,8.0,0.97,0.93,0.055,18,18.0,0.6,0.58,0.48,replication
BA m=3,degree_linear,0,5002,3,34,5.94,4.288744513800598,0.022819923021888424,0.748406384162082,34,2850.5,0.012226200033220454,0.8635733601463995,121,3000.0,0.00546480374007684,0.9387825326764889,3,1247.5,2859.0,2857.0,2.0,4,8.0,0.97,0.925,0.07,15,17.0,0.68,0.58,0.295,replication
BA m=3,degree_linear,0,5003,3,43,5.94,4.244340089015031,0.173782342593306,0.013854891141958895,41,2879.0,0.22992530419945295,0.0010557002721131698,121,3000.0,0.08521764512109012,0.23022119464015134,8,769.0,2878.5,2817.0,61.5,4,8.0,0.97,0.93,0.055,11,18.0,0.64,0.55,0.08,replication
BA m=3,degree_linear,0,5004,3,37,5.94,4.232528913593622,-0.016213057871786375,0.8197511475791922,37,2865.5,0.0014258931093732521,0.9840124309255249,121,3000.0,0.046151088481472646,0.5163837204597601,8,1103.5,2890.5,2867.0,23.5,6,8.0,0.95,0.92,0.19,14,17.0,0.64,0.58,0.215,replication
BA m=3,degree_linear,0,5005,3,43,5.94,4.220207897677206,-0.033924215756140304,0.6334397403054907,38,2907.5,0.2178281052922452,0.0019447742051443484,130,3000.0,0.013672086318609144,0.8476250727024848,4,1106.5,2848.5,2911.0,-62.5,12,8.0,0.88,0.93,0.86,15,18.0,0.68,0.58,0.265,replication
BA m=3,degree_linear,0,5006,3,44,5.94,4.259313286372087,0.09226083648819816,0.19382039972724985,38,2879.0,0.06298065887583267,0.3756293083303891,123,3000.0,0.047569903199767054,0.5035579495619894,6,1259.5,2946.5,2853.0,93.5,3,7.0,0.98,0.93,0.04,8,17.0,0.84,0.6,0.025,replication
BA m=3,degree_linear,0,5007,3,52,5.94,4.259700780247361,0.1265521196455782,0.07415018943504352,39,2903.5,0.20586630458092095,0.003449749273965421,137,3000.0,0.01667379309825928,0.8147200170455315,3,964.5,2914.0,2854.0,60.0,3,8.0,0.98,0.93,0.03,8,17.0,0.84,0.58,0.01,replication
BA m=3,degree_linear,0,5008,3,45,5.94,4.258464652075347,-0.043431920028058374,0.541425758334021,45,2900.5,0.05983969851301426,0.399949560813586,131,3000.0,0.04599851700578002,0.5177728720880288,7,765.5,2921.0,2918.0,3.0,11,8.0,0.9,0.92,0.76,22,17.0,0.48,0.6,0.73,replication
BA m=3,degree_linear,0,5009,3,46,5.94,4.256674797784632,0.04314361523730595,0.5441157399653487,34,2895.5,0.07528308538807268,0.2893746180546356,100,2999.5,-0.07078398775992258,0.3192442429560279,2,937.5,2918.0,2907.0,11.0,8,7.5,0.92,0.93,0.5,18,19.0,0.64,0.56,0.415,replication
BA m=3,degree_linear,0,5010,3,40,5.94,4.166921088094322,0.2110681598245921,0.0026987556931796844,24,2740.5,0.28029846460681485,5.818403223576725e-05,74,2930.0,0.0473714203216903,0.5053420927172012,4,1251.5,2835.5,2699.0,136.5,4,7.0,0.97,0.93,0.05,16,19.0,0.62,0.54,0.275,replication
