k,seed_idx,m4r_acc,m4r_cost,leaky_acc,leaky_cost,leaky_params
50,1,1.0,396.0,1.0,1352.0,"(0.05, 0.0, 800)"
50,2,1.0,397.5,1.0,1343.0,"(0.05, 0.0, 800)"
50,3,1.0,432.5,1.0,1343.0,"(0.05, 0.0, 800)"
50,4,1.0,194.0,1.0,1345.0,"(0.05, 0.0, 800)"
50,5,0.0,190.0,1.0,1359.5,"(0.05, 0.0, 800)"
50,6,1.0,423.0,1.0,1349.0,"(0.05, 0.0, 800)"
50,7,1.0,399.5,1.0,1354.0,"(0.05, 0.0, 800)"
50,8,1.0,193.0,1.0,1340.5,"(0.05, 0.0, 800)"
50,9,0.0,187.0,1.0,1359.0,"(0.05, 0.0, 800)"
50,10,1.0,217.0,1.0,1335.5,"(0.05, 0.0, 800)"
50,11,1.0,423.5,1.0,1352.5,"(0.05, 0.0, 800)"
50,12,1.0,200.0,1.0,1350.0,"(0.05, 0.0, 800)"
50,13,1.0,424.0,1.0,1348.0,"(0.05, 0.0, 800)"
50,14,1.0,414.5,1.0,1346.5,"(0.05, 0.0, 800)"
50,15,1.0,423.0,1.0,1348.0,"(0.05, 0.0, 800)"
50,16,1.0,189.0,1.0,1341.5,"(0.05, 0.0, 800)"
50,17,1.0,223.0,1.0,1343.0,"(0.05, 0.0, 800)"
50,18,1.0,198.0,1.0,1345.5,"(0.05, 0.0, 800)"
50,19,1.0,203.0,1.0,1336.0,"(0.05, 0.0, 800)"
100,0,1.0,451.0,1.0,1346.0,"(0.05, 0.0, 800)"
100,1,1.0,396.0,1.0,1346.5,"(0.05, 0.0, 800)"
100,2,1.0,397.5,1.0,1346.5,"(0.05, 0.0, 800)"
100,3,1.0,432.5,1.0,1345.0,"(0.05, 0.0, 800)"
100,4,1.0,194.0,1.0,1348.5,"(0.05, 0.0, 800)"
100,5,1.0,190.0,1.0,1347.5,"(0.05, 0.0, 800)"
100,6,1.0,423.0,1.0,1348.5,"(0.05, 0.0, 800)"
100,7,1.0,399.5,1.0,1346.5,"(0.05, 0.0, 800)"
100,8,1.0,193.0,1.0,1348.5,"(0.05, 0.0, 800)"
100,9,1.0,187.0,1.0,1347.5,"(0.05, 0.0, 800)"
