N,m,D,seed,lambda2,H_cont,synchrony,lz_full,u_mean
100,7,0.5,0,4.8108444225437195,3.8409932452844378,-0.006635640387942648,0.6179218528989117,0.9999646745133038
100,7,0.5,1,4.913429025641349,3.9411306764355496,-0.005141141382898974,0.6028593353006793,0.9999686925740912
100,7,0.5,2,4.855858833881438,4.154816757287219,0.005319374066764814,0.6433846802673515,0.9999778843850486
100,7,0.5,3,5.059870724493233,4.267332202575684,-0.007240328480166387,0.6439226273244313,0.9999553821282654
100,7,0.5,4,5.074239081205341,3.961813642423917,-0.008199039011158706,0.623480639155402,0.9999975089820313
100,8,0.0,0,5.954929625941183,4.658023004858627,0.06678149601807117,1.1096054630697807,0.04999999999999999
100,8,0.0,1,6.085660394277222,4.716264499447463,0.09439392062389998,1.1033294140705172,0.04999999999999999
100,8,0.0,2,5.83501264974514,4.737304740840826,0.060796135890473814,1.1013569415278914,0.04999999999999999
100,8,0.0,3,5.805024134343893,4.805722189481393,0.06420910529278123,1.1117572512980995,0.04999999999999999
100,8,0.0,4,6.057189193272978,4.8345233776207195,0.060634997435836675,1.1081709375842346,0.04999999999999999
100,8,0.15,0,5.954929625941183,2.7481894326950167,-0.00481285768553831,0.8264659953601514,0.9998843608129456
100,8,0.15,1,6.085660394277222,2.7301914374508733,-0.0013749825884572982,0.8291557306455501,0.9999744858388747
100,8,0.15,2,5.83501264974514,2.6225100469930878,0.0006577230738580775,0.8334593071021881,0.9999665244704914
100,8,0.15,3,5.805024134343893,2.668318417772912,-0.005279327081451801,0.8031549562200304,0.9999724939633893
100,8,0.15,4,6.057189193272978,2.6173848760262324,-0.004084556090654527,0.8137345816759313,0.9999425605129438
100,8,0.5,0,5.954929625941183,3.731154416612684,0.011864432543109224,0.6111078568425684,0.9999855507855551
100,8,0.5,1,6.085660394277222,3.7468359689146693,-0.008160006351187172,0.5951487608158699,1.0
100,8,0.5,2,5.83501264974514,3.830504043706396,0.01319613072536821,0.6168459587847522,0.9999969391139478
100,8,0.5,3,5.805024134343893,3.8781587090193654,-0.006991255163819354,0.6102112784141022,1.0
100,8,0.5,4,6.057189193272978,3.8193009789593053,-0.007153071919257273,0.5926383412161645,0.9999998897838722
100,9,0.0,0,6.824245711861723,4.658023004858627,0.06678149601807117,1.1096054630697807,0.04999999999999999
100,9,0.0,1,6.760803998003243,4.716264499447463,0.09439392062389998,1.1033294140705172,0.04999999999999999
100,9,0.0,2,6.938839809756916,4.737304740840826,0.060796135890473814,1.1013569415278914,0.04999999999999999
100,9,0.0,3,6.766482460813114,4.805722189481393,0.06420910529278123,1.1117572512980995,0.04999999999999999
100,9,0.0,4,6.723745816676628,4.8345233776207195,0.060634997435836675,1.1081709375842346,0.04999999999999999
100,9,0.15,0,6.824245711861723,2.59642892277108,0.0003099724962775026,0.7843268092222396,0.9999301998621105
100,9,0.15,1,6.760803998003243,2.5558629368833308,-0.0016724753540825347,0.7999272738775516,0.9999264999683969
100,9,0.15,2,6.938839809756916,2.6199847388035833,0.0015348014950060964,0.8368663051303596,0.9999960990685431
100,9,0.15,3,6.766482460813114,2.4941395827812562,-0.00402899829535443,0.828976414959857,0.999984992831094
100,9,0.15,4,6.723745816676628,2.623433792964941,-0.0015519574720747197,0.8124793718760784,0.9999271020016248
100,9,0.5,0,6.824245711861723,3.2117594735412123,-0.008418524649445477,0.5834932412458094,1.0
100,9,0.5,1,6.760803998003243,3.3294883903988968,-0.008478964695111644,0.5763206138180796,1.0
100,9,0.5,2,6.938839809756916,3.4219053199252576,-0.007613736700311467,0.5834932412458093,1.0
100,9,0.5,3,6.766482460813114,3.8384187950046385,-0.007133555832739266,0.5921003941590848,0.9999867242925046
100,9,0.5,4,6.723745816676628,3.3999235930011062,-0.008521539023645408,0.5782930863607053,1.0
100,10,0.0,0,7.656906253373409,4.658023004858627,0.06678149601807117,1.1096054630697807,0.04999999999999999
100,10,0.0,1,7.624422401632088,4.716264499447463,0.09439392062389998,1.1033294140705172,0.04999999999999999
100,10,0.0,2,7.558004979488511,4.737304740840826,0.060796135890473814,1.1013569415278914,0.04999999999999999
100,10,0.0,3,7.737983570047357,4.805722189481393,0.06420910529278123,1.1117572512980995,0.04999999999999999
100,10,0.0,4,7.6978311064635925,4.8345233776207195,0.060634997435836675,1.1081709375842346,0.04999999999999999
100,10,0.15,0,7.656906253373409,2.6594553658058406,-0.0030594526784354765,0.7922166993927422,0.9999904956624213
100,10,0.15,1,7.624422401632088,2.4968566071393807,-0.0043976045737177194,0.7793059700228292,0.9999943457552434
100,10,0.15,2,7.558004979488511,2.4593766467506857,-0.0038816690302005633,0.8018997464201771,0.9999719789708014
100,10,0.15,3,7.737983570047357,2.5887877464368017,-0.0032911435584044146,0.7739264994520316,0.9999801267908595
100,10,0.15,4,7.6978311064635925,2.483344679199144,-0.005766657836625091,0.7601191916536522,0.9999949586511984
100,10,0.5,0,7.656906253373409,2.964514245043475,-0.008234311288146758,0.5790103491034783,1.0
100,10,0.5,1,7.624422401632088,2.98726404395202,-0.004560743136559324,0.5822380314459565,1.0
100,10,0.5,2,7.558004979488511,3.124024803300257,-0.006944087043626907,0.5738101942183742,1.0
100,10,0.5,3,7.737983570047357,3.1634749977222656,-0.0073035119012874045,0.5790103491034783,1.0
100,10,0.5,4,7.6978311064635925,3.2214999505894486,-0.007908952993864193,0.5818794000745701,1.0
