condition,seed,input_scale,k_sub,n_nonlin,nrmse,eff_rank
STNO_FROZEN_U,2,0.6,100,0.0,0.9544794599093072,50.12666472148527
STNO_FROZEN_U,2,0.6,100,10.0,0.9176901534812,53.937338690205905
STNO_DECOUPLE,2,0.1,50,0.0,1.1143496998838462,84.41226355327795
STNO_DECOUPLE,2,0.1,50,10.0,1.1120980719281093,83.25844766086557
STNO_DECOUPLE,2,0.1,100,0.0,1.0343501051046917,90.73252906237049
STNO_DECOUPLE,2,0.1,100,10.0,1.0385386104415142,90.3332493468297
STNO_DECOUPLE,2,0.3,50,0.0,0.9203897951880031,81.64555511541784
STNO_DECOUPLE,2,0.3,50,10.0,0.9582557803239006,79.36974888485707
STNO_DECOUPLE,2,0.3,100,0.0,0.9188238722554954,84.46414992493953
STNO_DECOUPLE,2,0.3,100,10.0,0.9007123570927831,83.08927840639493
STNO_DECOUPLE,2,0.6,50,0.0,0.8941825843342872,71.96052852124407
STNO_DECOUPLE,2,0.6,50,10.0,0.8990048108399863,68.12474947974044
STNO_DECOUPLE,2,0.6,100,0.0,0.9085098766056641,68.48625468322511
STNO_DECOUPLE,2,0.6,100,10.0,0.8442996404412326,64.2994180133981
STNO_FULL,3,0.1,50,0.0,1.4625751463237844,52.66377190309208
STNO_FULL,3,0.1,50,10.0,1.0391942552515125,76.45627193077432
STNO_FULL,3,0.1,100,0.0,1.1501796038307182,62.45440193698027
STNO_FULL,3,0.1,100,10.0,0.9980165330898103,82.32319467669822
STNO_FULL,3,0.3,50,0.0,1.1453116852372756,52.351557379848394
STNO_FULL,3,0.3,50,10.0,0.9986483453262854,78.39558135624799
STNO_FULL,3,0.3,100,0.0,1.0726325037429998,61.08506006525776
STNO_FULL,3,0.3,100,10.0,0.9794605865205203,83.3947504083153
STNO_FULL,3,0.6,50,0.0,1.2088756296828802,52.47071577228522
STNO_FULL,3,0.6,50,10.0,0.8796125946481675,76.60372506548946
STNO_FULL,3,0.6,100,0.0,1.1649297917168937,58.549831873578945
STNO_FULL,3,0.6,100,10.0,0.9799210537871799,77.99910542674762
STNO_FROZEN_U,3,0.1,50,0.0,1.1688483631422126,48.00897372673464
STNO_FROZEN_U,3,0.1,50,10.0,2.0275949944501015,48.98522367743314
STNO_FROZEN_U,3,0.1,100,0.0,1.2074620463330104,55.134063773853086
STNO_FROZEN_U,3,0.1,100,10.0,1.3314942469917206,62.458665977891826
STNO_FROZEN_U,3,0.3,50,0.0,1.2217515718701693,46.89583044159726
STNO_FROZEN_U,3,0.3,50,10.0,1.3039501896737145,49.95597648419178
STNO_FROZEN_U,3,0.3,100,0.0,1.0060292331588092,54.84859754239492
STNO_FROZEN_U,3,0.3,100,10.0,1.1842636551300603,62.662605191100134
STNO_FROZEN_U,3,0.6,50,0.0,0.9651744500079348,46.09727312287826
STNO_FROZEN_U,3,0.6,50,10.0,0.9009759623011291,47.63527805870247
STNO_FROZEN_U,3,0.6,100,0.0,0.957497561447855,53.1626336426127
STNO_FROZEN_U,3,0.6,100,10.0,0.8515842487133618,55.869683599477085
STNO_DECOUPLE,3,0.1,50,0.0,1.1012188320221854,84.60347691590967
STNO_DECOUPLE,3,0.1,50,10.0,1.06524563597534,83.15968646239888
STNO_DECOUPLE,3,0.1,100,0.0,1.0246369233154171,90.48280165447517
STNO_DECOUPLE,3,0.1,100,10.0,0.9684389217599053,90.03551912577129
STNO_DECOUPLE,3,0.3,50,0.0,0.9094578327263328,81.65987999472992
STNO_DECOUPLE,3,0.3,50,10.0,0.8254531988759904,79.27757375984577
STNO_DECOUPLE,3,0.3,100,0.0,0.9363830045241134,83.44336386633803
STNO_DECOUPLE,3,0.3,100,10.0,0.8827607748992674,82.35937290588086
