topo,condition,seed,valid_frac,coverage,sharpness,consec_dist
BA_m3,HASARD,7,0.5000,1,1.0000,0.3232
BA_m3,ATTRACTIF,7,0.4167,3,0.9967,0.3531
BA_m3,BICAMERAL,8,0.0833,1,0.9933,0.1885
BA_m3,BICAMERAL_KICK,8,0.2500,2,0.9958,0.2180
BA_m3,WATCHDOG,8,0.2500,2,0.9967,0.2357
BA_m3,HASARD,8,0.1667,1,1.0000,0.2808
BA_m3,ATTRACTIF,8,0.5000,4,0.9975,0.4170
BA_m3,BICAMERAL,9,0.3333,2,0.9933,0.2217
BA_m3,BICAMERAL_KICK,9,0.0833,1,0.9900,0.1659
BA_m3,WATCHDOG,9,0.1667,1,0.9917,0.1686
BA_m3,HASARD,9,0.1667,1,1.0000,0.3054
BA_m3,ATTRACTIF,9,0.5000,3,0.9983,0.3918
BA_m3,BICAMERAL,10,0.0000,0,0.9892,0.1773
BA_m3,BICAMERAL_KICK,10,0.0833,1,0.9917,0.1962
BA_m3,WATCHDOG,10,0.0000,0,0.9900,0.1768
BA_m3,HASARD,10,0.2500,1,1.0000,0.2666
BA_m3,ATTRACTIF,10,0.3333,1,1.0000,0.4425
BA_m3,BICAMERAL,11,0.0833,1,0.9908,0.2254
BA_m3,BICAMERAL_KICK,11,0.0000,0,0.9908,0.1851
BA_m3,WATCHDOG,11,0.0000,0,0.9917,0.2111
BA_m3,HASARD,11,0.3333,1,0.9992,0.3169
BA_m3,ATTRACTIF,11,0.3333,3,0.9975,0.4935
BA_m3,BICAMERAL,12,0.0000,0,0.9983,0.1641
BA_m3,BICAMERAL_KICK,12,0.4167,3,0.9983,0.3157
BA_m3,WATCHDOG,12,0.4167,3,0.9967,0.3072
BA_m3,HASARD,12,0.2500,1,1.0000,0.2856
BA_m3,ATTRACTIF,12,0.3333,3,0.9950,0.4414
BA_m3,BICAMERAL,13,0.0000,0,0.9925,0.1822
BA_m3,BICAMERAL_KICK,13,0.1667,2,0.9933,0.1982
BA_m3,WATCHDOG,13,0.1667,1,0.9942,0.2108
BA_m3,HASARD,13,0.3333,1,1.0000,0.3169
BA_m3,ATTRACTIF,13,0.2500,2,0.9958,0.4315
BA_m3,BICAMERAL,14,1.0000,3,0.9992,0.2041
BA_m3,BICAMERAL_KICK,14,1.0000,2,0.9992,0.1722
BA_m3,WATCHDOG,14,1.0000,1,1.0000,0.1793
BA_m3,HASARD,14,0.5833,1,1.0000,0.3176
BA_m3,ATTRACTIF,14,0.5000,3,0.9975,0.3871
BA_m3,BICAMERAL,15,0.0000,0,0.9983,0.2034
BA_m3,BICAMERAL_KICK,15,0.5000,3,0.9967,0.3428
BA_m3,WATCHDOG,15,0.4167,4,0.9975,0.3089
BA_m3,HASARD,15,0.2500,1,0.9992,0.2905
BA_m3,ATTRACTIF,15,0.2500,3,0.9967,0.4492
BA_m3,BICAMERAL,16,0.0000,0,0.9942,0.2169
BA_m3,BICAMERAL_KICK,16,0.3333,2,0.9975,0.2790
BA_m3,WATCHDOG,16,0.4167,4,0.9967,0.3208
BA_m3,HASARD,16,0.2500,1,0.9992,0.3172
BA_m3,ATTRACTIF,16,0.4167,3,0.9967,0.3997
BA_m3,BICAMERAL,17,0.0000,0,0.9983,0.2072
BA_m3,BICAMERAL_KICK,17,0.5000,4,0.9967,0.3308
BA_m3,WATCHDOG,17,0.4167,4,0.9983,0.3471
BA_m3,HASARD,17,0.5833,1,0.9983,0.2754
BA_m3,ATTRACTIF,17,0.2500,2,0.9958,0.4032
BA_m3,BICAMERAL,18,0.0000,0,0.9950,0.1796
BA_m3,BICAMERAL_KICK,18,0.2500,2,0.9967,0.2483
BA_m3,WATCHDOG,18,0.3333,1,0.9975,0.2604
BA_m3,HASARD,18,0.4167,1,0.9983,0.3086
BA_m3,ATTRACTIF,18,0.3333,1,0.9992,0.4900
BA_m3,BICAMERAL,19,0.0000,0,0.9925,0.1656
BA_m3,BICAMERAL_KICK,19,0.2500,2,0.9958,0.2432
BA_m3,WATCHDOG,19,0.1667,2,0.9933,0.2209
BA_m3,HASARD,19,0.0833,1,1.0000,0.2757
BA_m3,ATTRACTIF,19,0.2500,3,0.9942,0.5267
BA_m3,BICAMERAL,20,1.0000,4,1.0000,0.2459
BA_m3,BICAMERAL_KICK,20,1.0000,3,0.9983,0.1964
BA_m3,WATCHDOG,20,1.0000,4,0.9992,0.2108
BA_m3,HASARD,20,0.2500,1,1.0000,0.3358
BA_m3,ATTRACTIF,20,0.3333,4,0.9967,0.4594
BA_m3,BICAMERAL,21,1.0000,3,0.9992,0.2115
BA_m3,BICAMERAL_KICK,21,1.0000,3,0.9983,0.1687
BA_m3,WATCHDOG,21,1.0000,2,0.9992,0.1715
BA_m3,HASARD,21,0.4167,1,1.0000,0.3662
BA_m3,ATTRACTIF,21,0.5000,3,0.9983,0.5315
BA_m3,BICAMERAL,22,0.0833,1,0.9992,0.1793
BA_m3,BICAMERAL_KICK,22,0.5000,1,1.0000,0.2975
BA_m3,WATCHDOG,22,0.5000,3,0.9975,0.3127
BA_m3,HASARD,22,0.1667,1,0.9983,0.2750
BA_m3,ATTRACTIF,22,0.3333,4,0.9975,0.4131
BA_m3,BICAMERAL,23,0.1667,2,0.9900,0.2194
BA_m3,BICAMERAL_KICK,23,0.0000,0,0.9917,0.1601
BA_m3,WATCHDOG,23,0.0000,0,0.9900,0.1693
BA_m3,HASARD,23,0.2500,1,1.0000,0.3046
BA_m3,ATTRACTIF,23,0.2500,3,0.9950,0.4709
BA_m3,BICAMERAL,24,0.0000,0,0.9908,0.2399
BA_m3,BICAMERAL_KICK,24,0.0833,1,0.9925,0.1746
BA_m3,WATCHDOG,24,0.0000,0,0.9917,0.1879
BA_m3,HASARD,24,0.2500,1,1.0000,0.2974
BA_m3,ATTRACTIF,24,0.4167,4,0.9992,0.4333
BA_m3,BICAMERAL,25,0.0833,1,0.9950,0.2034
BA_m3,BICAMERAL_KICK,25,0.3333,3,0.9950,0.2473
BA_m3,WATCHDOG,25,0.3333,4,0.9958,0.2667
BA_m3,HASARD,25,0.3333,1,1.0000,0.3085
BA_m3,ATTRACTIF,25,0.4167,3,0.9975,0.4918
BA_m3,BICAMERAL,26,1.0000,3,0.9983,0.1763
BA_m3,BICAMERAL_KICK,26,1.0000,4,0.9983,0.2167
BA_m3,WATCHDOG,26,1.0000,4,0.9975,0.1837
BA_m3,HASARD,26,0.2500,1,1.0000,0.3439
BA_m3,ATTRACTIF,26,0.5833,5,0.9992,0.4664
BA_m3,BICAMERAL,27,1.0000,4,0.9992,0.2257
BA_m3,BICAMERAL_KICK,27,1.0000,4,0.9967,0.1850
BA_m3,WATCHDOG,27,1.0000,4,0.9975,0.1905
BA_m3,HASARD,27,0.2500,1,1.0000,0.2873
BA_m3,ATTRACTIF,27,0.5000,3,0.9992,0.3958
BA_m3,BICAMERAL,28,0.0000,0,0.9958,0.1884
BA_m3,BICAMERAL_KICK,28,0.4167,1,0.9992,0.2924
BA_m3,WATCHDOG,28,0.3333,3,0.9992,0.2840
BA_m3,HASARD,28,0.2500,1,0.9992,0.2981
BA_m3,ATTRACTIF,28,0.3333,3,0.9975,0.4288
BA_m3,BICAMERAL,29,0.0833,1,0.9917,0.1727
BA_m3,BICAMERAL_KICK,29,0.0833,1,0.9950,0.1694
BA_m3,WATCHDOG,29,0.0833,1,0.9917,0.1935
BA_m3,HASARD,29,0.2500,1,1.0000,0.3186
BA_m3,ATTRACTIF,29,0.4167,2,0.9983,0.3974
ER_p06,BICAMERAL,0,1.0000,4,0.9992,0.2349
ER_p06,BICAMERAL_KICK,0,1.0000,9,0.9925,0.3198
ER_p06,WATCHDOG,0,1.0000,8,0.9967,0.3160
ER_p06,HASARD,0,0.3333,1,1.0000,0.3456
ER_p06,ATTRACTIF,0,0.4167,3,0.9983,0.4552
ER_p06,BICAMERAL,1,0.9167,2,1.0000,0.2024
ER_p06,BICAMERAL_KICK,1,1.0000,2,0.9983,0.1998
ER_p06,WATCHDOG,1,1.0000,5,0.9975,0.2112
ER_p06,HASARD,1,0.6667,1,1.0000,0.3394
ER_p06,ATTRACTIF,1,0.5000,3,1.0000,0.3918
ER_p06,BICAMERAL,2,1.0000,3,1.0000,0.2201
ER_p06,BICAMERAL_KICK,2,1.0000,7,0.9950,0.2786
ER_p06,WATCHDOG,2,1.0000,7,0.9975,0.2925
ER_p06,HASARD,2,0.4167,1,1.0000,0.3385
ER_p06,ATTRACTIF,2,0.5000,2,0.9992,0.3622
ER_p06,BICAMERAL,3,1.0000,3,1.0000,0.1867
ER_p06,BICAMERAL_KICK,3,1.0000,6,0.9967,0.3305
ER_p06,WATCHDOG,3,1.0000,6,0.9958,0.2601
ER_p06,HASARD,3,0.0833,1,1.0000,0.2913
ER_p06,ATTRACTIF,3,0.5000,2,0.9992,0.3793
ER_p06,BICAMERAL,4,1.0000,2,1.0000,0.1827
ER_p06,BICAMERAL_KICK,4,1.0000,11,0.9950,0.3580
ER_p06,WATCHDOG,4,1.0000,5,1.0000,0.3069
ER_p06,HASARD,4,0.1667,1,1.0000,0.2795
ER_p06,ATTRACTIF,4,0.5833,1,1.0000,0.3360
ER_p06,BICAMERAL,5,1.0000,2,1.0000,0.1615
ER_p06,BICAMERAL_KICK,5,1.0000,2,0.9992,0.1896
ER_p06,WATCHDOG,5,1.0000,2,0.9992,0.1862
ER_p06,HASARD,5,0.1667,1,0.9992,0.2665
ER_p06,ATTRACTIF,5,0.5000,3,1.0000,0.3743
ER_p06,BICAMERAL,6,1.0000,5,0.9983,0.2174
