m,condition,s_sat,tau_mat,seed,h_cont,h_cog,sync
5,s3_tau0,3.0,0,314,3.303933897670148,0.0,0.008516193194098838
5,s3_tau0,3.0,0,2024,3.2259406343777997,0.0,0.0004379168465628424
5,s3_tau0,3.0,0,888,3.216263388420591,0.0,-0.0006998741702521942
5,s3_tau1,3.0,1,42,3.177799881049664,0.0,0.0009706821659154292
5,s3_tau1,3.0,1,123,3.2464684252343043,0.0,0.003753140234561831
5,s3_tau1,3.0,1,777,3.2204825652000753,0.0,-0.001481833604621619
5,s3_tau1,3.0,1,17,3.1282763931895694,0.0,0.0003590446306216388
5,s3_tau1,3.0,1,256,3.186849331738778,0.0,-0.005240653566906184
5,s3_tau1,3.0,1,1337,3.0636301809889632,0.0,0.005343359687425585
5,s3_tau1,3.0,1,99,3.1490640351107038,0.0,-0.0012357524977194827
5,s3_tau1,3.0,1,314,3.303933897670148,0.0,0.008516193194098838
5,s3_tau1,3.0,1,2024,3.2259406343777997,0.0,0.0004379168465628424
5,s3_tau1,3.0,1,888,3.216263388420591,0.0,-0.0006998741702521942
5,s3_tau3,3.0,3,42,3.1951896122259558,0.0,0.0010726204987507298
5,s3_tau3,3.0,3,123,3.271799180217969,0.0,-0.005469588358641932
5,s3_tau3,3.0,3,777,3.328641849813588,0.0,0.0008943510069354536
5,s3_tau3,3.0,3,17,3.15574064718065,0.0,0.0006422209433719513
5,s3_tau3,3.0,3,256,3.1471993242913165,0.0,0.005419902138816104
5,s3_tau3,3.0,3,1337,3.0687788021828637,0.0,0.0016815515192353412
5,s3_tau3,3.0,3,99,3.1008522964793475,0.0,-0.0011385378672099994
5,s3_tau3,3.0,3,314,3.2680346102980384,0.0,0.005386311917571381
5,s3_tau3,3.0,3,2024,3.247766767164519,0.0,0.00047009642059594217
5,s3_tau3,3.0,3,888,3.2528931144857105,0.0,0.0023399067445367895
5,s3_tau10,3.0,10,42,3.209936529652448,0.0,8.537099139698468e-05
5,s3_tau10,3.0,10,123,3.261404649845657,0.0,-0.0004187896377673692
5,s3_tau10,3.0,10,777,3.2227567588138237,0.0,-0.0046092196158947114
5,s3_tau10,3.0,10,17,3.1235527441701056,0.0,-0.00013835993907718237
5,s3_tau10,3.0,10,256,3.2216784867034374,0.0,0.0026397708138040585
5,s3_tau10,3.0,10,1337,3.1196795699858946,0.0,-0.003696938390562275
5,s3_tau10,3.0,10,99,3.101222772300667,0.0,-0.007804388686591018
5,s3_tau10,3.0,10,314,3.230246110668461,0.0,-0.005750464229715493
5,s3_tau10,3.0,10,2024,3.2163861336353263,0.0,0.0009472823973480015
5,s3_tau10,3.0,10,888,3.243133838959085,0.0,0.0032994172093298523
5,s3_tau30,3.0,30,42,3.1585048661998916,0.0,-0.003552602141453346
5,s3_tau30,3.0,30,123,3.156434767173152,0.0,0.007296010612297964
5,s3_tau30,3.0,30,777,3.227612023832984,0.0,0.003020565578589677
5,s3_tau30,3.0,30,17,3.139928150484309,0.0,0.004236114511929511
5,s3_tau30,3.0,30,256,3.1678709579607998,0.0,0.000533762554742363
5,s3_tau30,3.0,30,1337,3.063181575087902,0.0,-0.000762880486390274
5,s3_tau30,3.0,30,99,3.093958707660871,0.0,-0.0028259498380700386
5,s3_tau30,3.0,30,314,3.26216808644038,0.0,0.0039634187900820265
5,s3_tau30,3.0,30,2024,3.2224015448337924,0.0,-4.893504005813121e-06
5,s3_tau30,3.0,30,888,3.2032858013625556,0.0,-0.00493707817733418
5,s3_tau100,3.0,100,42,3.228115212602718,0.0,0.0009147859311117979
5,s3_tau100,3.0,100,123,3.22570204621911,0.0,-0.0016106711755570619
5,s3_tau100,3.0,100,777,3.204803962236573,0.0,0.00040863752037866496
5,s3_tau100,3.0,100,17,3.1321031923003293,0.0,0.010611725927159504
5,s3_tau100,3.0,100,256,3.1783892516500662,0.0,0.005121958964859987
5,s3_tau100,3.0,100,1337,3.043795699965717,0.0,-0.0004385405234249933
5,s3_tau100,3.0,100,99,3.0988844608264294,0.0,-0.00351535980942223
5,s3_tau100,3.0,100,314,3.2518354964876144,0.0,-0.0030019530708323807
5,s3_tau100,3.0,100,2024,3.2571088288848213,0.0,0.0060777417003274065
5,s3_tau100,3.0,100,888,3.255505134214784,0.0,-0.005912204050335218
