m,condition,s_sat,tau_mat,seed,h_cont,h_cog,sync
3,s1_tau0,1.0,0,1337,3.5971003029877133,0.08498226145847806,0.020348584671284472
3,s1_tau0,1.0,0,99,3.6120162345351665,0.1305096097247603,0.005436238429956473
3,s1_tau0,1.0,0,314,3.697381339493093,0.15385249581904065,0.02288479914291237
3,s1_tau0,1.0,0,2024,3.6551102254028365,0.155790059931532,0.00915567457126554
3,s1_tau0,1.0,0,888,3.709753114757868,0.1999007008991176,0.010174703537915686
3,s1_tau1,1.0,1,42,3.70195803614989,0.16174140100160408,-0.004513377820338028
3,s1_tau1,1.0,1,123,3.759799023909959,0.23982410903432358,0.00931488489542874
3,s1_tau1,1.0,1,777,3.707133046674979,0.19085440087438885,0.013438417517995106
3,s1_tau1,1.0,1,17,3.69765913736999,0.16763239910214522,0.0074668779803452705
3,s1_tau1,1.0,1,256,3.6135874617680233,0.14054992671897146,0.0100835980940058
3,s1_tau1,1.0,1,1337,3.5971003029877133,0.08498226145847806,0.020348584671284444
3,s1_tau1,1.0,1,99,3.6120162345351665,0.1305096097247603,0.0054362384299564874
3,s1_tau1,1.0,1,314,3.697381339493093,0.15385249581904065,0.02288479914291238
3,s1_tau1,1.0,1,2024,3.6551102254028365,0.155790059931532,0.009155674571265524
3,s1_tau1,1.0,1,888,3.709753114757868,0.1999007008991176,0.010174703537915676
3,s1_tau3,1.0,3,42,3.711672746394326,0.1815307789593347,-0.007290983355269001
3,s1_tau3,1.0,3,123,3.7254856895202737,0.258052641200711,0.004440146688253374
3,s1_tau3,1.0,3,777,3.6779910184843114,0.19210087392076255,0.00967074556253983
3,s1_tau3,1.0,3,17,3.68503031592309,0.17779113509753658,0.014368558383978755
3,s1_tau3,1.0,3,256,3.615415377308869,0.1541458151344451,0.01304978244286664
3,s1_tau3,1.0,3,1337,3.5736017960086337,0.08616420218197297,0.014821272607195887
3,s1_tau3,1.0,3,99,3.6461613905784196,0.13446463818778479,0.0028122306976259507
3,s1_tau3,1.0,3,314,3.6841237178536193,0.16413202927464765,0.024067465940362825
3,s1_tau3,1.0,3,2024,3.663675957181352,0.16320525491214924,0.011469861964132104
3,s1_tau3,1.0,3,888,3.7282390892053354,0.19088414106925602,0.007060997338329177
3,s1_tau10,1.0,10,42,3.7156415312369684,0.18121885445366614,0.0017955016279962868
3,s1_tau10,1.0,10,123,3.7053185205515864,0.22603684272750652,0.012185197299040733
3,s1_tau10,1.0,10,777,3.7063632028230327,0.18821563184903184,0.01737584942884948
3,s1_tau10,1.0,10,17,3.699516466650557,0.18001300940702009,0.006160169093665464
3,s1_tau10,1.0,10,256,3.639183124784031,0.15625720093093268,0.01613154618081105
3,s1_tau10,1.0,10,1337,3.5899995628996386,0.0871751971743105,0.007553670114028405
3,s1_tau10,1.0,10,99,3.6183060463981835,0.11536405371027736,-0.001446959052636716
3,s1_tau10,1.0,10,314,3.691616256418563,0.16522269306702664,0.0186550608891203
3,s1_tau10,1.0,10,2024,3.6808507710544687,0.1704511310847921,0.0034365048162741853
3,s1_tau10,1.0,10,888,3.723773180524731,0.20801827029355655,0.0035596887068051596
3,s1_tau30,1.0,30,42,3.680321920785381,0.17386356657434043,0.0007444714029914059
3,s1_tau30,1.0,30,123,3.717787769502855,0.21753219373572322,0.0014599261822161103
3,s1_tau30,1.0,30,777,3.678115046977043,0.18311952349115965,0.011749955194634424
3,s1_tau30,1.0,30,17,3.6883875065829517,0.1707681601134861,0.010085535205934214
3,s1_tau30,1.0,30,256,3.6176676738471443,0.1406854574242179,0.028936148914274772
3,s1_tau30,1.0,30,1337,3.547004057205394,0.09081022873030878,0.008633226130905506
3,s1_tau30,1.0,30,99,3.587630588907902,0.11781775032642047,0.00021874286758612272
3,s1_tau30,1.0,30,314,3.6763180934801776,0.17151136708585207,0.014022828626251083
3,s1_tau30,1.0,30,2024,3.6463928544788904,0.14400206625371367,0.013461683878664726
3,s1_tau30,1.0,30,888,3.702435454873527,0.20032836224383818,0.010347711296234305
3,s1_tau100,1.0,100,42,3.664650648666884,0.1670794997131693,0.00041125175984514016
3,s1_tau100,1.0,100,123,3.72725817231729,0.24162061423522715,0.01904975593465969
3,s1_tau100,1.0,100,777,3.673785599829672,0.1825848657082867,0.00656668251509916
