m,nu,ablation,elapsed_hours,seed,h_cont,h_cog,sync
3,0.05,FROZEN_U,100,1337,4.593485253280445,1.2789425881226815,0.4795003295299625
3,0.05,FROZEN_U,100,99,4.369201592442207,1.1116979440919412,0.6606426475112622
3,0.05,FROZEN_U,100,314,4.500752192289715,1.2112276723888777,0.5245797611544235
3,0.05,FROZEN_U,100,2024,4.690815469563086,1.3144214916153094,0.4636587508186127
3,0.05,FROZEN_U,100,888,4.300284109491884,1.1286508136087772,0.5920417621644155
3,0.05,FROZEN_U,1000,42,4.510801483389176,1.2064299762808763,0.4659079721647458
3,0.05,FROZEN_U,1000,123,4.225275290465056,1.0221574391716393,0.6483914021859626
3,0.05,FROZEN_U,1000,777,4.35691505799192,1.0960935506460714,0.5793526119294976
3,0.05,FROZEN_U,1000,17,4.819697653013697,1.4204286250531515,0.29815976636316593
3,0.05,FROZEN_U,1000,256,4.463135347271913,1.1546912715256867,0.5174358939270207
3,0.05,FROZEN_U,1000,1337,4.558164650257025,1.232393385125631,0.45768498274161096
3,0.05,FROZEN_U,1000,99,4.511573636004298,1.1639086129681808,0.5752171493230486
3,0.05,FROZEN_U,1000,314,4.752423414677257,1.3457618537447698,0.39684234825628073
3,0.05,FROZEN_U,1000,2024,4.682198229093445,1.3292793636836238,0.38608301739553436
3,0.05,FROZEN_U,1000,888,4.586357577605955,1.2282608352220787,0.5115307224362181
3,0.05,FROZEN_U,10000,42,4.536569200748483,1.2132204328531846,0.4632853319526382
3,0.05,FROZEN_U,10000,123,4.534874365998029,1.1918118881938142,0.5068199337601587
3,0.05,FROZEN_U,10000,777,4.66989134293393,1.2817918140210165,0.4572197357104976
3,0.05,FROZEN_U,10000,17,4.810065850579416,1.4296757832635691,0.26956459905360386
3,0.05,FROZEN_U,10000,256,4.6982428261267986,1.2937365705327473,0.4047639636032678
3,0.05,FROZEN_U,10000,1337,4.6100697295684965,1.2817502111168055,0.3808811610003862
3,0.05,FROZEN_U,10000,99,4.636664063450808,1.255205941336969,0.48799622278890564
3,0.05,FROZEN_U,10000,314,4.801375566413861,1.3959794145283706,0.32991412165422673
3,0.05,FROZEN_U,10000,2024,4.658371003554274,1.3039737538740053,0.3654244823152053
3,0.05,FROZEN_U,10000,888,4.304104177703027,1.1055673832802877,0.5229387647861156
3,0.05,FROZEN_U,100000,42,4.447193503262742,1.1484280861139518,0.5234051807065141
3,0.05,FROZEN_U,100000,123,4.445949718409726,1.2148378327955303,0.4229798111097625
3,0.05,FROZEN_U,100000,777,4.449101551715506,1.1839951808111473,0.43762562941235866
3,0.05,FROZEN_U,100000,17,4.755307142112749,1.377353582778249,0.3098530731986721
3,0.05,FROZEN_U,100000,256,4.730540989911265,1.3212507123563448,0.36861395448119466
3,0.05,FROZEN_U,100000,1337,4.410121677527613,1.184754278975926,0.39912958893703937
3,0.05,FROZEN_U,100000,99,4.685373821976873,1.2895903933537063,0.4356357629288453
3,0.05,FROZEN_U,100000,314,4.799908179215204,1.3996016789470294,0.3011460125013397
3,0.05,FROZEN_U,100000,2024,4.769059927786663,1.3700686824293178,0.35225680347425153
3,0.05,FROZEN_U,100000,888,4.390384361999201,1.0881736123582426,0.6085549524063906
3,0.05,FROZEN_U,1000000,42,4.558958439245332,1.217836991120882,0.4951453772768256
3,0.05,FROZEN_U,1000000,123,4.570961712219341,1.253247474456456,0.41425116949983976
3,0.05,FROZEN_U,1000000,777,4.582782157099793,1.257657613247374,0.40487283051192935
