topology,ba_m,seed,target,target_deg,i_event,t_event,sync_pre,sync_event,sync_post,sync_surge,h_pre,h_post,delta_H,lz_pre,lz_post,delta_LZ
BA_m3_fonctionnel,3,1,peripheral,3,1.5,50,0.9554157968396074,0.9813912233069865,0.9665015794013103,0.025975426467379048,4.3402353238031655,3.2957394696300275,-1.044495854173138,1.133441865975569,1.2071886696820684,0.07374680370649944
BA_m3_fonctionnel,3,1,peripheral,3,1.5,150,0.9534217364189325,0.9175866869102799,0.9677945399244101,-0.03583504950865257,4.259361095147277,3.3732293780328835,-0.8861317171143934,1.1141746830252222,1.239743565011963,0.12556888198674088
BA_m3_fonctionnel,3,1,peripheral,3,1.5,300,0.9428858343758638,0.8751109987883652,0.9726262573064848,-0.06777483558749864,4.439867959049565,3.2152698167158227,-1.224598142333742,1.169318689400352,1.1832707873988793,0.013952097998527258
BA_m3_fonctionnel,3,1,peripheral,3,3.0,50,0.970592098976125,0.9861739051118131,0.9717340981465715,0.015581806135688159,4.344498141143572,3.4430410391735404,-0.9014571019700317,1.1188253823580647,1.20652428406309,0.08769890170502537
BA_m3_fonctionnel,3,1,peripheral,3,3.0,150,0.9603852617891175,0.935512739467902,0.9694149954017803,-0.024872522321215507,4.409927557019117,3.183791282969621,-1.2261362740494959,1.122147310452952,1.2098462121579774,0.08769890170502537
BA_m3_fonctionnel,3,1,peripheral,3,3.0,300,0.9668223402896589,0.9085088904599002,0.9758605606519479,-0.05831344982975861,4.380629005494391,3.3326221474910223,-1.0480068580033683,1.120818539214997,1.1779557024470595,0.05713716323206253
BA_m3_fonctionnel,3,1,hub,37,0.3,50,0.9515796912729338,0.976962102299902,0.9684542607262887,0.025382411026968144,4.5480191268592485,3.2401349849722414,-1.307884141887007,1.1653323756864875,1.2085174409200223,0.043185065233534825
BA_m3_fonctionnel,3,1,hub,37,0.3,150,0.9240927471730119,0.9210112985635486,0.9685726973287089,-0.0030814486094633553,4.309992121953152,3.361023506088057,-0.9489686158650947,1.1088595980734026,1.1978872710163833,0.08902767294298064
BA_m3_fonctionnel,3,1,hub,37,0.3,300,0.9631382647517854,0.885361046243632,0.9752095218132848,-0.07777721850815345,4.43952144343649,3.131959081153532,-1.3075623622829582,1.1081952124544248,1.2257914670134369,0.11759625455901213
BA_m3_fonctionnel,3,1,hub,37,0.8,50,0.9612244750393979,0.9734437841108051,0.9647909963596981,0.012219309071407225,4.33256052431253,3.141886918272687,-1.190673606039843,1.1194897679770417,1.2251270813944595,0.10563731341741778
BA_m3_fonctionnel,3,1,hub,37,0.8,150,0.976419720324958,0.8887781999940761,0.9556815143923396,-0.0876415203308819,4.440939340077662,3.2181338685404866,-1.2228054715371757,1.1261336241668165,1.21449691149082,0.08836328732400345
BA_m3_fonctionnel,3,1,hub,37,0.8,300,0.9688010748515968,0.7659259499061448,0.9724564833712295,-0.202875124945452,4.463192393346446,3.255811790085941,-1.2073806032605052,1.0390991080807677,1.1659967613054647,0.12689765322469704
BA_m3_fonctionnel,3,1,hub,37,1.5,50,0.9705287534450773,0.9058203953075911,0.9661022604264997,-0.06470835813748621,4.609962881063729,3.0111833892584943,-1.5987794918052347,1.095571885693853,1.2218051532995722,0.12623326760571918
BA_m3_fonctionnel,3,1,hub,37,1.5,150,0.9706216976037285,0.9236614879040365,0.9672467419624474,-0.04696020969969206,4.358089731570056,3.167857766281076,-1.1902319652889797,1.1234760816909068,1.2291133951083244,0.10563731341741756
BA_m3_fonctionnel,3,1,hub,37,1.5,300,0.9622533300817616,0.8834564770012012,0.9726180931959004,-0.07879685308056039,4.490936183121007,3.2117450596857373,-1.2791911234352695,1.185263944255812,1.1919078004455865,0.0066438561897745885
BA_m3_fonctionnel,3,1,hub,37,3.0,50,0.9778988736350837,0.9284418271009964,0.9649150401208916,-0.04945704653408722,4.492640902665621,3.0912140069035434,-1.4014268957620777,1.0696608465537318,1.1965584997784287,0.12689765322469682
BA_m3_fonctionnel,3,1,hub,37,3.0,150,0.9771408103478172,0.9256020080588679,0.9675862459406144,-0.05153880228894925,4.242367248106791,3.179263925233627,-1.0631033228731637,1.1075308268354476,1.2277846238703705,0.1202537970349229
BA_m3_fonctionnel,3,1,hub,37,3.0,300,0.9583799912338045,0.8991107141419734,0.9739142135509298,-0.05926927709183105,4.355205295971923,3.134289640737031,-1.2209156552348923,1.1287911666427268,1.191907800445586,0.06311663380285926
BA_m3_fonctionnel,3,2,peripheral,3,0.3,50,0.9692804358697643,0.9861787321035131,0.9671220678102354,0.016898296233748833,4.278672543386097,3.2649090479422727,-1.0137634954438246,1.1733050031142176,1.198551656635361,0.025246653521143303
