base_topo,family,oracle,c_doubt,c_conv
LATTICE,CONTRADICTION,1551,311,81
LATTICE,EVIDENCE,1309,167,85
LATTICE,CONTRADICTION,1149,176,115
LATTICE,TOPOLOGIE,1058,166,81
LATTICE,EVIDENCE,1659,156,81
LATTICE,CONTRADICTION,2000,411,144
LATTICE,EVIDENCE,1842,149,81
LATTICE,TOPOLOGIE,1397,2000,102
LATTICE,TOPOLOGIE,1764,2000,107
LATTICE,EVIDENCE,1872,168,81
LATTICE,TOPOLOGIE,646,227,81
LATTICE,CONTRADICTION,2000,425,238
LATTICE,CONTRADICTION,1509,277,81
LATTICE,EVIDENCE,2000,170,87
LATTICE,EVIDENCE,1355,164,84
LATTICE,CONTRADICTION,2000,200,137
LATTICE,EVIDENCE,2000,166,81
LATTICE,TOPOLOGIE,1833,166,81
LATTICE,CONTRADICTION,2000,269,111
LATTICE,TOPOLOGIE,1,207,81
LATTICE,TOPOLOGIE,1794,160,95
BA_m3,EVIDENCE,652,147,81
BA_m3,EVIDENCE,722,2000,81
BA_m3,CONTRADICTION,895,878,81
BA_m3,EVIDENCE,874,2000,81
BA_m3,TOPOLOGIE,987,161,81
BA_m3,EVIDENCE,918,158,81
BA_m3,CONTRADICTION,1766,2000,137
BA_m3,TOPOLOGIE,1,2000,81
BA_m3,CONTRADICTION,1959,2000,127
BA_m3,TOPOLOGIE,873,155,90
BA_m3,TOPOLOGIE,2000,271,97
BA_m3,CONTRADICTION,875,2000,81
BA_m3,EVIDENCE,1935,697,81
BA_m3,CONTRADICTION,2000,2000,128
BA_m3,TOPOLOGIE,1,171,88
BA_m3,EVIDENCE,827,2000,81
BA_m3,TOPOLOGIE,873,1466,140
BA_m3,CONTRADICTION,996,2000,101
BA_m3,TOPOLOGIE,1,179,81
BA_m3,EVIDENCE,908,2000,96
BA_m3,TOPOLOGIE,1,186,121
BA_m3,CONTRADICTION,2000,2000,132
BA_m3,CONTRADICTION,831,2000,147
BA_m3,EVIDENCE,946,789,81
BA_m3,EVIDENCE,1058,181,81
BA_m3,CONTRADICTION,1061,2000,163
BA_m3,TOPOLOGIE,1717,2000,133
BA_m3,EVIDENCE,642,2000,81
BA_m3,CONTRADICTION,770,2000,142
BA_m3,TOPOLOGIE,2000,2000,81
BA_m3,CONTRADICTION,1933,2000,108
BA_m3,CONTRADICTION,2000,2000,81
BA_m3,TOPOLOGIE,1057,2000,81
BA_m3,TOPOLOGIE,2000,265,111
BA_m3,EVIDENCE,1149,2000,81
BA_m3,EVIDENCE,807,2000,81
BA_m3,EVIDENCE,896,177,81
BA_m3,TOPOLOGIE,1174,476,169
BA_m3,CONTRADICTION,949,2000,134
BA_m3,TOPOLOGIE,1,179,81
BA_m3,EVIDENCE,983,204,81
BA_m3,CONTRADICTION,2000,2000,81
BA_m3,EVIDENCE,1428,2000,81
BA_m3,CONTRADICTION,556,2000,81
BA_m3,EVIDENCE,1814,2000,103
BA_m3,TOPOLOGIE,860,170,95
BA_m3,CONTRADICTION,2000,2000,146
BA_m3,TOPOLOGIE,2000,283,86
BA_m3,EVIDENCE,701,2000,81
BA_m3,TOPOLOGIE,1808,2000,103
BA_m3,CONTRADICTION,852,2000,140
BA_m3,TOPOLOGIE,1,183,130
BA_m3,TOPOLOGIE,2000,253,112
BA_m3,CONTRADICTION,659,2000,81
BA_m3,EVIDENCE,1057,261,98
BA_m3,TOPOLOGIE,1,197,194
BA_m3,CONTRADICTION,1781,2000,81
BA_m3,EVIDENCE,1532,801,81
BA_m3,EVIDENCE,1,2000,81
BA_m3,CONTRADICTION,642,2000,81
BA_m3,CONTRADICTION,1850,189,112
BA_m3,EVIDENCE,745,192,113
BA_m3,CONTRADICTION,747,2000,135
BA_m3,TOPOLOGIE,1573,151,81
BA_m3,EVIDENCE,771,2000,81
BA_m3,CONTRADICTION,870,639,147
BA_m3,EVIDENCE,908,2000,131
BA_m3,CONTRADICTION,683,2000,121
BA_m3,TOPOLOGIE,1991,2000,109
BA_m3,TOPOLOGIE,1320,295,166
BA_m3,EVIDENCE,361,2000,81
BA_m3,TOPOLOGIE,1,171,96
BA_m3,TOPOLOGIE,1,177,81
BA_m3,EVIDENCE,938,2000,81
BA_m3,CONTRADICTION,2000,2000,103
BA_m3,TOPOLOGIE,2000,298,139
BA_m3,EVIDENCE,666,2000,81
BA_m3,CONTRADICTION,2000,2000,104
BA_m3,EVIDENCE,890,194,81
BA_m3,EVIDENCE,685,2000,98
BA_m3,TOPOLOGIE,1,178,81
BA_m3,TOPOLOGIE,1884,2000,91
BA_m3,CONTRADICTION,2000,2000,81
BA_m3,CONTRADICTION,2000,2000,112
BA_m3,EVIDENCE,819,663,81
BA_m3,CONTRADICTION,2000,2000,172
BA_m3,CONTRADICTION,647,2000,81
BA_m3,CONTRADICTION,2000,2000,147
BA_m3,EVIDENCE,676,2000,81
BA_m3,TOPOLOGIE,1,175,133
BA_m3,CONTRADICTION,2000,2000,127
BA_m3,EVIDENCE,1220,2000,81
BA_m3,TOPOLOGIE,2000,288,124
BA_m3,EVIDENCE,531,172,81
BA_m3,TOPOLOGIE,2000,300,148
BA_m3,TOPOLOGIE,2000,283,195
BA_m3,EVIDENCE,1875,172,81
BA_m3,EVIDENCE,1200,2000,87
BA_m3,TOPOLOGIE,2000,340,92
BA_m3,CONTRADICTION,2000,2000,107
BA_m3,TOPOLOGIE,1367,168,82
BA_m3,EVIDENCE,1277,2000,90
BA_m3,EVIDENCE,945,180,81
BA_m3,CONTRADICTION,2000,2000,162
BA_m3,TOPOLOGIE,1782,160,117
BA_m3,CONTRADICTION,1257,1212,173
BA_m3,CONTRADICTION,685,673,180
BA_m3,TOPOLOGIE,1540,164,81
BA_m3,EVIDENCE,826,158,81
BA_m3,EVIDENCE,945,169,81
BA_m3,CONTRADICTION,2000,2000,134
BA_m3,CONTRADICTION,2000,2000,193
BA_m3,TOPOLOGIE,1032,2000,107
BA_m3,TOPOLOGIE,1819,160,130
BA_m3,EVIDENCE,642,193,84
BA_m3,CONTRADICTION,2000,2000,155
BA_m3,EVIDENCE,916,2000,81
BA_m3,CONTRADICTION,2000,2000,121
BA_m3,TOPOLOGIE,665,174,81
BA_m3,TOPOLOGIE,1367,156,81
BA_m3,CONTRADICTION,799,2000,82
BA_m3,TOPOLOGIE,1700,169,81
BA_m3,EVIDENCE,978,2000,81
BA_m3,CONTRADICTION,1022,2000,125
BA_m3,CONTRADICTION,2000,2000,160
BA_m3,TOPOLOGIE,2000,2000,112
BA_m3,CONTRADICTION,2000,2000,176
BA_m3,TOPOLOGIE,1533,169,117
BA_m3,EVIDENCE,1013,158,81
BA_m3,EVIDENCE,1483,2000,113
BA_m3,TOPOLOGIE,1623,2000,84
BA_m3,EVIDENCE,1984,2000,81
BA_m3,CONTRADICTION,865,700,99
BA_m3,TOPOLOGIE,2000,306,107
BA_m3,EVIDENCE,798,195,93
BA_m3,CONTRADICTION,456,2000,161
BA_m3,EVIDENCE,692,178,125
BA_m3,CONTRADICTION,2000,2000,152
BA_m3,TOPOLOGIE,1932,187,222
BA_m3,EVIDENCE,981,131,81
BA_m3,EVIDENCE,891,2000,81
BA_m3,CONTRADICTION,2000,2000,91
BA_m3,TOPOLOGIE,905,2000,95
BA_m3,TOPOLOGIE,1,170,115
BA_m3,CONTRADICTION,979,2000,104
BA_m3,TOPOLOGIE,1,2000,105
BA_m3,EVIDENCE,2000,2000,81
BA_m3,TOPOLOGIE,2000,302,226
BA_m3,CONTRADICTION,757,2000,109
BA_m3,CONTRADICTION,2000,2000,125
BA_m3,CONTRADICTION,2000,2000,147
BA_m3,EVIDENCE,781,2000,89
BA_m3,EVIDENCE,2000,2000,81
BA_m3,TOPOLOGIE,2000,193,81
BA_m3,TOPOLOGIE,1,2000,120
BA_m3,EVIDENCE,882,2000,81
BA_m3,CONTRADICTION,2000,2000,106
BA_m3,CONTRADICTION,1917,2000,169
BA_m3,CONTRADICTION,2000,2000,121
BA_m3,CONTRADICTION,2000,2000,96
BA_m3,EVIDENCE,637,2000,81
BA_m3,EVIDENCE,1432,2000,81
BA_m3,TOPOLOGIE,868,2000,121
BA_m3,EVIDENCE,2000,2000,81
BA_m3,TOPOLOGIE,2000,313,151
BA_m3,EVIDENCE,519,195,81
BA_m3,TOPOLOGIE,1532,162,81
BA_m3,TOPOLOGIE,1922,169,83
BA_m3,TOPOLOGIE,1,168,124
BA_m3,CONTRADICTION,1918,2000,93
BA_m3,TOPOLOGIE,1244,210,81
BA_m3,CONTRADICTION,2000,2000,128
BA_m3,EVIDENCE,1139,2000,81
BA_m3,TOPOLOGIE,1,189,81
BA_m3,EVIDENCE,1301,167,81
BA_m3,EVIDENCE,991,2000,81
BA_m3,CONTRADICTION,626,2000,206
BA_m3,CONTRADICTION,1756,669,81
BA_m3,TOPOLOGIE,1974,174,99
BA_m3,EVIDENCE,864,1065,81
BA_m3,CONTRADICTION,2000,2000,132
BA_m3,CONTRADICTION,2000,2000,81
BA_m3,TOPOLOGIE,1763,149,81
BA_m3,EVIDENCE,659,2000,81
BA_m3,EVIDENCE,753,725,91
BA_m3,TOPOLOGIE,2000,186,150
BA_m3,EVIDENCE,1414,2000,81
BA_m3,CONTRADICTION,767,743,81
