N,m,seed,D,lambda2,H_cont,H_cont_std,sync,u_mean,u_std
100,1,256,0.15,0.01623348402319481,3.760012876878669,0.6648160873007318,0.4481837224456127,0.3869916089196576,0.3769128951493739
100,2,42,0.15,0.6126087063473932,4.479887515257081,0.11820158214064794,0.0015790567965323044,0.9989854618347261,0.005879966381471383
100,2,123,0.15,0.5906747217679411,4.77118493538033,0.08983766913875489,0.00174347288582474,0.9989700840387437,0.004656449743473436
100,2,777,0.15,0.6001108544839653,4.522828488127507,0.18163859534395255,0.00884935387452361,0.999199198335614,0.0018211481272483027
100,2,17,0.15,0.5519485368912753,4.897974610576211,0.09634427007094507,0.02091464286812644,0.9993754417120893,0.0018227317632846182
100,2,256,0.15,0.6339350995084613,4.852651381100841,0.0769578359213475,0.04257527404016673,0.9993125480714582,0.0018915205397893012
100,3,123,0.15,1.3168471700685211,4.3185955657286925,0.14214369389810944,-0.005107676470516246,0.9999837214380993,0.00016196964585397605
100,3,17,0.15,1.3593410636842016,4.2630198945337305,0.13621596641746564,-0.007803853054647862,0.999908629055387,0.00047550840156943176
100,3,777,0.15,1.4678200272247544,4.159612504854558,0.12910455827905362,-0.006594357540503698,0.9999747877147434,0.0002508590709117206
100,3,42,0.15,1.4121160316017192,4.044352062181537,0.11367419045623291,-0.0017119744586014535,0.999959403009226,0.0003270436201600663
100,3,256,0.15,1.4258393161444245,4.163633695275425,0.16061956864556906,-0.0065557723162943775,0.9999978992554474,2.090214438451362e-05
100,4,17,0.15,2.1073420406252428,3.9495675039406977,0.16499047568012923,-0.00944395983200151,1.0,0.0
100,4,123,0.15,2.0812888794442292,3.8834736373472314,0.218762228885642,-0.006345356175968742,0.9999645631438014,0.00035259226728077606
100,4,777,0.15,2.286408935270917,3.886316824616599,0.13456782571121031,-0.008065468186823391,0.9999888995648213,7.841717004407415e-05
100,4,42,0.15,2.1120905975510933,3.9951839683406334,0.1628745270844043,-0.00846805689686808,1.0,0.0
100,4,256,0.15,2.3222345312129327,3.8006442552213877,0.15483592501755025,-0.007900451749254262,0.999966810498345,0.0003302313719050457
100,5,123,0.15,3.047942285947553,3.0726487133637037,0.31863944901755686,-0.006843428005506325,1.0,0.0
100,5,777,0.15,3.0341641685803475,3.3421589062455506,0.2427299991446996,-0.007026373572148647,1.0,0.0
