kind,seed,rule,param,stop_iter,success,network_node_steps
easy,6,M4R_SIG,(5; 0.7),39,0,19500
easy,6,M4R_U,(10; 0.3),2000,1,2000000
easy,6,M4R_SIG,(10; 0.3),36,0,36000
easy,6,M4R_U,(10; 0.5),2000,1,2000000
easy,6,M4R_SIG,(10; 0.5),34,0,34000
easy,6,M4R_U,(10; 0.7),1194,1,1194000
easy,6,M4R_SIG,(10; 0.7),28,0,28000
easy,7,TOL,0.02,90,1,0
easy,7,TOL,0.01,104,1,0
easy,7,TOL,0.005,117,1,0
easy,7,TOL,0.002,135,1,0
easy,7,PATIENCE,50,2000,1,0
easy,7,PATIENCE,100,2000,1,0
easy,7,PATIENCE,200,2000,1,0
easy,7,PATIENCE,400,2000,1,0
easy,7,PATIENCE,800,2000,1,0
easy,7,PATIENCE,1600,2000,1,0
easy,7,FIXED,200,200,1,0
easy,7,FIXED,400,400,1,0
easy,7,FIXED,600,600,1,0
easy,7,FIXED,800,800,1,0
easy,7,FIXED,1000,1000,1,0
easy,7,FIXED,1200,1200,1,0
easy,7,FIXED,1400,1400,1,0
easy,7,FIXED,1600,1600,1,0
easy,7,FIXED,1800,1800,1,0
easy,7,FIXED,2000,2000,1,0
easy,7,M4R_U,(2; 0.3),2000,1,400000
easy,7,M4R_SIG,(2; 0.3),89,1,17800
easy,7,M4R_U,(2; 0.5),2000,1,400000
easy,7,M4R_SIG,(2; 0.5),77,1,15400
easy,7,M4R_U,(2; 0.7),2000,1,400000
easy,7,M4R_SIG,(2; 0.7),61,0,12200
easy,7,M4R_U,(5; 0.3),2000,1,1000000
easy,7,M4R_SIG,(5; 0.3),51,0,25500
easy,7,M4R_U,(5; 0.5),2000,1,1000000
easy,7,M4R_SIG,(5; 0.5),46,0,23000
easy,7,M4R_U,(5; 0.7),2000,1,1000000
easy,7,M4R_SIG,(5; 0.7),38,0,19000
easy,7,M4R_U,(10; 0.3),2000,1,2000000
easy,7,M4R_SIG,(10; 0.3),36,0,36000
easy,7,M4R_U,(10; 0.5),2000,1,2000000
easy,7,M4R_SIG,(10; 0.5),33,0,33000
easy,7,M4R_U,(10; 0.7),1555,1,1555000
easy,7,M4R_SIG,(10; 0.7),28,0,28000
easy,8,TOL,0.02,90,1,0
easy,8,TOL,0.01,104,1,0
easy,8,TOL,0.005,117,1,0
easy,8,TOL,0.002,135,1,0
easy,8,PATIENCE,50,2000,1,0
easy,8,PATIENCE,100,2000,1,0
easy,8,PATIENCE,200,2000,1,0
easy,8,PATIENCE,400,2000,1,0
easy,8,PATIENCE,800,2000,1,0
easy,8,PATIENCE,1600,2000,1,0
easy,8,FIXED,200,200,1,0
easy,8,FIXED,400,400,1,0
easy,8,FIXED,600,600,1,0
easy,8,FIXED,800,800,1,0
easy,8,FIXED,1000,1000,1,0
easy,8,FIXED,1200,1200,1,0
easy,8,FIXED,1400,1400,1,0
easy,8,FIXED,1600,1600,1,0
easy,8,FIXED,1800,1800,1,0
easy,8,FIXED,2000,2000,1,0
easy,8,M4R_U,(2; 0.3),2000,1,400000
easy,8,M4R_SIG,(2; 0.3),88,1,17600
easy,8,M4R_U,(2; 0.5),2000,1,400000
easy,8,M4R_SIG,(2; 0.5),78,1,15600
easy,8,M4R_U,(2; 0.7),2000,1,400000
easy,8,M4R_SIG,(2; 0.7),62,0,12400
easy,8,M4R_U,(5; 0.3),2000,1,1000000
easy,8,M4R_SIG,(5; 0.3),51,0,25500
easy,8,M4R_U,(5; 0.5),2000,1,1000000
easy,8,M4R_SIG,(5; 0.5),46,0,23000
easy,8,M4R_U,(5; 0.7),2000,1,1000000
easy,8,M4R_SIG,(5; 0.7),36,0,18000
easy,8,M4R_U,(10; 0.3),2000,1,2000000
easy,8,M4R_SIG,(10; 0.3),35,0,35000
easy,8,M4R_U,(10; 0.5),2000,1,2000000
easy,8,M4R_SIG,(10; 0.5),33,0,33000
easy,8,M4R_U,(10; 0.7),1167,1,1167000
easy,8,M4R_SIG,(10; 0.7),27,0,27000
easy,9,TOL,0.02,90,1,0
easy,9,TOL,0.01,104,1,0
easy,9,TOL,0.005,117,1,0
easy,9,TOL,0.002,135,1,0
easy,9,PATIENCE,50,2000,1,0
easy,9,PATIENCE,100,2000,1,0
easy,9,PATIENCE,200,2000,1,0
easy,9,PATIENCE,400,2000,1,0
easy,9,PATIENCE,800,2000,1,0
easy,9,PATIENCE,1600,2000,1,0
easy,9,FIXED,200,200,1,0
easy,9,FIXED,400,400,1,0
easy,9,FIXED,600,600,1,0
easy,9,FIXED,800,800,1,0
easy,9,FIXED,1000,1000,1,0
easy,9,FIXED,1200,1200,1,0
easy,9,FIXED,1400,1400,1,0
easy,9,FIXED,1600,1600,1,0
easy,9,FIXED,1800,1800,1,0
