topo,lambda2,sigma,h_cog_mean,h_cog_std,h_cont_mean,h_cont_std,lz_mean,lz_std,sync_mean,sync_std
BA_m5,2.989937008002745,0.3,0.0,0.0,2.769426351013242,0.0370000516889538,1.0705153347584127,0.0634246236385288,0.06244183461738793,0.026767839796700964
BA_m5,2.989937008002745,0.5,0.0,0.0,3.1045441023896316,0.035328276727586955,1.4139916521435456,0.027993548324743964,0.06046059700560238,0.031706228740718496
BA_m5,2.989937008002745,0.8,0.0,0.0,3.490869880523516,0.003945639485030122,1.4820209854861244,0.08251747667111779,0.037139420358139295,0.014065184220143688
BA_m5,2.989937008002745,1.2,0.0062132850563304245,0.004535117523651543,3.92898880753366,0.012022715455741514,1.5698323610578797,0.031156189760447598,0.012262369752301829,0.008523788269457397
BA_m8,5.863867825037319,0.0,0.0,0.0,2.1729126397615377,0.05852863224401995,0.731086827994432,0.003378576698390987,0.13942328513719357,0.07799444668869752
BA_m8,5.863867825037319,0.01,0.0,0.0,2.2017327482515268,0.07383634674180681,0.7249498247946217,0.018922273231565513,0.1537308992308031,0.024977078833815846
BA_m8,5.863867825037319,0.03,0.0,0.0,2.172885234705319,0.028015971723489408,0.7417286526919757,0.020524099191889876,0.1439744835714364,0.04787213026127158
BA_m8,5.863867825037319,0.07,0.0,0.0,2.2058719758397003,0.05715096028352279,0.7439484198068008,0.008195567738454835,0.18611106404907518,0.0040149387757274484
BA_m8,5.863867825037319,0.15,0.0,0.0,2.234164023662735,0.05749688734660611,0.8275814102212383,0.017751414898165917,0.1603017784226326,0.03446682262459373
BA_m8,5.863867825037319,0.3,0.0,0.0,2.4345656588717484,0.03445874900478483,1.0378064134487852,0.05942769766895456,0.11934105456207052,0.03602272446910126
BA_m8,5.863867825037319,0.5,0.0,0.0,2.8091650499007472,0.019629462781522864,1.486199370643442,0.02140964537115608,0.09849286135372859,0.029462329841156522
BA_m8,5.863867825037319,0.8,0.0,0.0,3.283893601985268,0.006607304768041008,1.6231067718136796,0.04115553201232806,0.0471564290402165,0.013794113518014968
BA_m8,5.863867825037319,1.2,0.0,0.0,3.7240535485111317,0.0026797115133998296,1.6471324864682562,0.04489020761569009,0.019250362001991508,0.01087413291812618
Lattice_10x10,0.38196601125010426,0.0,0.35119873938044016,0.01134446901583097,3.7265978824919865,0.06954486523752004,0.749301975789614,0.026426266782520972,0.19713910430353712,0.048550626835046816
Lattice_10x10,0.38196601125010426,0.01,0.3381653429271037,0.016771300153771145,3.7068033347115743,0.061855035949260034,0.7703897633804518,0.03222956757589057,0.1864448687968179,0.04708499020041072
Lattice_10x10,0.38196601125010426,0.03,0.3609398762033635,0.030374272884378863,3.7459472226323727,0.05586416481163405,0.763926323840226,0.01635286423151999,0.19048807793649356,0.05515794755715897
Lattice_10x10,0.38196601125010426,0.07,0.31459284713751295,0.005194202383279605,3.7013199611131227,0.05291609404055914,0.7583769060531633,0.020499786331400604,0.1696091802698854,0.05849900251916922
Lattice_10x10,0.38196601125010426,0.15,0.3482342953074204,0.03284344142288219,3.742827788188278,0.08085395562991547,0.7595520768786589,0.04213927762848844,0.1851150356082447,0.04063635464109161
