n_pivots,m,D,f_fft_mean,f_fft_std,drive_pf_mean,drive_pf_std,lz_state_mean,ac50_mean,fdrive_wins,n_seeds
4,3,0.5,0.0026666666666666666,0.0009428090415820634,0.08877580251409574,0.04230631337318416,1.86150422011643,0.45931988008143965,0,5
4,6,0.0,0.0018666666666666664,0.0007302967433402214,0.018964797633293597,0.006797085707302543,0.8232743729000355,0.6823352403978679,0,5
4,6,0.15,0.0018666666666666664,0.0007302967433402214,0.02542955284174342,0.023533918615604978,1.4370945016320928,0.7019381906351907,0,5
4,6,0.5,0.0024000000000000002,0.0005962847939999439,0.0936897422754087,0.04195588753139541,1.902355947699776,0.4745323520593967,0,5
5,3,0.0,0.0018666666666666664,0.0007302967433402214,0.029180242559316515,0.010416369863836076,0.8256429581028106,0.6604298964176534,0,5
5,3,0.15,0.0026666666666666666,0.0009428090415820634,0.09114007670039578,0.04399003785740396,1.6766781683256933,0.474633056555929,0,5
5,3,0.5,0.0026666666666666666,0.0009428090415820634,0.11565057732123159,0.05443233926368704,1.802951775157507,0.41259486903293113,0,5
5,6,0.0,0.0018666666666666664,0.0007302967433402214,0.02936509876192388,0.011067838248066134,0.8245478058047532,0.6600307354751763,0,5
5,6,0.15,0.0026666666666666666,0.0009428090415820635,0.0485014826028934,0.03724924454279242,1.5833610050679754,0.6041273342684619,0,5
5,6,0.5,0.0024000000000000002,0.0005962847939999439,0.12677792151484907,0.06738258783293856,1.7983674167005232,0.4147702598326674,0,5
6,3,0.0,0.0018666666666666664,0.0007302967433402214,0.0411031345050682,0.014545773063719172,0.8279860746474913,0.6371550268643749,0,5
6,3,0.15,0.0026666666666666666,0.0009428090415820634,0.12382572362085709,0.058938256783061777,1.667891481283141,0.4187615019411103,0,5
6,3,0.5,0.0026666666666666666,0.0009428090415820634,0.16640020638067426,0.07720577232019193,1.7653600358102384,0.3253975956753166,0,5
6,6,0.0,0.0018666666666666664,0.0007302967433402214,0.04135674620104056,0.015526728308324522,0.82803701196368,0.6365933324304706,0,5
6,6,0.15,0.0024000000000000002,0.0005962847939999439,0.05645048835842985,0.040456080966225945,1.5929372205114531,0.6162637618205847,0,5
6,6,0.5,0.0024000000000000002,0.0005962847939999439,0.17581658809329143,0.08246508586238505,1.7477102557508508,0.33413944416078134,0,5
7,3,0.0,0.0018666666666666664,0.0007302967433402214,0.05480372981780386,0.019246845880991147,0.8313988748321348,0.6101685204414441,0,5
7,3,0.15,0.0026666666666666666,0.0009428090415820634,0.15916591961628024,0.07417967262116718,1.6565324597730584,0.35578943824894516,0,5
7,3,0.5,0.0026666666666666666,0.0009428090415820634,0.19896761167754368,0.09133603405591975,1.7228273767926652,0.26774823775146295,0,5
7,6,0.0,0.0018666666666666664,0.0007302967433402214,0.05514147239244258,0.020522726860011567,0.8315262181226066,0.6094719926508587,0,5
7,6,0.15,0.0021333333333333334,0.0007302967433402214,0.03955064492328544,0.04494594140833882,1.3808087672435678,0.6750028198598945,0,5
7,6,0.5,0.0024000000000000002,0.0005962847939999439,0.2062459645606322,0.09046940233001251,1.7002621457210658,0.2760390780040745,0,5
8,3,0.0,0.0016,0.0005962847939999439,0.06959564808382883,0.024838398716623963,0.8369510422967043,0.5925002224129425,0,5
