protocol,arm,u_frozen,u_filter,group,seed,synchrony,lz_full,u_drift
FORCE,U_0.70,0.700000,-0.546893,canon,2,0.0140175612,1.0576774957,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,canon,3,0.0316140415,1.1569719079,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,canon,4,0.0059748092,1.1824812458,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,canon,5,-0.0056233714,1.1772696607,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,canon,6,0.0043914752,1.1748010150,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,canon,7,0.0079525496,1.1287196304,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,canon,8,0.0076197271,1.1791897183,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,canon,9,-0.0029189396,1.1394170947,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,replication,3031,0.0244626677,1.0779752485,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,replication,3032,-0.0004973857,1.1333826276,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,replication,3033,0.0377532393,1.1363998612,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,replication,3034,0.0088287100,1.0340882154,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,replication,3035,-0.0032122303,1.0936100040,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,replication,3036,0.0291347595,1.1429829161,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,replication,3037,0.0109171121,1.1630063749,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,replication,3038,0.0133897498,1.1073247018,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,replication,3039,0.0156965938,1.1106162293,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,replication,3040,0.0126245978,1.0565803199,0.000e+00
FORCE,U_0.85,0.850000,-0.790340,canon,0,0.0154633052,1.0612433171,0.000e+00
FORCE,U_0.85,0.850000,-0.790340,canon,1,0.0113762401,1.0113218171,0.000e+00
FORCE,U_0.85,0.850000,-0.790340,canon,2,0.0073365265,0.9871839489,0.000e+00
FORCE,U_0.85,0.850000,-0.790340,canon,3,-0.0141577142,1.2000360590,0.000e+00
FORCE,U_0.85,0.850000,-0.790340,canon,4,0.0093148096,1.1092447595,0.000e+00
FORCE,U_0.85,0.850000,-0.790340,canon,5,0.0142607850,1.2299341003,0.000e+00
