i_stim,u_frozen,u_filter,group,seed,synchrony,lz_full,u_drift
0.10,0.150,0.810340,canon,4,0.4115346767,1.5160226967,0.000e+00
0.10,0.150,0.810340,canon,5,0.5299568027,1.5640241391,0.000e+00
0.10,0.150,0.810340,canon,6,0.5228618852,1.5483893836,0.000e+00
0.10,0.150,0.810340,canon,7,0.3889937657,1.5319317462,0.000e+00
0.10,0.150,0.810340,canon,8,0.2264710515,1.4918848286,0.000e+00
0.10,0.150,0.810340,canon,9,0.3968910340,1.5316574523,0.000e+00
0.10,0.250,0.665794,canon,0,0.3791096877,1.5009365291,0.000e+00
0.10,0.250,0.665794,canon,1,0.3077560758,1.5020337050,0.000e+00
0.10,0.250,0.665794,canon,2,0.1997047505,1.4671983725,0.000e+00
0.10,0.250,0.665794,canon,3,0.4168339749,1.5215085759,0.000e+00
0.10,0.250,0.665794,canon,4,0.2909172652,1.4990164715,0.000e+00
0.10,0.250,0.665794,canon,5,0.4867862239,1.5316574523,0.000e+00
0.10,0.250,0.665794,canon,6,0.4143686081,1.5190399303,0.000e+00
0.10,0.250,0.665794,canon,7,0.3770243578,1.5086167599,0.000e+00
0.10,0.250,0.665794,canon,8,0.2276460006,1.4671983725,0.000e+00
0.10,0.250,0.665794,canon,9,0.3310395527,1.5091653478,0.000e+00
0.10,0.325,0.510354,canon,0,0.2514875124,1.4778958368,0.000e+00
0.10,0.325,0.510354,canon,1,0.2873568372,1.4927077105,0.000e+00
0.10,0.325,0.510354,canon,2,0.1243988636,1.4932562984,0.000e+00
0.10,0.325,0.510354,canon,3,0.2552401624,1.5012108231,0.000e+00
0.10,0.325,0.510354,canon,4,0.1854054592,1.4872218313,0.000e+00
0.10,0.325,0.510354,canon,5,0.3716204154,1.5204114000,0.000e+00
0.10,0.325,0.510354,canon,6,0.3013466071,1.4951763561,0.000e+00
0.10,0.325,0.510354,canon,7,0.2168990519,1.4916105346,0.000e+00
0.10,0.325,0.510354,canon,8,0.1478308656,1.4543065566,0.000e+00
0.10,0.325,0.510354,canon,9,0.2196347878,1.4979192956,0.000e+00
0.10,0.400,0.314216,canon,0,0.2200603586,1.4803644824,0.000e+00
0.10,0.400,0.314216,canon,1,0.1266081658,1.4767986610,0.000e+00
0.10,0.400,0.314216,canon,2,0.0413983536,1.4751528972,0.000e+00
0.10,0.400,0.314216,canon,3,0.1548306265,1.4639068450,0.000e+00
0.10,0.400,0.314216,canon,4,0.1155384279,1.4630839632,0.000e+00
0.10,0.400,0.314216,canon,5,0.1926864609,1.4855760676,0.000e+00
0.10,0.400,0.314216,canon,6,0.1245121449,1.4787187187,0.000e+00
0.10,0.400,0.314216,canon,7,0.0912893151,1.4493692654,0.000e+00
0.10,0.400,0.314216,canon,8,0.0568750588,1.4309915703,0.000e+00
0.10,0.400,0.314216,canon,9,0.0704761463,1.4630839632,0.000e+00
0.10,0.450,0.165800,canon,0,0.0485522213,1.4718613698,0.000e+00
0.10,0.450,0.165800,canon,1,0.0539104691,1.4636325511,0.000e+00
0.10,0.450,0.165800,canon,2,0.0239321045,1.4647297269,0.000e+00
0.10,0.450,0.165800,canon,3,-0.0044857322,1.4408661527,0.000e+00
0.10,0.450,0.165800,canon,4,0.0716363548,1.4381232131,0.000e+00
0.10,0.450,0.165800,canon,5,0.0901274178,1.4666497846,0.000e+00
0.10,0.450,0.165800,canon,6,0.0212463832,1.4455291500,0.000e+00
0.10,0.450,0.165800,canon,7,0.0487796015,1.4356545675,0.000e+00
0.10,0.450,0.165800,canon,8,0.0177896077,1.4389460950,0.000e+00
0.10,0.450,0.165800,canon,9,0.0439684379,1.4501921472,0.000e+00
0.10,0.500,0.010000,canon,0,0.0038443080,1.4688441363,0.000e+00
0.10,0.500,0.010000,canon,1,-0.0078291608,1.4597924357,0.000e+00
0.10,0.500,0.010000,canon,2,0.0125845311,1.4765243670,0.000e+00
0.10,0.500,0.010000,canon,3,0.0081276874,1.4523864989,0.000e+00
0.10,0.500,0.010000,canon,4,0.0035248764,1.4581466720,0.000e+00
0.10,0.500,0.010000,canon,5,0.0150836550,1.4809130703,0.000e+00
0.10,0.500,0.010000,canon,6,0.0085347648,1.4540322626,0.000e+00
0.10,0.500,0.010000,canon,7,0.0189918063,1.4551294384,0.000e+00
0.10,0.500,0.010000,canon,8,0.0038722580,1.4469006197,0.000e+00
0.10,0.500,0.010000,canon,9,0.0021933880,1.4595181417,0.000e+00
0.10,0.550,-0.145800,canon,0,-0.0023872456,1.4740557214,0.000e+00
0.10,0.550,-0.145800,canon,1,-0.0026297422,1.4688441363,0.000e+00
0.10,0.550,-0.145800,canon,2,0.0137220138,1.4650040209,0.000e+00
0.10,0.550,-0.145800,canon,3,0.0049421137,1.4581466720,0.000e+00
0.10,0.550,-0.145800,canon,4,0.0021497242,1.4619867873,0.000e+00
0.10,0.550,-0.145800,canon,5,0.0020403109,1.4795416006,0.000e+00
0.10,0.550,-0.145800,canon,6,0.0070426429,1.4652783148,0.000e+00
0.10,0.550,-0.145800,canon,7,-0.0145385913,1.4691184302,0.000e+00
0.10,0.550,-0.145800,canon,8,0.0030042245,1.4485463835,0.000e+00
0.10,0.550,-0.145800,canon,9,0.0069301961,1.4567752022,0.000e+00
0.10,0.650,-0.429200,canon,0,0.0068947942,1.3281313366,0.000e+00
0.10,0.650,-0.429200,canon,1,-0.0017048243,1.3508977350,0.000e+00
0.10,0.650,-0.429200,canon,2,0.0041072773,1.3657096087,0.000e+00
0.10,0.650,-0.429200,canon,3,0.0074935206,1.1539546744,0.000e+00
0.10,0.650,-0.429200,canon,4,-0.0071980329,1.1709608997,0.000e+00
0.10,0.650,-0.429200,canon,5,0.0098761699,1.1662979024,0.000e+00
0.10,0.650,-0.429200,canon,6,-0.0047581709,1.1150049326,0.000e+00
0.10,0.650,-0.429200,canon,7,0.0005848000,1.1007416468,0.000e+00
0.10,0.650,-0.429200,canon,8,0.0128443581,1.1427086222,0.000e+00
0.10,0.650,-0.429200,canon,9,0.0130353753,1.1224108694,0.000e+00
0.10,0.800,-0.726359,canon,0,0.0100001657,1.3330686279,0.000e+00
0.10,0.800,-0.726359,canon,1,-0.0014070182,1.3391030949,0.000e+00
0.10,0.800,-0.726359,canon,2,0.0038778458,1.2886330069,0.000e+00
0.10,0.800,-0.726359,canon,3,0.0077675308,1.1874185370,0.000e+00
0.10,0.800,-0.726359,canon,4,-0.0022059284,1.1347540974,0.000e+00
0.10,0.800,-0.726359,canon,5,0.0050801242,1.1399656826,0.000e+00
0.10,0.800,-0.726359,canon,6,-0.0008978512,1.1032102924,0.000e+00
0.10,0.800,-0.726359,canon,7,0.0013071974,1.1040331743,0.000e+00
0.10,0.800,-0.726359,canon,8,0.0141067742,1.1676693722,0.000e+00
0.10,0.800,-0.726359,canon,9,0.0082749680,1.1369484491,0.000e+00
0.10,0.950,-0.878281,canon,0,-0.0007712088,1.3818929521,0.000e+00
0.10,0.950,-0.878281,canon,1,0.0081941585,1.4159054027,0.000e+00
0.10,0.950,-0.878281,canon,2,-0.0018062378,1.3668067845,0.000e+00
0.10,0.950,-0.878281,canon,3,-0.0074655291,1.1805611881,0.000e+00
0.10,0.950,-0.878281,canon,4,-0.0066925656,1.1424343282,0.000e+00
0.10,0.950,-0.878281,canon,5,-0.0031784736,1.1627320810,0.000e+00
0.10,0.950,-0.878281,canon,6,0.0020152099,1.1514860288,0.000e+00
0.10,0.950,-0.878281,canon,7,0.0053259877,1.1545032623,0.000e+00
0.10,0.950,-0.878281,canon,8,0.0103259084,1.2052476442,0.000e+00
0.10,0.950,-0.878281,canon,9,0.0080585975,1.2203338118,0.000e+00
0.10,0.050,0.898281,repli,3041,0.4731082257,1.5538752627,0.000e+00
0.10,0.050,0.898281,repli,3042,0.4859909489,1.5758187792,0.000e+00
0.10,0.050,0.898281,repli,3043,0.4211705867,1.5398862709,0.000e+00
0.10,0.050,0.898281,repli,3044,0.2804854295,1.5198628121,0.000e+00
0.10,0.050,0.898281,repli,3045,0.5620613527,1.5834990100,0.000e+00
0.10,0.050,0.898281,repli,3046,0.4916191416,1.5566182023,0.000e+00
0.10,0.050,0.898281,repli,3047,0.3680069565,1.5250743973,0.000e+00
0.10,0.050,0.898281,repli,3048,0.4657286399,1.5313831583,0.000e+00
