condition,t_pulse,seed,dstar,flip_time,acc_final,rule,param,stop,acc
STNO_FULL,500,11,-1,1324,1,DOUBT_S,0.5,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_U,0.5,9000,1
STNO_FULL,500,11,-1,1324,1,CONV,0.0002,786,0
STNO_FULL,500,11,-1,1324,1,CONV,0.0005,781,0
STNO_FULL,500,11,-1,1324,1,CONV,0.001,772,0
STNO_FULL,500,11,-1,1324,1,FIXED,600,600,0
STNO_FULL,500,11,-1,1324,1,FIXED,1200,1200,0
STNO_FULL,500,11,-1,1324,1,FIXED,1800,1800,1
STNO_FULL,500,11,-1,1324,1,FIXED,2400,2400,1
STNO_FULL,500,11,-1,1324,1,FIXED,3000,3000,1
STNO_FULL,500,11,-1,1324,1,FIXED,3600,3600,1
STNO_FULL,500,11,-1,1324,1,FIXED,4200,4200,1
STNO_FULL,500,11,-1,1324,1,FIXED,4800,4800,1
STNO_FULL,500,11,-1,1324,1,FIXED,5400,5400,1
STNO_FULL,500,11,-1,1324,1,FIXED,6000,6000,1
STNO_FULL,500,11,-1,1324,1,FIXED,6600,6600,1
STNO_FULL,500,11,-1,1324,1,FIXED,7200,7200,1
