N,m,lambda2_bin,lambda2_mean,U4,H_mean,H_std,H_var,count
100,5,3.25,3.255572037673516,0.6617322557317613,3.239213481292887,0.19371226065359176,0.03752443992752507,15
100,5,3.5,3.4949044606046185,0.663202526208754,3.1622184089791805,0.16269084818698495,0.026468312083800585,13
100,5,3.75,3.757361191427159,0.6643809585239764,3.051250106158988,0.1263598484890366,0.01596681131017229,14
100,5,4.0,3.9763815551088406,0.6644326454436995,2.9937084507944114,0.11940484188831196,0.01425751626637278,10
100,5,4.25,4.259366799842701,0.6650722400856344,2.8704755332752696,0.09964963328513496,0.009930049413861877,6
100,5,4.5,4.538160324266841,0.6652106094926704,2.8081121632398895,0.0913814986746495,0.008350578300024968,5
100,5,5.0,5.042437954631585,0.6657388581787822,2.728473745787742,0.07162345129338883,0.005129918775176443,5
100,5,5.5,5.501584772879939,0.6651651428041063,2.689104640122611,0.08871986180423136,0.007871213878561911,4
100,5,6.0,5.96547142078137,0.6660461780737188,2.7193427554276535,0.05912239759689137,0.003495457897604906,3
100,5,6.75,6.766755877975482,0.6657720602469279,2.630587705286557,0.06813377114751157,0.004642210770781479,4
100,5,7.5,7.437442409900032,0.665631101153318,2.5688937882903535,0.07219123137217968,0.005211573887031581,3
100,7,5.0,5.018225532404373,0.6664090927059905,2.816074953653595,0.03901645119944712,0.0015222834641988384,6
100,7,5.25,5.235673298369423,0.6657128010372542,2.798349216247164,0.07506060227735876,0.005634094014239837,17
100,7,5.5,5.498656863595792,0.666329774889403,2.777745647737718,0.04460240946262869,0.0019893749298719892,14
100,7,5.75,5.726251469462577,0.6659728282187614,2.73498566642432,0.06273877891153104,0.003936154379309972,16
100,7,6.0,6.0626930023531544,0.6660932230874179,2.6426698338216497,0.054864491150284946,0.003010112389179695,5
100,7,6.25,6.196816666779652,0.6654836575612051,2.6210919661219108,0.0791321988308461,0.006261904891804562,4
100,7,6.5,6.4624279839569105,0.6652560378308296,2.588762383395906,0.0820062304902738,0.00672502183922391,8
100,7,7.25,7.209130792361099,0.6650991732641991,2.6406325048334685,0.09036325190862399,0.008165517295501436,5
100,7,7.5,7.466728524793034,0.6665522133686775,2.6471814398021425,0.024476258196476565,0.0005990872153005862,3
100,7,8.0,7.9948956396115225,0.6637899004622294,2.616341816014259,0.12488318850618522,0.015595810771471392,4
100,7,8.25,8.25775098910161,0.6637806000564287,2.7127404419474375,0.12389324499348353,0.01534953615501533,5
100,7,9.25,9.213450533344085,0.6626586513566944,2.8654988647583792,0.15628730149315612,0.02442572060801268,4
200,1,0.5,0.5679719338705391,0.6652480796497522,4.669711631365459,0.15057502156616187,0.02267283711965011,4
200,1,0.75,0.740682180948103,0.661630209573207,4.297035796034554,0.2644475742761464,0.06993251954053796,9
200,1,1.0,0.9083557445041699,0.654017945366984,3.5615755703367453,0.3440229320477912,0.11835177777475919,8
200,1,1.5,1.4928960442273211,0.6541686629993427,3.6278874540217005,0.3457272796148203,0.11952735186986416,5
200,1,1.75,1.7106545034010034,0.6637557575458012,3.2704050112909777,0.15223495548213192,0.02317548167064669,8
200,1,2.5,2.5304473092738844,0.6661776771892678,3.047997573295554,0.058127845781510736,0.003378846455199095,4
200,2,0.5,0.5845395172242834,0.6663438930792542,5.129901302751066,0.08019066726027563,0.0064305431156482405,7
200,2,0.75,0.7434833999270027,0.6658411171760232,4.9050597527438695,0.1225801079120864,0.015025882855738748,19
200,2,1.0,1.0045639882850548,0.6651391490685619,4.578240303889674,0.15454552855166503,0.023884320395313508,24
200,2,1.25,1.224904190848734,0.6654261727590861,4.368678724478984,0.1321263161379019,0.0174573634161728,10
200,2,1.5,1.5419225879115135,0.664900333219685,3.9074978464635386,0.14328558782251155,0.020530759677642674,7
