m,condition,seed,h_cont,h_cog,sync
5,COUPLING_30,1337,3.107507101570402,0.0,0.0007846734315107187
5,COUPLING_30,99,3.1272765003852276,0.0,0.00474237106039573
5,COUPLING_30,314,3.2846959839178824,0.0,0.025040328764638735
5,COUPLING_30,2024,3.2530092555050527,0.0,0.002258543186816188
5,COUPLING_30,888,3.2210315168357995,0.0,-0.0037064207844696505
5,COUPLING_100,42,3.273657875709451,0.0,-0.002222487492056792
5,COUPLING_100,123,3.1643399240582433,0.0,-0.0013116281169979114
5,COUPLING_100,777,3.2306150433400513,0.0,0.006706843786413411
5,COUPLING_100,17,3.1575683460553585,0.0,-0.0027479429128705155
5,COUPLING_100,256,3.139075436565613,0.0,-0.004520192307034587
5,COUPLING_100,1337,3.0784115811165487,0.0,-0.004282836356174236
5,COUPLING_100,99,3.14644903477209,0.0,-0.0035188568232205073
5,COUPLING_100,314,3.2739551284693773,0.0,0.0092445539817896
5,COUPLING_100,2024,3.218951916361106,0.0,0.0024381079441909547
5,COUPLING_100,888,3.2049884776077278,0.0,-0.0018494709046166056
5,COUPLING_300,42,3.2250755396815833,0.0,0.0004447712337897847
5,COUPLING_300,123,3.2134208031497944,0.0,-0.00195870190967273
5,COUPLING_300,777,3.1848815520920484,0.0,0.001644503918058903
5,COUPLING_300,17,3.151216752744918,0.0,0.004369028554636135
5,COUPLING_300,256,3.1647336469150305,0.0,0.0009677063433395438
5,COUPLING_300,1337,3.0935202466753244,0.0,-0.0015637710615740903
5,COUPLING_300,99,3.0858983773210524,0.0,-0.004384315350355467
5,COUPLING_300,314,3.2924860355602883,0.0,-0.0020864333985121525
5,COUPLING_300,2024,3.26041180536074,0.0,0.0006608253448796573
5,COUPLING_300,888,3.2174143195120775,0.0,-0.000361515539860958
5,COUPLING_1000,42,3.2197364193860896,0.0,0.00340150354585312
5,COUPLING_1000,123,3.24304751917622,0.0,-0.004452762357175243
5,COUPLING_1000,777,3.215910512286788,0.0,0.0008185573037549219
5,COUPLING_1000,17,3.1318657137231862,0.0,0.00356721236428155
5,COUPLING_1000,256,3.178081955743131,0.0,-0.0015716577776139775
5,COUPLING_1000,1337,3.0896132698581247,0.0,-0.0014724948560264196
5,COUPLING_1000,99,3.0920637236282844,0.0,-0.0034102463637251225
5,COUPLING_1000,314,3.222864369992473,0.0,0.008198433142925779
5,COUPLING_1000,2024,3.2220472304852734,0.0,-0.005462305344840033
5,COUPLING_1000,888,3.2609085857097195,0.0,0.0018445466454688794
5,FULLOPT_3,42,3.4261494949931732,0.0,-0.005834397842859484
5,FULLOPT_3,123,3.391241066818566,0.0,0.006189439152753368
5,FULLOPT_3,777,3.362533886103516,0.0,-0.002289224426248886
5,FULLOPT_3,17,3.348455166428642,0.0,-0.00011398045781117627
5,FULLOPT_3,256,3.383649141407496,0.0008079313589591118,-0.0008221063538280378
5,FULLOPT_3,1337,3.286240276628642,0.0002693104529863706,-0.0005602081821871959
5,FULLOPT_3,99,3.2746600190730324,0.0,0.0018669195234477728
5,FULLOPT_3,314,3.459305791311055,0.0018851731709045943,0.0038440155862932398
5,FULLOPT_3,2024,3.4516924344922573,0.0002693104529863706,-0.003935437226199055
5,FULLOPT_3,888,3.454681983720036,0.0005386209059727412,0.004430759703641126
5,FULLOPT_10,42,3.265056531482836,0.0,4.521986683788237e-05
5,FULLOPT_10,123,3.3390728233661564,0.0,-0.0018844523757444393
5,FULLOPT_10,777,3.416405174852297,0.0,0.0093034469514532
5,FULLOPT_10,17,3.2119624462863126,0.0,-0.0004307321715016083
5,FULLOPT_10,256,3.207308967311283,0.0,-0.00034147392606920056
5,FULLOPT_10,1337,3.164204360703157,0.0,-0.004779169226440669
5,FULLOPT_10,99,3.1618484815226213,0.0,0.0003016263493326856
5,FULLOPT_10,314,3.326982433066594,0.0,-0.0003417123070213732
5,FULLOPT_10,2024,3.282413352181218,0.0,0.0009909249161451186
5,FULLOPT_10,888,3.2782007352551803,0.0,-0.005418783183163052
5,FULLOPT_30,42,3.2877869730903915,0.0,-0.007255108473710612
5,FULLOPT_30,123,3.3252593210519477,0.0,-0.003223042833745335
5,FULLOPT_30,777,3.2667166209941754,0.0,0.00040369328264464955
5,FULLOPT_30,17,3.1657989601421974,0.0,0.000376370720221774
5,FULLOPT_30,256,3.2008576865844103,0.0,0.002113182893991805
