seed,cut_full,cut_froz,E_full,E_froz,identical,ident_cut_only,ident_E_only,affine_residual,t_best_full,t_best_froz,hamming_best,frac_s_equal,frac_cut_equal,hamming_median,cut_visited_sd,sd_early_full,sd_late_full,sd_early_froz,sd_late_froz,sd_uniform,max_cut_late_full,max_cut_late_froz,hamming_early,hamming_late,frac_s_equal_early,frac_s_equal_late,cut_mean_early_full,cut_mean_late_full,full_best_seen_by_froz,froz_best_seen_by_full,s_equal_at_best,n_states_full,n_states_froz,n_states_common,cut_rnd_a,cut_rnd_b,rnd_collision,sum_abs_J,cut_expected_random,J_values_ok,trace_J
30,82.0,82.0,13.0,13.0,True,True,True,0.0,10,10,0,0.25,0.33666666666666667,1.0,1.5790292376436015,3.8007309238560354,0.30453814904698834,3.242255730540425,1.3833668001306463,6.17458654486274,71.0,74.0,0.6666666666666666,1.5629629629629629,0.43333333333333335,0.22962962962962963,68.76666666666667,70.08518518518518,True,True,True,30,52,13,90.0,93.0,False,302.0,75.5,True,0.0
31,68.0,69.0,12.0,14.0,False,False,False,0.0,30,30,1,0.3333333333333333,0.4633333333333333,1.0,1.5355699267698624,1.5380362660079099,0.5024494187292331,1.7065234314893603,2.031983630838229,5.6121381342140895,63.0,66.0,0.5,1.4925925925925927,0.6666666666666666,0.2962962962962963,62.63333333333333,62.82962962962963,False,False,False,30,61,13,81.0,77.0,False,248.0,62.0,True,0.0
32,86.0,86.0,20.0,20.0,True,True,True,0.0,10,10,0,0.33,0.45,1.0,1.4264865540512077,1.8740923729160797,0.6827685109216541,1.8961950204437188,1.5985933459986175,6.188262230828618,77.0,78.0,0.13333333333333333,1.4814814814814814,0.8666666666666667,0.27037037037037037,76.56666666666666,75.91111111111111,True,True,True,23,49,10,92.0,91.0,False,304.0,76.0,True,0.0
33,78.0,84.0,9.0,21.0,False,False,False,0.0,30,780,30,0.23666666666666666,0.37,1.0,2.2522525761261027,2.836468853267308,0.4194188938338389,2.6076809620810595,2.8268165190498507,6.145184923987235,78.0,84.0,0.4666666666666667,1.6185185185185185,0.6666666666666666,0.18888888888888888,74.23333333333333,76.9037037037037,False,False,False,28,55,10,90.0,89.0,False,294.0,73.5,True,0.0
34,86.0,86.0,22.0,22.0,True,True,True,0.0,0,0,0,0.45666666666666667,0.48333333333333334,1.0,1.5575051275107321,2.960668092771555,0.489337616738185,3.023794525647093,1.6485267979521987,6.17696397917294,71.0,75.0,0.5333333333333333,1.0037037037037038,0.7333333333333333,0.42592592592592593,72.03333333333333,70.85925925925926,True,True,True,28,44,11,95.0,98.0,False,300.0,75.0,True,0.0
35,79.0,80.0,15.0,17.0,False,False,False,0.0,790,890,7,0.37333333333333335,0.46,1.0,1.9062113384057568,2.9318177903061367,0.5670901346792062,3.955867653105812,1.7121409439053148,6.0105332490137675,79.0,80.0,1.1,1.3222222222222222,0.3333333333333333,0.37777777777777777,72.73333333333333,77.16296296296296,False,False,False,29,43,8,87.0,87.0,True,286.0,71.5,True,0.0
36,78.0,78.0,13.0,13.0,True,True,True,0.0,10,10,0,0.4866666666666667,0.49333333333333335,1.0,2.39690541230887,5.444773232702676,0.3603077483560091,5.85652532555686,1.8578569302058365,5.9395126851872275,59.0,62.0,0.16666666666666666,1.025925925925926,0.8666666666666667,0.4444444444444444,60.233333333333334,57.05925925925926,True,True,True,24,45,15,94.0,87.0,False,286.0,71.5,True,0.0
37,79.0,79.0,13.0,13.0,True,True,True,0.0,0,0,0,0.44,0.48,1.0,1.3544945756833269,3.02140511829991,0.28786618595293395,2.50798724079689,1.4077192636947287,6.058738683711322,71.0,73.0,0.6,0.9703703703703703,0.5666666666666667,0.42592592592592593,68.93333333333334,69.95185185185186,True,True,True,26,40,15,92.0,90.0,False,290.0,72.5,True,0.0
38,71.0,71.0,20.0,20.0,True,True,True,0.0,20,20,0,0.6233333333333333,0.63,0.0,1.9463462921301773,4.991214503727747,0.2791570694253521,5.231209760232861,1.2792744857443783,5.490375920645143,52.0,55.0,0.16666666666666666,0.6074074074074074,0.8333333333333334,0.6,53.233333333333334,51.08518518518518,True,True,True,16,25,11,82.0,77.0,False,244.0,61.0,True,0.0
39,75.0,76.0,10.0,12.0,False,False,False,0.0,30,10,24,0.36333333333333334,0.4633333333333333,1.0,2.1736752031729325,3.9271137266728378,0.8497558755377771,3.5907288025320625,2.2492217828079752,5.921000232224282,68.0,73.0,0.5,1.8555555555555556,0.7666666666666667,0.31851851851851853,65.66666666666667,65.37037037037037,True,False,True,34,66,14,84.0,86.0,False,280.0,70.0,True,0.0
